date,decision_byd_weight,decision_etf_weight,decision_cash_weight,position_byd_weight,position_etf_weight,position_cash_weight,common_open_eligible,byd_return,etf_return,gross_return,turnover_units,cost,financing_cost,borrowed_weight,net_return
2019-11-26,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,-0.03372032,0.00030001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-11-29,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,0.01802628,0.00019993,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-06,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,-0.00590232,0.00079961,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-13,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,0.00867779,0.00359527,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-17,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,0.02060217,-0.00169161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-18,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,-0.00842947,0.00099673,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-19,0.75000000,0.25000000,0.00000000,0.00000000,0.00000000,1.00000000,False,0.01185679,-0.00119492,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2019-12-20,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.02409916,-0.00199387,0.01757590,2.00000000,0.00400000,0.00000000,0.00000000,0.01357590
2019-12-23,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01230576,-0.00799217,-0.01122736,0.00000000,0.00000000,0.00000000,0.00000000,-0.01122736
2019-12-24,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.02841534,0.00302115,0.02206679,0.00000000,0.00000000,0.00000000,0.00000000,0.02206679
2019-12-25,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01785345,-0.00100400,-0.01364109,0.00000000,0.00000000,0.00000000,0.00000000,-0.01364109
2019-12-26,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00021628,0.00502513,0.00109408,0.00000000,0.00000000,0.00000000,0.00000000,0.00109408
2019-12-27,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00324664,0.00099994,0.00268496,0.00000000,0.00000000,0.00000000,0.00000000,0.00268496
2019-12-30,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.02502700,0.01198805,0.02176726,0.00000000,0.00000000,0.00000000,0.00000000,0.02176726
2019-12-31,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00378868,0.01382028,0.00629658,0.00000000,0.00000000,0.00000000,0.00000000,0.00629658
2020-01-02,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.01069394,0.00389488,0.00899417,0.00000000,0.00000000,0.00000000,0.00000000,0.00899417
2020-01-03,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01680481,-0.00290975,-0.01333104,0.00000000,0.00000000,0.00000000,0.00000000,-0.01333104
2020-01-06,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.01941340,0.00291826,0.01528961,0.00000000,0.00000000,0.00000000,0.00000000,0.01528961
2020-01-07,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01573177,-0.00484963,-0.01301123,0.00000000,0.00000000,0.00000000,0.00000000,-0.01301123
2020-01-08,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00420600,0.00877184,0.00534746,0.00000000,0.00000000,0.00000000,0.00000000,0.00534746
2020-01-09,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00188474,0.00193240,-0.00093046,0.00000000,0.00000000,0.00000000,0.00000000,-0.00093046
2020-01-10,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.08287875,0.00289295,0.06288230,0.00000000,0.00000000,0.00000000,0.00000000,0.06288230
2020-01-13,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.06568500,0.00192321,0.04974455,0.00000000,0.00000000,0.00000000,0.00000000,0.04974455
2020-01-14,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01800017,-0.00095981,-0.01374008,0.00000000,0.00000000,0.00000000,0.00000000,-0.01374008
2020-01-15,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00962774,-0.00192118,-0.00770110,0.00000000,0.00000000,0.00000000,0.00000000,-0.00770110
2020-01-16,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00691716,-0.00384993,0.00422539,0.00000000,0.00000000,0.00000000,0.00000000,0.00422539
2020-01-17,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.06386937,0.00289861,0.04862668,0.00000000,0.00000000,0.00000000,0.00000000,0.04862668
2020-01-20,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00732980,-0.00481702,0.00429309,0.00000000,0.00000000,0.00000000,0.00000000,0.00429309
2020-01-21,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.02113653,-0.01548885,-0.01972461,0.00000000,0.00000000,0.00000000,0.00000000,-0.01972461
2020-01-22,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.02637166,-0.00000001,0.01977874,0.00000000,0.00000000,0.00000000,0.00000000,0.01977874
2020-01-23,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.07139146,-0.11504420,-0.08230465,0.00000000,0.00000000,0.00000000,0.00000000,-0.08230465
2020-02-03,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.00278542,0.00999989,0.00458904,0.00000000,0.00000000,0.00000000,0.00000000,0.00458904
2020-02-04,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.06851843,0.02750283,0.05826453,0.00000000,0.00000000,0.00000000,0.00000000,0.05826453
2020-02-05,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.01299848,0.00749461,0.01162251,0.00000000,0.00000000,0.00000000,0.00000000,0.01162251
2020-02-06,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.03917849,0.00637626,0.03097793,0.00000000,0.00000000,0.00000000,0.00000000,0.03097793
2020-02-07,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.02535393,0.00422375,-0.01795951,0.00000000,0.00000000,0.00000000,0.00000000,-0.01795951
2020-02-10,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.01351364,0.01892749,0.01486710,0.00000000,0.00000000,0.00000000,0.00000000,0.01486710
2020-02-11,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01599994,0.00412797,-0.01096796,0.00000000,0.00000000,0.00000000,0.00000000,-0.01096796
2020-02-12,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.00914651,0.00513876,-0.00557519,0.00000000,0.00000000,0.00000000,0.00000000,-0.00557519
2020-02-13,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01606816,-0.00409004,-0.01307363,0.00000000,0.00000000,0.00000000,0.00000000,-0.01307363
2020-02-14,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01129272,0.01026700,-0.00590279,0.00000000,0.00000000,0.00000000,0.00000000,-0.00590279
2020-02-17,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.01563882,0.01930893,0.01655635,0.00000000,0.00000000,0.00000000,0.00000000,0.01655635
2020-02-18,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.11539790,0.00000006,0.08654844,0.00000000,0.00000000,0.00000000,0.00000000,0.08654844
2020-02-19,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.02016454,-0.00299102,-0.01587116,0.00000000,0.00000000,0.00000000,0.00000000,-0.01587116
2020-02-20,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.06063023,0.01000000,0.04797267,0.00000000,0.00000000,0.00000000,0.00000000,0.04797267
2020-02-21,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.02358232,0.00495040,-0.01644914,0.00000000,0.00000000,0.00000000,0.00000000,-0.01644914
2020-02-24,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,-0.01559145,-0.01477820,-0.01538814,0.00000000,0.00000000,0.00000000,0.00000000,-0.01538814
2020-02-25,0.75000000,0.25000000,0.00000000,0.75000000,0.25000000,0.00000000,True,0.08354038,-0.01000005,0.06015527,0.00000000,0.00000000,0.00000000,0.00000000,0.06015527
