fold,factor_id,observations,mean_rank_ic,median_rank_ic,positive_share
f1,short_term_reversal_5,101,-0.01598180062745605,-0.04945054945054945,0.44554455445544555
f1,trend_20,101,-0.0012718923048844538,-0.002442002442002442,0.49504950495049505
f1,trend_60,101,0.031417737791533715,0.06471306471306472,0.5445544554455446
f1,trend_120,66,0.09763630367461121,0.12273504273504274,0.6212121212121212
f1,risk_adjusted_momentum_20,101,0.025843933199847537,0.05555555555555555,0.5643564356435643
f1,risk_adjusted_momentum_60,101,0.07836640904750956,0.10837606837606836,0.5841584158415841
f1,risk_adjusted_momentum_120,65,0.16939831265422464,0.1952136752136752,0.7538461538461538
f1,trend_efficiency_60,101,0.07958068742167551,0.1063247863247863,0.594059405940594
f1,trend_efficiency_120,65,0.16537615398049854,0.18837606837606835,0.7692307692307693
f1,residual_momentum_60,101,-0.03345412996932935,-0.052503052503052504,0.4158415841584158
f1,residual_momentum_120,65,0.09037474310945366,0.09096459096459096,0.7076923076923077
f1,low_beta_60,101,0.18103284600703687,0.17826617826617824,0.7722772277227723
f1,low_market_correlation_60,101,0.18840493040732864,0.184981684981685,0.7623762376237624
f1,low_volatility_60,101,0.07737020135429105,0.06288156288156288,0.6237623762376238
f1,drawdown_60,101,0.09832968781175684,0.09264957264957263,0.6039603960396039
f1,drawdown_120,66,0.13269173214460245,0.15658119658119657,0.6363636363636364
f1,volatility_contraction_20_60,101,0.1073042648744095,0.10622710622710621,0.7128712871287128
f1,positive_day_share_60,101,0.19667422947898922,0.21335723969441048,0.7623762376237624
f2,short_term_reversal_5,101,0.0033523132533033505,0.009768009768009768,0.5148514851485149
f2,trend_20,101,-0.0021919994197221924,-0.009768009768009768,0.4752475247524752
f2,trend_60,101,0.032657793251852654,0.03663003663003663,0.5544554455445545
f2,trend_120,101,0.04054787896372055,0.03724053724053724,0.594059405940594
f2,risk_adjusted_momentum_20,101,0.02319273685610319,0.03111111111111111,0.5742574257425742
f2,risk_adjusted_momentum_60,101,0.07813948427809812,0.06776556776556776,0.6534653465346535
f2,risk_adjusted_momentum_120,101,0.09100666110567102,0.1111111111111111,0.6633663366336634
f2,trend_efficiency_60,101,0.08254693601228255,0.06837606837606838,0.6435643564356436
f2,trend_efficiency_120,101,0.09473615493417471,0.10256410256410256,0.6732673267326733
f2,residual_momentum_60,101,0.044840484048404836,0.06166056166056166,0.6237623762376238
f2,residual_momentum_120,101,0.03851642307087851,0.052503052503052504,0.5643564356435643
f2,low_beta_60,101,0.19736529696925736,0.20573870573870573,0.7920792079207921
f2,low_market_correlation_60,101,0.1238017867720838,0.10683760683760683,0.7425742574257426
f2,low_volatility_60,101,0.22050580882264054,0.23931623931623933,0.9207920792079208
f2,drawdown_60,101,0.18428012269801242,0.19047619047619047,0.7425742574257426
f2,drawdown_120,101,0.187769641093078,0.20757020757020758,0.7326732673267327
f2,volatility_contraction_20_60,101,-0.07001535318367001,-0.12454212454212454,0.33663366336633666
f2,positive_day_share_60,101,0.07132362782033363,0.08186146967077111,0.6336633663366337
f3,short_term_reversal_5,101,0.006328697798131143,-0.0036630036630036626,0.48514851485148514
f3,trend_20,101,0.021337074315102702,0.042735042735042736,0.594059405940594
f3,trend_60,101,-0.001330648634935024,-0.022588522588522588,0.44554455445544555
f3,trend_120,101,0.011551843533788513,-0.017094017094017096,0.45544554455445546
f3,risk_adjusted_momentum_20,101,0.038595054502727995,0.031135531135531136,0.6138613861386139
f3,risk_adjusted_momentum_60,101,-0.028423323911266275,-0.03540903540903541,0.36633663366336633
f3,risk_adjusted_momentum_120,101,0.03733249022672215,0.04456654456654456,0.5346534653465347
f3,trend_efficiency_60,101,-0.028291962236147786,-0.028083028083028084,0.37623762376237624
f3,trend_efficiency_120,101,0.03491224543423005,0.030525030525030524,0.5445544554455446
f3,residual_momentum_60,101,0.019124441715907735,0.001221001221001221,0.504950495049505
f3,residual_momentum_120,101,0.02723039807509906,0.02564102564102564,0.5445544554455446
f3,low_beta_60,101,-0.18752396343887082,-0.19719169719169719,0.3069306930693069
f3,low_market_correlation_60,101,-0.1380136803597414,-0.07142857142857142,0.36633663366336633
f3,low_volatility_60,101,-0.08789720860424395,-0.1562881562881563,0.36633663366336633
f3,drawdown_60,101,-0.09110155904335303,-0.09616852500992035,0.36633663366336633
f3,drawdown_120,101,-0.04584301910281974,-0.05006869238611726,0.39603960396039606
f3,volatility_contraction_20_60,101,-0.008269811471047805,-0.017704517704517704,0.46534653465346537
f3,positive_day_share_60,101,0.0025340165536059645,0.042711025731843974,0.5346534653465347
f4,short_term_reversal_5,100,-0.04344175824175824,-0.0879120879120879,0.43
f4,trend_20,100,0.08889450549450549,0.1394993894993895,0.74
f4,trend_60,100,0.14553870573870575,0.16971916971916973,0.72
f4,trend_120,100,-0.026007326007326005,-0.023504273504273504,0.44
