candidate_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,worst_window_relative_excess,precision_at_4,average_period_excess,mean_exposure,fallback_sector_ratio,coverage_gate_date_ratio,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,maximum_fiscal_period_absolute_contribution_share,top_name,top_sector,leave_one_name_relative_excess,leave_one_sector_relative_excess,relative_excess_10bps,relative_excess_40bps,incremental_relative_excess_vs_f0,incremental_40bps_vs_f0,support_gate_pass
F0_r0_sector_4x1,20,1.330850008,0.3929238159,0.6733506752,-0.1838196396,43.5,4,0.07297307331,0.505,0.01336499992,1,0,1,0.07921355852,0.3594525192,0.5753842751,600438,Materials,0.5258658648,0.243465729,0.7465042497,0.5359306717,0,0,False
F1_fundamental_top1,20,0.5726587647,0.3929238159,0.1290342995,-0.3184713295,24,2,-0.1094731832,0.495,0.004247316448,1,0,1,0.16390056,0.4124532863,0.6513832237,002050,Technology,0.04558778483,0.03842315565,0.1562271572,0.07650301108,-0.5443163757,-0.4594276606,False
F2_half_blend,20,0.1476558822,0.3929238159,-0.17608137,-0.3486577524,36,1,-0.1009257493,0.435,-0.001634660025,1,0,1,0.0958070693,0.4377139195,0.6129682143,300548,Technology,-0.1266704369,-0.1254016793,-0.1459651612,-0.2332318544,-0.8494320452,-0.7691625261,False
F3_half_blend_fallback,20,0.1476558822,0.3929238159,-0.17608137,-0.3486577524,36,1,-0.1009257493,0.435,-0.001634660025,1,0,1,0.0958070693,0.4377139195,0.6129682143,300548,Technology,-0.1266704369,-0.1254016793,-0.1459651612,-0.2332318544,-0.8494320452,-0.7691625261,False
