window,datetime,instrument,entity,sector,score,weight,raw_return,benchmark_return,net_contribution,precision_hit,evaluation
2022H2,2022-07-01,002050,三花智控,Industrials,0.4602355659,0.25,0.04341259451,-0.04524966635,0.01035314863,True,historical
2022H2,2022-07-01,002709,天赐材料,Materials,0.1266027093,0.25,-0.1051386872,-0.04524966635,-0.0267846718,False,historical
2022H2,2022-07-01,000661,长春高新,Health Care,0.1298487335,0.25,-0.1156518263,-0.04524966635,-0.02941295657,False,historical
2022H2,2022-07-01,300782,卓胜微,Technology,0.2533461452,0.25,-0.216173478,-0.04524966635,-0.0545433695,False,historical
2022H2,2022-07-15,002837,英维克,Industrials,0.3617926836,0.25,0.06432746907,-0.0242063214,0.01570686727,True,historical
2022H2,2022-07-15,603260,合盛硅业,Materials,0.3136295974,0.25,-0.05906392812,-0.0242063214,-0.01514098203,False,historical
2022H2,2022-07-15,300782,卓胜微,Technology,0.1165434346,0.25,-0.07540824773,-0.0242063214,-0.01922706193,False,historical
2022H2,2022-07-15,000999,华润三九,Health Care,-0.009509295225,0.25,-0.05812800208,-0.0242063214,-0.01490700052,False,historical
2022H2,2022-07-29,000300,CSI300 fallback,CSI300,,1,-0.0007159832477,-0.0007159832477,-0.002715983248,False,historical
2022H2,2022-08-12,000300,CSI300 fallback,CSI300,,1,-0.02297314212,-0.02297314212,-0.02297314212,False,historical
2022H2,2022-08-26,000300,CSI300 fallback,CSI300,,1,0.005280383278,0.005280383278,0.005280383278,False,historical
2022H2,2022-09-09,000300,CSI300 fallback,CSI300,,1,-0.05322650912,-0.05322650912,-0.05322650912,False,historical
2022H2,2022-09-26,000300,CSI300 fallback,CSI300,,1,-0.01388071385,-0.01388071385,-0.01388071385,False,historical
2022H2,2022-10-17,000300,CSI300 fallback,CSI300,,1,-0.0531734737,-0.0531734737,-0.0531734737,False,historical
2022H2,2022-10-31,000300,CSI300 fallback,CSI300,,1,0.06378336931,0.06378336931,0.06378336931,False,historical
2022H2,2022-11-14,000300,CSI300 fallback,CSI300,,1,-0.004539809694,-0.004539809694,-0.004539809694,False,historical
2022H2,2022-11-28,000300,CSI300 fallback,CSI300,,1,0.02527238075,0.02527238075,0.02527238075,False,historical
2022H2,2022-12-12,000300,CSI300 fallback,CSI300,,1,-0.0146557478,-0.0146557478,-0.0146557478,False,historical
2022H2,2022-12-26,600026,中远海能,Industrials,0.7531064749,0.25,0,0.03142530605,-0.0005,False,historical
2022H2,2022-12-26,603806,福斯特,Materials,0.2849572301,0.25,0.08477189015,0.03142530605,0.02069297254,True,historical
2022H2,2022-12-26,601318,中国平安,Financials,-0.1563539207,0.25,0.1124244501,0.03142530605,0.02760611253,True,historical
2022H2,2022-12-26,000999,华润三九,Health Care,-0.0881908834,0.25,0.05292125129,0.03142530605,0.01273031282,True,historical
2023H1,2023-01-03,688676,金盘科技,Industrials,0.1491205245,0.25,0.02121603266,0.06097332071,0.005054008165,False,historical
2023H1,2023-01-03,002463,沪电股份,Technology,0.01930332184,0.25,0.01865990396,0.06097332071,0.00441497599,False,historical
2023H1,2023-01-03,000999,华润三九,Health Care,0.1191002578,0.25,-0.04990474156,0.06097332071,-0.01272618539,False,historical
2023H1,2023-01-03,603806,福斯特,Materials,-0.1576334387,0.25,0.1181760968,0.06097332071,0.0292940242,True,historical
2023H1,2023-01-17,300750,宁德时代,Industrials,0.4170481563,0.25,-0.002896913579,-0.01311591613,-0.001224228395,True,historical
2023H1,2023-01-17,300033,同花顺,Technology,0.303992182,0.25,0.0443578625,-0.01311591613,0.01058946562,True,historical
2023H1,2023-01-17,603799,华友钴业,Materials,0.372481972,0.25,0.001329154891,-0.01311591613,-0.0001677112772,True,historical
2023H1,2023-01-17,000858,五粮液,Consumer Staples,0.2075212002,0.25,-0.03040177814,-0.01311591613,-0.008100444535,False,historical
2023H1,2023-02-07,000977,浪潮信息,Technology,0.1970691383,0.25,0.4089886838,0.007558633948,0.1017471709,True,historical
2023H1,2023-02-07,601872,招商轮船,Industrials,0.2969546616,0.25,-0.006339138228,0.007558633948,-0.002084784557,False,historical
2023H1,2023-02-07,002602,世纪华通,Communication Services,0.1654589474,0.25,0.03712293493,0.007558633948,0.008780733732,True,historical
2023H1,2023-02-07,603993,洛阳钼业,Materials,-0.07101589441,0.25,0.05380333377,0.007558633948,0.01295083344,True,historical
2023H1,2023-02-21,000977,浪潮信息,Technology,0.5013580322,0.25,-0.07177035725,-0.01773657847,-0.01819258931,False,historical
2023H1,2023-02-21,600031,三一重工,Industrials,-0.07997890562,0.25,-0.05475662474,-0.01773657847,-0.01393915619,False,historical
2023H1,2023-02-21,603993,洛阳钼业,Materials,-0.06856700778,0.25,-0.02816898807,-0.01773657847,-0.007292247018,False,historical
2023H1,2023-02-21,601728,中国电信,Communication Services,0.1129233092,0.25,0.1365461497,-0.01773657847,0.03388653743,True,historical
2023H1,2023-03-07,300548,长芯博创,Technology,0.521091938,0.25,0.1389241294,-0.008592927035,0.03423103235,True,historical
2023H1,2023-03-07,000425,徐工机械,Industrials,0.08154653013,0.25,-0.07328244353,-0.008592927035,-0.01882061088,False,historical
2023H1,2023-03-07,601698,中国卫通,Communication Services,0.6264232993,0.25,0.2058664284,-0.008592927035,0.0509666071,True,historical
2023H1,2023-03-07,600938,中国海油,Energy,0.1970691383,0.25,-0.07114883644,-0.008592927035,-0.01828720911,False,historical
2023H1,2023-03-21,000300,CSI300 fallback,CSI300,,1,0.02430263881,0.02430263881,0.02230263881,False,historical
2023H1,2023-04-04,002222,福晶科技,Technology,0.6742237806,0.25,0.1387523618,0.003998131567,0.03418809045,True,historical
2023H1,2023-04-04,002602,世纪华通,Communication Services,0.2225860357,0.25,0.09966775856,0.003998131567,0.02441693964,True,historical
2023H1,2023-04-04,600026,中远海能,Industrials,0.2456819713,0.25,0.1020052353,0.003998131567,0.02500130882,True,historical
2023H1,2023-04-04,002493,荣盛石化,Materials,0.5840027928,0.25,-0.05677786956,0.003998131567,-0.01469446739,False,historical
2023H1,2023-04-19,000300,CSI300 fallback,CSI300,,1,-0.02070110595,-0.02070110595,-0.02270110595,False,historical
2023H1,2023-05-08,000300,CSI300 fallback,CSI300,,1,-0.02847332942,-0.02847332942,-0.02847332942,False,historical
2023H1,2023-05-22,000300,CSI300 fallback,CSI300,,1,-0.0268387061,-0.0268387061,-0.0268387061,False,historical
2023H1,2023-06-05,000300,CSI300 fallback,CSI300,,1,0.03048056203,0.03048056203,0.03048056203,False,historical
2023H1,2023-06-19,000300,CSI300 fallback,CSI300,,1,-0.02076407025,-0.02076407025,-0.02076407025,False,historical
2023H2,2023-07-03,000300,CSI300 fallback,CSI300,,1,-0.01130388006,-0.01130388006,-0.01130388006,False,historical
2023H2,2023-07-17,000300,CSI300 fallback,CSI300,,1,0.03711135585,0.03711135585,0.03711135585,False,historical
2023H2,2023-07-31,300033,同花顺,Technology,0.8601369858,0.25,0.007405640163,-0.03788520533,0.001351410041,True,historical
2023H2,2023-07-31,002714,牧原股份,Consumer Staples,0.4922366738,0.25,-0.04830101072,-0.03788520533,-0.01257525268,False,historical
2023H2,2023-07-31,600309,万华化学,Materials,0.273080349,0.25,-0.03044425888,-0.03788520533,-0.00811106472,True,historical
2023H2,2023-07-31,000001,平安银行,Financials,0.2616395056,0.25,-0.03620351036,-0.03788520533,-0.00955087759,True,historical
2023H2,2023-08-14,000300,CSI300 fallback,CSI300,,1,-0.01467007113,-0.01467007113,-0.01667007113,False,historical
2023H2,2023-08-28,000300,CSI300 fallback,CSI300,,1,-0.007783936876,-0.007783936876,-0.007783936876,False,historical
2023H2,2023-09-11,000300,CSI300 fallback,CSI300,,1,-0.0180055907,-0.0180055907,-0.0180055907,False,historical
2023H2,2023-09-25,000300,CSI300 fallback,CSI300,,1,-0.02229042667,-0.02229042667,-0.02229042667,False,historical
2023H2,2023-10-17,000300,CSI300 fallback,CSI300,,1,-0.01095387406,-0.01095387406,-0.01095387406,False,historical
2023H2,2023-10-31,000300,CSI300 fallback,CSI300,,1,0.01014218503,0.01014218503,0.01014218503,False,historical
2023H2,2023-11-14,000300,CSI300 fallback,CSI300,,1,-0.03297204059,-0.03297204059,-0.03297204059,False,historical
2023H2,2023-11-28,000300,CSI300 fallback,CSI300,,1,-0.03402851533,-0.03402851533,-0.03402851533,False,historical
2023H2,2023-12-12,000300,CSI300 fallback,CSI300,,1,-0.009867045861,-0.009867045861,-0.009867045861,False,historical
2023H2,2023-12-26,000300,CSI300 fallback,CSI300,,1,-0.01219438305,-0.01219438305,-0.01219438305,False,historical
2024H1,2024-01-02,000300,CSI300 fallback,CSI300,,1,-0.04416872839,-0.04416872839,-0.04416872839,False,historical
2024H1,2024-01-16,000300,CSI300 fallback,CSI300,,1,-0.004251976362,-0.004251976362,-0.004251976362,False,historical
2024H1,2024-01-30,000300,CSI300 fallback,CSI300,,1,0.0843836052,0.0843836052,0.0843836052,False,historical
2024H1,2024-02-21,000300,CSI300 fallback,CSI300,,1,0.01234555021,0.01234555021,0.01234555021,False,historical
2024H1,2024-03-06,603629,利通电子,Technology,0.363509953,0.25,0.1728692134,0.01455359564,0.04271730335,True,historical
2024H1,2024-03-06,301291,明阳电气,Industrials,0.3385711014,0.25,0.07606490892,0.01455359564,0.01851622723,True,historical
2024H1,2024-03-06,002466,天齐锂业,Materials,0.1993560791,0.25,0.03361699093,0.01455359564,0.007904247732,True,historical
2024H1,2024-03-06,603658,安图生物,Health Care,0.06406702846,0.25,-0.0202653746,0.01455359564,-0.00556634365,False,historical
2024H1,2024-03-20,603629,利通电子,Technology,0.2246066779,0.25,-0.1151484081,-0.01247724235,-0.02916210203,False,historical
2024H1,2024-03-20,000538,云南白药,Health Care,0.3005939722,0.25,0.004005347367,-0.01247724235,0.0006263368418,True,historical
2024H1,2024-03-20,603993,洛阳钼业,Materials,0.02663055435,0.25,0.1169188318,-0.01247724235,0.02885470795,True,historical
2024H1,2024-03-20,688676,金盘科技,Industrials,-0.005104710814,0.25,0.04217479222,-0.01247724235,0.01016869805,True,historical
2024H1,2024-04-03,300548,长芯博创,Technology,0.3586148024,0.25,-0.100660089,-0.001556078866,-0.02554002225,False,historical
2024H1,2024-04-03,603993,洛阳钼业,Materials,0.3921424747,0.25,0.06280791085,-0.001556078866,0.01532697771,True,historical
2024H1,2024-04-03,300750,宁德时代,Industrials,0.16348809,0.25,-0.02056982369,-0.001556078866,-0.005517455923,False,historical
2024H1,2024-04-03,601728,中国电信,Communication Services,0.0664216727,0.25,0.03272724152,-0.001556078866,0.00780681038,True,historical
2024H1,2024-04-19,300548,长芯博创,Technology,0.8407868743,0.25,0.02522941118,0.03785318629,0.005932352795,False,historical
2024H1,2024-04-19,601919,中远海控,Industrials,0.2255422771,0.25,0.2085152707,0.03785318629,0.05175381768,True,historical
2024H1,2024-04-19,002709,天赐材料,Materials,0.1054667458,0.25,0.125691306,0.03785318629,0.0310478265,True,historical
2024H1,2024-04-19,300133,华策影视,Communication Services,0.6840584278,0.25,0.2005989018,0.03785318629,0.04977472545,True,historical
2024H1,2024-05-08,688525,佰维存储,Technology,0.580557704,0.25,-0.1309125232,-0.006213307065,-0.0329781308,False,historical
2024H1,2024-05-08,002709,天赐材料,Materials,0.2915851772,0.25,-0.1112103546,-0.006213307065,-0.02805258865,False,historical
2024H1,2024-05-08,300133,华策影视,Communication Services,0.5126886368,0.25,-0.007481348652,-0.006213307065,-0.002120337163,False,historical
2024H1,2024-05-08,600009,上海机场,Industrials,0.5037767887,0.25,-0.03755221864,-0.006213307065,-0.00963805466,False,historical
2024H1,2024-05-22,002410,广联达,Technology,0.33603549,0.25,-0.1189499474,-0.01360508099,-0.03023748685,False,historical
2024H1,2024-05-22,600519,贵州茅台,Consumer Staples,0.3338261843,0.25,-0.03085344107,-0.01360508099,-0.008213360268,False,historical
2024H1,2024-05-22,002466,天齐锂业,Materials,0.0746858269,0.25,-0.04358688714,-0.01360508099,-0.01139672179,False,historical
2024H1,2024-05-22,688676,金盘科技,Industrials,0.0687206015,0.25,-0.018857677,-0.01360508099,-0.00521441925,False,historical
2024H1,2024-06-05,688525,佰维存储,Technology,0.3850355446,0.25,0.1617997692,-0.02689822015,0.0399499423,True,historical
2024H1,2024-06-05,301291,明阳电气,Industrials,0.2892689407,0.25,-0.108276279,-0.02689822015,-0.02756906975,False,historical
2024H1,2024-06-05,601318,中国平安,Financials,0.116058059,0.25,-0.01850368529,-0.02689822015,-0.005125921322,True,historical
2024H1,2024-06-05,600900,长江电力,Utilities,0.1238056943,0.25,0.01098472692,-0.02689822015,0.00224618173,True,historical
2024H1,2024-06-20,000300,CSI300 fallback,CSI300,,1,-0.01846856348,-0.01846856348,-0.02046856348,False,historical
2024H2,2024-07-01,000300,CSI300 fallback,CSI300,,1,0.007632115333,0.007632115333,0.007632115333,False,historical
2024H2,2024-07-15,000300,CSI300 fallback,CSI300,,1,-0.03684689901,-0.03684689901,-0.03684689901,False,historical
2024H2,2024-07-29,000300,CSI300 fallback,CSI300,,1,-0.01038534267,-0.01038534267,-0.01038534267,False,historical
2024H2,2024-08-12,000300,CSI300 fallback,CSI300,,1,-0.0087140104,-0.0087140104,-0.0087140104,False,historical
2024H2,2024-08-26,000300,CSI300 fallback,CSI300,,1,-0.03315220249,-0.03315220249,-0.03315220249,False,historical
2024H2,2024-09-09,000300,CSI300 fallback,CSI300,,1,0.1093842295,0.1093842295,0.1093842295,False,historical
2024H2,2024-09-25,000300,CSI300 fallback,CSI300,,1,0.06851337842,0.06851337842,0.06851337842,False,historical
2024H2,2024-10-16,301309,德明利,Technology,0.4046109617,0.25,0.1013824881,0.02714152373,0.02484562202,True,historical
2024H2,2024-10-16,600760,中航沈飞,Industrials,0.4656366408,0.25,0.01626558656,0.02714152373,0.00356639664,False,historical
2024H2,2024-10-16,600438,通威股份,Materials,0.4361667335,0.25,0.5351971516,0.02714152373,0.1332992879,True,historical
2024H2,2024-10-16,002602,世纪华通,Communication Services,0.1410344988,0.25,0.1604937254,0.02714152373,0.03962343135,True,historical
2024H2,2024-10-30,600184,光电股份,Industrials,0.318526566,0.25,-0.07211119958,0.03818486984,-0.01852779989,False,historical
2024H2,2024-10-30,002456,欧菲光,Technology,0.2129295766,0.25,-0.08333329729,0.03818486984,-0.02133332432,False,historical
2024H2,2024-10-30,603260,合盛硅业,Materials,0.5397003889,0.25,0.009912866992,0.03818486984,0.001978216748,False,historical
2024H2,2024-10-30,002007,华兰生物,Health Care,0.2028064132,0.25,0.04276319608,0.03818486984,0.01019079902,True,historical
2024H2,2024-11-13,688521,芯原股份,Technology,0.5451287031,0.25,-0.09364668674,-0.04135733478,-0.02391167169,False,historical
2024H2,2024-11-13,002460,赣锋锂业,Materials,1.028908014,0.25,-0.01500853851,-0.04135733478,-0.004252134628,True,historical
2024H2,2024-11-13,600760,中航沈飞,Industrials,0.1802109927,0.25,-0.06399997618,-0.04135733478,-0.01649999405,False,historical
2024H2,2024-11-13,600809,山西汾酒,Consumer Staples,-0.02425192297,0.25,-0.09259442257,-0.04135733478,-0.02364860564,False,historical
2024H2,2024-11-27,000938,紫光股份,Technology,0.1362404674,0.25,0.01290329081,0.04027160815,0.002725822703,False,historical
2024H2,2024-11-27,002837,英维克,Industrials,0.05184553564,0.25,-0.05617460262,0.04027160815,-0.01454365066,False,historical
2024H2,2024-11-27,002709,天赐材料,Materials,-0.05488446727,0.25,-0.08561926482,0.04027160815,-0.02190481621,False,historical
2024H2,2024-11-27,600030,中信证券,Financials,-0.02523902245,0.25,0.05976927815,0.04027160815,0.01444231954,True,historical
2024H2,2024-12-11,600019,宝钢股份,Materials,0.1234638989,0.25,0.01547986131,-0.01018365462,0.003494965328,True,historical
2024H2,2024-12-11,688521,芯原股份,Technology,0.1931452751,0.25,0.2228674684,-0.01018365462,0.0553418671,True,historical
2024H2,2024-12-11,002837,英维克,Industrials,0.1020946652,0.25,0.1878996414,-0.01018365462,0.04659991035,True,historical
2024H2,2024-12-11,601698,中国卫通,Communication Services,0.1560744792,0.25,-0.06958766286,-0.01018365462,-0.01777191571,False,historical
2024H2,2024-12-25,603986,兆易创新,Technology,0.2949168384,0.25,0.04785604423,-0.06394991942,0.01146401106,True,historical
2024H2,2024-12-25,688676,金盘科技,Industrials,0.1407697201,0.25,-0.1375736171,-0.06394991942,-0.03489340427,False,historical
2024H2,2024-12-25,300133,华策影视,Communication Services,0.02631544136,0.25,-0.1430481509,-0.06394991942,-0.03626203773,False,historical
2024H2,2024-12-25,600900,长江电力,Utilities,0.5957375169,0.25,-0.01533966724,-0.06394991942,-0.00433491681,True,historical
2025H1,2025-01-02,000300,CSI300 fallback,CSI300,,1,0.009848040584,0.009848040584,0.007848040584,False,historical
2025H1,2025-01-16,000300,CSI300 fallback,CSI300,,1,0.02327151406,0.02327151406,0.02327151406,False,historical
2025H1,2025-02-07,000300,CSI300 fallback,CSI300,,1,0.01759906125,0.01759906125,0.01759906125,False,historical
2025H1,2025-02-21,603501,韦尔股份,Technology,0.7602983713,0.25,-0.03293978091,-0.01030678979,-0.008734945228,False,historical
2025H1,2025-02-21,002352,顺丰控股,Industrials,0.411341399,0.25,0.0146693221,-0.01030678979,0.003167330525,True,historical
2025H1,2025-02-21,000001,平安银行,Financials,0.2367902249,0.25,0,-0.01030678979,-0.0005,True,historical
2025H1,2025-02-21,600519,贵州茅台,Consumer Staples,0.2119971216,0.25,0.02963300673,-0.01030678979,0.006908251682,True,historical
