evaluation,rule,rebalance_sessions,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,positive_excess_windows,all_period_hit_rate,risk_on_active_hit_rate,risk_on_share,risk_on_relative_excess,risk_off_relative_excess,risk_off_total_cost,turnover,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector,rebalance_count,windows
historical_2022H2_2025H2,two_of_three,10,20,0.6059988207,0.03657162658,0.5493370449,-0.2444292842,5,0.2613636364,0.5897435897,0.4431818182,0.5711610417,-0.01389036275,0.014,42.5,0.08606464484,0.3476328857,600438,Materials,88,2022H2|2023H1|2023H2|2024H1|2024H2|2025H1|2025H2
reporting_2026,two_of_three,10,20,-0.03550554701,-0.06150220473,0.0277002864,-0.3705903267,2,0.4285714286,0.5454545455,0.7857142857,0.03177734481,-0.003951490535,0.004,11.5,0.1278149801,0.41230817,688521,Technology,14,2026H1|2026H2_PARTIAL
