date,open,high,low,close,volume,Dividends,Stock Splits
2006-03-31 00:00:00,3.5709196416445463,3.6570603526706695,3.3281597954886304,3.426046848297119,24694300,0.0,0.0
2006-04-03 00:00:00,3.426046852490191,3.563088875953588,3.406469367222638,3.543511390686035,6571500,0.0,0.0
2006-04-04 00:00:00,3.559174421383019,3.7001316874164574,3.523935011522262,3.582667112350464,1529200,0.0,0.0
2006-04-05 00:00:00,3.582666187944766,3.637483075074173,3.5239341022707187,3.5278496742248535,1186100,0.0,0.0
2006-04-06 00:00:00,3.602243915829604,3.688384637548675,3.523934338543866,3.621821403503418,2304200,0.0,0.0
2006-04-07 00:00:00,3.6453141174068238,3.6531448876873975,3.5239340040773213,3.5944128036499023,1963900,0.0,0.0
2006-04-10 00:00:00,3.5435113906860347,3.590497131282478,3.504356420150929,3.543511390686035,1143100,0.0,0.0
2006-04-11 00:00:00,3.5552582829305637,3.563089427613842,3.1558792393216484,3.2302732467651367,1995200,0.0,0.0
2006-04-12 00:00:00,3.210695266723633,3.324244233373547,3.1715406695326642,3.210695266723633,861400,0.0,0.0
2006-04-13 00:00:00,3.320329129962876,3.320329129962876,3.1715411168774352,3.214611291885376,303600,0.0,0.0
2006-04-17 00:00:00,3.230272975244018,3.2498504618970934,3.1754560872973054,3.191118001937866,178900,0.0,0.0
2006-04-18 00:00:00,3.2341885363305236,3.445624569968552,3.206779905745012,3.332075595855713,598300,0.0,0.0
2006-04-19 00:00:00,3.332076481527161,3.523935079574585,3.3281609084871078,3.523935079574585,333600,0.0,0.0
2006-04-20 00:00:00,3.4926100783541867,3.5435113906860347,3.4417087660223387,3.543511390686035,1024400,0.0,0.0
2006-04-21 00:00:00,3.5630886806026094,3.5630886806026094,3.234188141050436,3.269427537918091,635600,0.0,0.0
2006-04-24 00:00:00,3.3281600071604482,3.3594838361786103,3.281174263633205,3.312498092651367,1099200,0.0,0.0
2006-04-25 00:00:00,3.3085823237888152,3.3868918916742747,3.3085823237888152,3.328159809112549,196600,0.0,0.0
2006-04-26 00:00:00,3.32032887042054,3.5395960474339234,3.32032887042054,3.500441074371338,693900,0.0,0.0
2006-04-27 00:00:00,3.4691172452850685,3.5200185609026304,3.4221315016556644,3.500441074371338,2263500,0.0,0.0
2006-04-28 00:00:00,3.52393433319839,3.52393433319839,3.4260472683873235,3.4847793579101562,459400,0.0,0.0
2006-05-01 00:00:00,3.5082717825786514,3.5082717825786514,3.4260466480881577,3.4652016162872314,175800,0.0,0.0
2006-05-02 00:00:00,3.3673148155212402,3.3868919276434104,3.328159844457944,3.3673148155212402,497700,0.0,0.0
2006-05-03 00:00:00,3.386891998691422,3.406469484633754,3.30858242833158,3.3555681705474854,751700,0.0,0.0
2006-05-04 00:00:00,3.343821934834971,3.457370908825253,3.343821934834971,3.449540138244629,474900,0.0,0.0
2006-05-05 00:00:00,3.3908074994316357,3.4143005567515092,3.328159844457944,3.3673148155212402,622300,0.0,0.0
2006-05-08 00:00:00,3.3673154413833175,3.4182163904529776,3.3359916080745045,3.386892557144165,277400,0.0,0.0
2006-05-09 00:00:00,3.4652021004794755,3.5043567007401655,3.3868921531390894,3.441709041595459,510400,0.0,0.0
2006-05-10 00:00:00,3.504356397385149,3.516102739105582,3.3673147482215056,3.4064693450927734,765000,0.0,0.0
2006-05-11 00:00:00,3.406469376998008,3.4769481747996585,3.328159809112549,3.328159809112549,467300,0.0,0.0
2006-05-12 00:00:00,3.312497374169673,3.3829761608784157,3.2224411052185666,3.2381033897399902,596200,0.0,0.0
2006-05-15 00:00:00,3.289005353336866,3.328160330113782,3.214611345552164,3.2498507499694824,145100,0.0,0.0
2006-05-16 00:00:00,3.2263576744234976,3.308582826550264,3.210695758466472,3.2302732467651367,135900,0.0,0.0
2006-05-17 00:00:00,3.28508986319073,3.2968362058187757,3.1872028033348507,3.191118001937866,577800,0.0,0.0
2006-05-18 00:00:00,3.1715406894067977,3.2263572004995504,2.8308936006176886,2.920949697494507,1151300,0.0,0.0
2006-05-19 00:00:00,2.8935409222822055,2.9601041410149223,2.740837188351378,2.9287803173065186,988500,0.0,0.0
2006-05-22 00:00:00,2.846555438500924,2.8700483083602,2.50590854548432,2.674274206161499,683500,0.0,0.0
2006-05-23 00:00:00,2.740837991619479,2.803485657396683,2.5528948075830953,2.5920495986938477,604600,0.0,0.0
2006-05-24 00:00:00,2.61554220598148,2.740837711432086,2.564641076093353,2.6546971797943115,1302000,0.0,0.0
2006-05-25 00:00:00,2.682105686661101,2.7134295192584346,2.5842186164420475,2.5959651470184326,462600,0.0,0.0
2006-05-26 00:00:00,2.6037958048133603,2.6546971202648173,2.4041061149829113,2.4667539596557617,831000,0.0,0.0
2006-05-30 00:00:00,2.494162140284808,2.5411478823220235,2.392359699204174,2.4119369983673096,492100,0.0,0.0
2006-05-31 00:00:00,2.4354300656549768,2.5019932989243396,2.3688670190903713,2.455007553100586,464000,0.0,0.0
2006-06-01 00:00:00,2.419768030985281,2.4628383892176084,2.400190731210403,2.4080216884613037,575100,0.0,0.0
2006-06-02 00:00:00,2.4628383537205902,2.4628383537205902,2.400190696616329,2.4275989532470703,162800,0.0,0.0
2006-06-05 00:00:00,2.5059085103087653,2.5059085103087653,2.3101344108581543,2.3101344108581543,186100,0.0,0.0
2006-06-06 00:00:00,2.337542823942765,2.3610358817715102,2.1770081112430453,2.220078468322754,200400,0.0,0.0
2006-06-07 00:00:00,2.1574309471835047,2.28664183981465,2.0830367572766852,2.227909564971924,1041300,0.0,0.0
2006-06-08 00:00:00,2.2005008675238447,2.223993737421764,1.8794314588808805,2.0164732933044434,1899100,0.0,0.0
2006-06-09 00:00:00,2.036051025506214,2.204416909051287,2.036051025506214,2.094783306121826,900200,0.0,0.0
2006-06-12 00:00:00,2.267064373006037,2.2709799451596266,2.0595439031894607,2.1887547969818115,815400,0.0,0.0
2006-06-13 00:00:00,2.141768570557535,2.2279092790602055,1.949910042291577,1.9616565704345703,818100,0.0,0.0
2006-06-14 00:00:00,1.942078990613868,2.0556279480457307,1.8990086384727307,1.9577409029006958,1113400,0.0,0.0
2006-06-15 00:00:00,1.9734034737722232,1.9773190465030366,1.8441925609319252,1.8676854372024536,744400,0.0,0.0
2006-06-16 00:00:00,1.8833468318160307,1.9303325713117747,1.8050372659897904,1.8520230054855347,532500,0.0,0.0
2006-06-19 00:00:00,1.8559383852975226,2.016473274854942,1.84027647217554,1.9968957901000977,899900,0.0,0.0
2006-06-20 00:00:00,1.9812338951051975,2.0830365180342483,1.9734029384725578,2.0164732933044434,381000,0.0,0.0
2006-06-21 00:00:00,2.000811880227042,2.223994293403562,1.9968963075794919,2.2044169902801514,331700,0.0,0.0
2006-06-22 00:00:00,2.227909401101296,2.2788107146680043,2.165261745452881,2.165261745452881,241000,0.0,0.0
2006-06-23 00:00:00,2.1535153750651044,2.270979924750557,2.1261069303505638,2.227909564971924,156900,0.0,0.0
2006-06-26 00:00:00,2.2514023582140603,2.3727822890349444,2.231824871721604,2.3492894172668457,210100,0.0,0.0
2006-06-27 00:00:00,2.353204989247236,2.411937075315109,2.3062190590062905,2.3492894172668457,650600,0.0,0.0
2006-06-28 00:00:00,2.349289335440438,2.349289335440438,2.2005009660534056,2.317965507507324,166600,0.0,0.0
2006-06-29 00:00:00,2.314049952818763,2.3336274387744695,2.161346197160377,2.220078468322754,410000,0.0,0.0
2006-06-30 00:00:00,2.290557290283451,2.290557290283451,2.1770083094914425,2.2396559715270996,252000,0.0,0.0
2006-07-03 00:00:00,2.31796530578625,2.31796530578625,2.243571127566892,2.274894952774048,67800,0.0,0.0
2006-07-05 00:00:00,2.2396555928899025,2.2983878594714073,2.1809235130131266,2.2318246364593506,320800,0.0,0.0
2006-07-06 00:00:00,2.1730925565825743,2.2983878594714073,2.15351507215383,2.2318246364593506,97200,0.0,0.0
2006-07-07 00:00:00,2.231824810499256,2.3101345676161777,2.153515240087078,2.161346197128296,89200,0.0,0.0
2006-07-10 00:00:00,2.1221917680997495,2.235740757607247,2.1143608097442246,2.149600028991699,117500,0.0,0.0
2006-07-11 00:00:00,2.161346457479352,2.231825079340013,2.114360709572245,2.1221916675567627,181200,0.0,0.0
2006-07-12 00:00:00,2.106529533636024,2.1339377903936634,2.0164734327793243,2.0243043899536133,38700,0.0,0.0
2006-07-13 00:00:00,2.0438816885900195,2.114360489830716,2.020388817078036,2.0830366611480713,465600,0.0,0.0
2006-07-14 00:00:00,2.063459547812414,2.145684706317853,2.028220140823003,2.0908679962158203,136900,0.0,0.0
2006-07-17 00:00:00,2.0752057461702047,2.0752057461702047,2.0282198154861804,2.039966344833374,83800,0.0,0.0
2006-07-18 00:00:00,2.051712376621663,2.051712376621663,1.9577409029006958,1.9577409029006958,168000,0.0,0.0
2006-07-19 00:00:00,1.9968960644729372,1.9968960644729372,1.8990090006585307,1.9773187637329102,306000,0.0,0.0
2006-07-20 00:00:00,2.0008117177608904,2.1143607014527346,2.0008117177608904,2.043881893157959,703900,0.0,0.0
2006-07-21 00:00:00,2.083036237939521,2.1378529269970925,2.0556278000583807,2.0595433712005615,184700,0.0,0.0
2006-07-24 00:00:00,2.098698679596704,2.184839212747034,2.055628319669162,2.110445022583008,157400,0.0,0.0
2006-07-25 00:00:00,2.130022625541281,2.177008373448388,2.114360709572245,2.1221916675567627,214300,0.0,0.0
2006-07-26 00:00:00,2.1300219714174395,2.153514838156399,2.0556278000583807,2.0595433712005615,133500,0.0,0.0
2006-07-27 00:00:00,2.083036602695451,2.094782944769453,2.03996624611305,2.047797203063965,251800,0.0,0.0
2006-07-28 00:00:00,2.098698683575802,2.4275990883872236,2.098698683575802,2.400190830230713,1089200,0.0,0.0
2006-07-31 00:00:00,2.3571204516987394,2.545063618701834,2.3571204516987394,2.5333170890808105,266200,0.0,0.0
2006-08-01 00:00:00,2.529401601490885,2.545063515883016,2.345373827326224,2.388444185256958,224400,0.0,0.0
2006-08-02 00:00:00,2.302303749111723,2.545063618701834,2.2983881770031305,2.5333170890808105,106300,0.0,0.0
2006-08-03 00:00:00,2.5411479845433167,2.5411479845433167,2.4080217100826786,2.4628384113311768,128100,0.0,0.0
2006-08-04 00:00:00,2.4667538346376503,2.4667538346376503,2.3101345109503053,2.3610358238220215,242700,0.0,0.0
2006-08-07 00:00:00,2.33362750275478,2.3492894172668457,2.2905571444942248,2.3492894172668457,64900,0.0,0.0
2006-08-08 00:00:00,2.317965588242714,2.38844420354701,2.2905571444942248,2.3492894172668457,62600,0.0,0.0
2006-08-09 00:00:00,2.368866980629485,2.455007513241123,2.364951408522033,2.439345598220825,148300,0.0,0.0
2006-08-10 00:00:00,2.3492892593190913,2.3845286579543927,2.2553177785646006,2.32188081741333,341800,0.0,0.0
2006-08-11 00:00:00,2.306218865873892,2.368866705380512,2.3023034809261405,2.3649511337280273,218000,0.0,0.0
2006-08-14 00:00:00,2.329711929247549,2.4275989882361815,2.329711929247549,2.4080216884613037,208700,0.0,0.0
2006-08-15 00:00:00,2.4080216530830336,2.5215706249052237,2.4080216530830336,2.4863312244415283,286700,0.0,0.0
2006-08-16 00:00:00,2.529401564064732,2.662528021132795,2.46675390742317,2.5842182636260986,483900,0.0,0.0
2006-08-17 00:00:00,2.5646408589497445,2.6429504265355708,2.482415719632259,2.556809902191162,218300,0.0,0.0
2006-08-18 00:00:00,2.545063694667145,2.576387525651825,2.5059089059362947,2.5294017791748047,131800,0.0,0.0
2006-08-21 00:00:00,2.5254861673778675,2.584218442906255,2.505908866671576,2.513739824295044,138400,0.0,0.0
2006-08-22 00:00:00,2.537233298486751,2.5842190553631275,2.537233298486751,2.58030366897583,233700,0.0,0.0
2006-08-23 00:00:00,2.5842180671178476,2.6546968621850238,2.4510918068776717,2.5998799800872803,216500,0.0,0.0
2006-08-24 00:00:00,2.5881340485326643,2.717344944342847,2.5881340485326643,2.682105541229248,301200,0.0,0.0
2006-08-25 00:00:00,2.7173447829474533,2.779992441024248,2.6821053819268816,2.7721614837646484,377000,0.0,0.0
2006-08-28 00:00:00,2.748668531274175,2.877879415615801,2.748668531274175,2.858302116394043,257700,0.0,0.0
2006-08-29 00:00:00,2.9092030302624035,2.917033986717434,2.4667537104960866,2.6977670192718506,274500,0.0,0.0
2006-08-30 00:00:00,2.682105541229248,2.7564997329664234,2.5763875185932115,2.682105541229248,323900,0.0,0.0
