Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2016-01-27 00:00:00-05:00,0.002400000113993883,0.0026000000070780516,0.002300000051036477,0.0024999999441206455,2051157,0.0,0.0,0.0
2016-06-10 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-06-13 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-06-14 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-06-15 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-06-16 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-06-17 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-06-20 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-07-20 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-07-21 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-07-22 00:00:00-04:00,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,0,0.0,0.0,0.0
2016-09-06 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-07 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-08 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-09 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-12 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-13 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-14 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-15 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-16 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-19 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-20 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-21 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-22 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-23 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-26 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-27 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-28 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-29 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-09-30 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-10-13 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-10-14 00:00:00-04:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-21 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-22 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-23 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-25 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-28 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-29 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-11-30 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-12-01 00:00:00-05:00,2.686000108718872,2.686000108718872,2.686000108718872,2.686000108718872,0,0.0,0.0,0.0
2016-12-02 00:00:00-05:00,2.7039999961853027,3.0299999713897705,2.7039999961853027,3.002000093460083,34697,0.0,0.0,0.0
