scenario,model,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight
primary,byd_v1_2_convex_momentum_budget_v1,development,743.000000000000,2.948412698413,4.555094053177,0.788848949041,0.529301071854,1.362797275962,-0.422190155696,1.868468362885,6.553243720686,1.111317239309,0.912689510910,0.080753701211
primary,byd_v1_2_convex_momentum_budget_v1,fixed_validation,484.000000000000,1.920634920635,0.162516536805,0.081560434570,0.313899431949,0.403219365695,-0.413411099647,0.197286513690,7.108931635153,1.850672285185,0.894774150231,0.108987603306
primary,byd_v1_2_convex_momentum_budget_v1,retrospective_2025_plus,382.000000000000,1.515873015873,0.094845731387,0.061599172361,0.322620561630,0.344551773577,-0.372917723329,0.165181670132,3.100935783249,1.022821750496,0.854778099335,0.145287958115
primary,byd_v1_2_convex_momentum_budget_v1,full_overlap,1609.000000000000,6.384920634921,6.070391877325,0.358435443901,0.429044247116,0.926613597391,-0.492022893207,0.728493427540,16.763111139088,1.312711002812,0.893551416572,0.104568054692
primary,byd_v1_3_min_hold_bear_defense,development,743.000000000000,2.948412698413,4.166391456378,0.745374242614,0.523428607356,1.325169290729,-0.422190155696,1.765494132339,8.643449501835,1.465780130863,0.888498406029,0.105787348587
primary,byd_v1_3_min_hold_bear_defense,fixed_validation,484.000000000000,1.920634920635,0.194238455369,0.096827463325,0.299616211672,0.454420064762,-0.370986848018,0.260999719646,9.305836631543,2.422593833832,0.813267940051,0.192768595041
primary,byd_v1_3_min_hold_bear_defense,retrospective_2025_plus,382.000000000000,1.515873015873,0.048660372788,0.031840389369,0.300705625437,0.253435947881,-0.357203839849,0.089137869800,6.200000000000,2.045026178010,0.765706806283,0.234293193717
primary,byd_v1_3_min_hold_bear_defense,full_overlap,1609.000000000000,6.384920634921,5.470133149907,0.339690358767,0.418719782410,0.905981053320,-0.462279666543,0.734815704327,24.149286133378,1.891118740091,0.836715971824,0.162461155998
stress,byd_v1_2_convex_momentum_budget_v1,development,743.000000000000,2.948412698413,4.481414164157,0.780766255515,0.529261146194,1.354284583316,-0.422776388895,1.846759365051,6.553243720686,1.111317239309,0.912689510910,0.080753701211
stress,byd_v1_2_convex_momentum_budget_v1,fixed_validation,484.000000000000,1.920634920635,0.145780412551,0.073425232847,0.313875891797,0.379185447723,-0.418668770954,0.175377859398,7.108931635153,1.850672285185,0.894774150231,0.108987603306
stress,byd_v1_2_convex_momentum_budget_v1,retrospective_2025_plus,382.000000000000,1.515873015873,0.088092891775,0.057275148639,0.322585482082,0.331898251314,-0.374794529148,0.152817461795,3.100935783249,1.022821750496,0.854778099335,0.145287958115
stress,byd_v1_2_convex_momentum_budget_v1,full_overlap,1609.000000000000,6.384920634921,5.833764123331,0.351212415780,0.429012032667,0.914213493803,-0.497941895295,0.705328109763,16.763111139088,1.312711002812,0.893551416572,0.104568054692
stress,byd_v1_3_min_hold_bear_defense,development,743.000000000000,2.948412698413,4.075726556794,0.734924929242,0.523440075212,1.313655846401,-0.422776388895,1.738330116215,8.643449501835,1.465780130863,0.888498406029,0.105787348587
stress,byd_v1_3_min_hold_bear_defense,fixed_validation,484.000000000000,1.920634920635,0.171576401179,0.085940894309,0.299752273047,0.421080315053,-0.377659643615,0.227561762984,9.305836631543,2.422593833832,0.813267940051,0.192768595041
stress,byd_v1_3_min_hold_bear_defense,retrospective_2025_plus,382.000000000000,1.515873015873,0.035790731269,0.023469101813,0.300590512221,0.226319553472,-0.362721576896,0.064702800461,6.200000000000,2.045026178010,0.765706806283,0.234293193717
stress,byd_v1_3_min_hold_bear_defense,full_overlap,1609.000000000000,6.384920634921,5.159434667337,0.329404403817,0.418740282705,0.887534884175,-0.470547440518,0.700045044245,24.149286133378,1.891118740091,0.836715971824,0.162461155998
