recipe_id,excluded_sector,sharpe_log_excess,maximum_drawdown,annual_one_way_turnover
h0_g1_single,added_defense_and_growth,0.9761566758908439,-0.25227924022800996,1.2454341084509546
h0_g1_single,ai_compute,1.1123009699539055,-0.19767209481005332,0.9664277865206515
h0_g1_single,consumer_technology,1.0215302243597748,-0.19672289330454507,1.2006771260431146
h0_g1_single,new_energy,1.383604145303147,-0.18301374419435623,1.1259840652549498
h0_g1_single,power_grid,1.3896984972812731,-0.17416463754351819,1.1877141293310436
h0_g1_single,resources_shipping,1.3140268655357346,-0.1754180662006306,1.1558090165067014
h1_g1_dual,added_defense_and_growth,1.0246752879252685,-0.22482781011849162,1.2652484521221408
h1_g1_dual,ai_compute,1.0960863192180605,-0.19152593370579385,1.01207715850218
h1_g1_dual,consumer_technology,1.1130256865738266,-0.205295049727647,1.376075817595176
h1_g1_dual,new_energy,1.1889142265070924,-0.20255446933865606,1.2640215438650242
h1_g1_dual,power_grid,1.3095184831988587,-0.19249869223111826,1.3509953700173014
h1_g1_dual,resources_shipping,1.2118977085303462,-0.19061863621691677,1.253154846911982
h2_g1_triple,added_defense_and_growth,1.0301985780697318,-0.2315553427023186,1.2592081119434446
h2_g1_triple,ai_compute,1.0351162800275049,-0.2020774545101367,0.9880994328828366
h2_g1_triple,consumer_technology,1.0576481848972417,-0.19195899846570053,1.2428791700775101
h2_g1_triple,new_energy,1.2597842116392712,-0.1900165166563773,1.178232319350612
h2_g1_triple,power_grid,1.1619847682411544,-0.1974953543030279,1.2707028370894355
h2_g1_triple,resources_shipping,1.2632437266696677,-0.1901182396770964,1.1786444346119165
h3_g1_quad,added_defense_and_growth,1.0153914146172265,-0.20961631634581535,1.2676015608378062
h3_g1_quad,ai_compute,1.0285195356550847,-0.19474829793169457,0.9815978196956822
h3_g1_quad,consumer_technology,1.1013908280682974,-0.20936427431962334,1.3422576006618152
h3_g1_quad,new_energy,1.1808414343222164,-0.20107872378822522,1.2431618388378385
h3_g1_quad,power_grid,1.194510880719817,-0.20318985146334667,1.3410091548719276
h3_g1_quad,resources_shipping,1.1771028844584412,-0.20105038017129195,1.2200837040424997
h4_g1_five,added_defense_and_growth,1.0015353757790846,-0.2265524235229689,1.2661461683025093
h4_g1_five,ai_compute,1.028567909319319,-0.2013705778386773,0.9961229447137062
h4_g1_five,consumer_technology,1.0155721436334688,-0.20868941172042266,1.3425033868420386
h4_g1_five,new_energy,1.1942822416072942,-0.21134626891881958,1.262229309821624
h4_g1_five,power_grid,1.2320438606059299,-0.20210153928777264,1.3643920515658836
h4_g1_five,resources_shipping,1.2172809286562207,-0.20799467377464798,1.2114072179168105
h5_g2_triple,added_defense_and_growth,1.1319537579865544,-0.23563766295327926,1.2329126231774659
h5_g2_triple,ai_compute,1.0323340122065745,-0.20812153353696772,0.9605214427001936
h5_g2_triple,consumer_technology,1.0463693116851935,-0.1958238152869689,1.217666348703951
h5_g2_triple,new_energy,1.2415325079526893,-0.19227922415770948,1.1482542569906515
h5_g2_triple,power_grid,1.1456797705137518,-0.201527383539586,1.2476363061059708
h5_g2_triple,resources_shipping,1.237216607522106,-0.19399193610277232,1.1577275209799793
