recipe_id,constraint_id,sleeve_count,full_total_return,full_cagr,full_annual_volatility,full_sharpe_log_excess,full_maximum_drawdown,full_annual_one_way_turnover,full_transaction_cost_paid,double_cost_full_sharpe,delay_two_full_sharpe,phase_sharpes,worst_timing_perturbation_sharpe,fold_sharpes,fold_sharpe_25th_percentile,positive_fold_share,bootstrap_sharpe_percentile_05,bootstrap_probability_sharpe_above_zero,bootstrap_probability_sharpe_above_one,parameter_neighborhood_minimum_sharpe,parameter_neighborhood_median_sharpe,parameter_neighborhood_maximum_drawdown_magnitude,leave_one_sector_out_minimum_sharpe,leave_one_sector_out_median_sharpe,maximum_post_drift_single_equity_sleeve_share,maximum_post_drift_sector_equity_sleeve_share,post_drift_sector_share_p95,post_drift_effective_names_median,post_drift_effective_names_p05,maximum_single_name_positive_contribution_share,maximum_single_sector_positive_contribution_share,minimum_robustness_score,selection_gate_passed,failure_reasons
h0_g1_single,g1,1,1.2713579628576586,0.3278849500297749,0.23345986437609834,1.1443579577389926,-0.19639261050289858,1.6344971898281082,0.00560238235705104,1.1357812313377313,1.1090314318268086,"{""0"": 1.1443579577389926, ""15"": 0.9830856422077885, ""22"": 0.8026104831910721, ""8"": 0.8690376715162776}",0.8026104831910721,"[1.477943201301579, 0.33733300734435717, 0.8854497727785134, 0.8903133045243492, 3.0371439452501368, 0.5393088402603202]",0.6258440733898685,1.0,0.22883477239010921,0.982,0.6005,1.1279000963346615,1.1443579577389926,0.19758979697041346,0.9761566758908439,1.21316391774482,0.25861573087053213,0.5053551489172418,0.47513989336476176,9.006176316969352,7.954540065874245,0.10405048294850226,0.29073900739856845,0.22883477239010921,False,timing_perturbation_sharpe+bootstrap_p05
h2_g1_triple,g1,3,1.2027437690214438,0.31387923927918604,0.23368879482272667,1.0983784149798135,-0.20755196154548117,1.6663183401648427,0.00571658050785223,1.0899654874527032,1.0972669512963635,"{""0"": 1.0983784149798135, ""15"": 1.1365067108390108, ""22"": 0.8956915778268169, ""8"": 0.8673857910466067}",0.8673857910466067,"[1.0815173928288273, -0.11248664414233656, 0.8306503676222612, 1.5592112826886562, 2.8907568805308714, 0.4509038545566125]",0.5458404828230247,0.8333333333333334,0.2201076660480177,0.981,0.5795,1.041638188751124,1.0924785352099011,0.2092588156476688,1.0301985780697318,1.109816476569198,0.259825173928903,0.4307501536274777,0.41063396507037936,12.66937872088883,10.216430270669541,0.0937820781570764,0.2761966223492995,0.2201076660480177,False,drawdown+full_sharpe+positive_fold_share+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_one
h5_g2_triple,g2,3,1.1850279064647036,0.31021677755693844,0.2359945307452372,1.075365996044025,-0.21085402586240587,1.6146248864270554,0.00548989272122958,1.0673614502228816,1.0749491009202041,"{""0"": 1.075365996044025, ""15"": 1.1122792048274388, ""22"": 0.9089294787777561, ""8"": 0.8521830384472453}",0.8521830384472453,"[1.0248775832803005, -0.1292196528909502, 0.8253418512979502, 1.5542092315986171, 2.811545707685939, 0.42300010472957467]",0.5235855413716686,0.8333333333333334,0.19361243733754085,0.978,0.5565,1.0254849587002655,1.0753202155101078,0.2112539002262539,1.0323340122065745,1.1388167642501532,0.25961747102242305,0.42290093464521494,0.3952206563322579,13.075044971041573,10.908988869899865,0.09153795470005838,0.2843837203917123,0.19361243733754085,False,drawdown+full_sharpe+double_cost_sharpe+positive_fold_share+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_zero+bootstrap_probability_above_one
h1_g1_dual,g1,2,1.2022158995808367,0.31377039012607333,0.23721499023737136,1.081910588715062,-0.2189076700646707,1.7586559281594236,0.006112100931858315,1.0728724149726363,1.0824335138146057,"{""0"": 1.081910588715062, ""15"": 1.081910588715062, ""22"": 0.9045355466445163, ""8"": 0.8929802288623349}",0.8929802288623349,"[0.9459876553352554, -0.04998532745897286, 0.7412479617373646, 1.3107920605392085, 3.19492354464524, 0.5724562909434469]",0.6146542086419263,0.8333333333333334,0.17610253400656742,0.976,0.5635,1.0368592694328853,1.0788178395336212,0.22673493660232236,1.0246752879252685,1.1509699565404596,0.2590449170947342,0.47745559209974364,0.44246455115692207,11.116648660457326,8.736366192084947,0.12492217222691607,0.27411439178954516,0.17610253400656742,False,drawdown+full_sharpe+double_cost_sharpe+positive_fold_share+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_zero+bootstrap_probability_above_one+parameter_drawdown
h3_g1_quad,g1,4,1.032461270499812,0.2778410545787082,0.2336346078663881,0.9793555979981958,-0.21319831869439076,1.7141939802582224,0.0059278986191325465,0.9703367521458833,0.9640261166013793,"{""0"": 0.9793555979981958, ""15"": 1.0204537240199893, ""22"": 0.9671604535203926, ""8"": 1.0315565061699568}",0.9640261166013793,"[1.0396510377834456, -0.1207562283400525, 0.7203863145441933, 1.6833870858337745, 2.817877185584146, 0.07815759383112213]",0.23871477400938995,0.8333333333333334,0.11840352990206804,0.966,0.4895,0.9425941730133747,0.97777390700967,0.21558462995616845,1.0153914146172265,1.1392468562633693,0.21724675689392192,0.4677378402746901,0.4231436583531703,12.376203862896023,10.14729903366775,0.12060195768368741,0.2660810264713501,0.11840352990206804,False,drawdown+full_sharpe+double_cost_sharpe+positive_fold_share+fold_sharpe_25th_percentile+bootstrap_p05+bootstrap_probability_above_zero+bootstrap_probability_above_one+parameter_minimum_sharpe
h4_g1_five,g1,5,1.0106582787863339,0.2730857949792824,0.23727633858077782,0.9474001831044762,-0.22716211782244966,1.7844794546908176,0.006233249716148135,0.9381523151370234,0.9528374782052371,"{""0"": 0.9474001831044762, ""15"": 1.0028702109892143, ""22"": 0.9209841505097055, ""8"": 1.0358131346591712}",0.9209841505097055,"[1.0826071263744381, -0.15423552078382996, 0.7054351097794319, 1.5261833138542933, 2.45527280233949, 0.3124607707130734]",0.410704355479663,0.8333333333333334,0.06514991018857526,0.9585,0.461,0.9091943627467114,0.9475441019955213,0.22881006842846396,1.0015353757790846,1.1114250754633066,0.2538888898749172,0.4431383962064205,0.4043897718596939,12.213471364686324,10.063704709674031,0.10336796766617651,0.30378871163994675,0.06514991018857526,False,drawdown+full_sharpe+double_cost_sharpe+positive_fold_share+fold_sharpe_25th_percentile+bootstrap_p05+bootstrap_probability_above_zero+bootstrap_probability_above_one+parameter_minimum_sharpe+parameter_drawdown
