recipe_id,variant,sharpe_log_excess,maximum_drawdown_magnitude
h0_g1_single,base,1.1443579577389926,0.19639261050289858
h0_g1_single,covariance_lookback_90,1.1666071170879468,0.19648604978005746
h0_g1_single,covariance_lookback_150,1.1279000963346615,0.1970165151487785
h0_g1_single,covariance_shrinkage_0.25,1.146462223634143,0.19758979697041346
h0_g1_single,covariance_shrinkage_0.75,1.149127367355803,0.19636364229957726
h0_g1_single,sector_cap_-0.05,1.1337579153570174,0.1963926105028987
h0_g1_single,sector_cap_+0.05,1.1431350425499671,0.19639261050289858
h0_g1_single,effective_names_-1.0,1.1443579577389926,0.19639261050289858
h0_g1_single,effective_names_+1.0,1.1440447635311581,0.19639261050289858
h1_g1_dual,base,1.081910588715062,0.2189076700646707
h1_g1_dual,covariance_lookback_90,1.0368592694328853,0.22673493660232236
h1_g1_dual,covariance_lookback_150,1.0612690422192437,0.22480381025732188
h1_g1_dual,covariance_shrinkage_0.25,1.0910882257401784,0.2112817481428223
h1_g1_dual,covariance_shrinkage_0.75,1.1135635725306383,0.2092341990183798
h1_g1_dual,sector_cap_-0.05,1.0699456278593746,0.21771880649257924
h1_g1_dual,sector_cap_+0.05,1.0812554787596107,0.21891187654456046
h1_g1_dual,effective_names_-1.0,1.0788178395336212,0.21884337289281475
h1_g1_dual,effective_names_+1.0,1.0765264023284808,0.217695974653638
h2_g1_triple,base,1.0983784149798135,0.20755196154548117
h2_g1_triple,covariance_lookback_90,1.041638188751124,0.20782187105029593
h2_g1_triple,covariance_lookback_150,1.0874317941476397,0.20633259640014978
h2_g1_triple,covariance_shrinkage_0.25,1.0836845525192156,0.2092588156476688
h2_g1_triple,covariance_shrinkage_0.75,1.1117865060362415,0.20677685498838483
h2_g1_triple,sector_cap_-0.05,1.0917175430759885,0.20675890960314325
h2_g1_triple,sector_cap_+0.05,1.0975731349111957,0.20755338436696513
h2_g1_triple,effective_names_-1.0,1.0983784149798135,0.20755196154548117
h2_g1_triple,effective_names_+1.0,1.0924785352099011,0.2070953410617411
h3_g1_quad,base,0.9793555979981958,0.21319831869439076
h3_g1_quad,covariance_lookback_90,0.9425941730133747,0.21522148665719476
h3_g1_quad,covariance_lookback_150,0.9625767233346406,0.21558462995616845
h3_g1_quad,covariance_shrinkage_0.25,0.97777390700967,0.20984415513335086
h3_g1_quad,covariance_shrinkage_0.75,1.0012526643129032,0.2065741691199685
h3_g1_quad,sector_cap_-0.05,0.9740127371350606,0.2125991971518144
h3_g1_quad,sector_cap_+0.05,0.9789749729952898,0.2131998946175555
h3_g1_quad,effective_names_-1.0,0.9793377842417242,0.2131592033361891
h3_g1_quad,effective_names_+1.0,0.973081850244231,0.21259922106147788
h4_g1_five,base,0.9474001831044762,0.22716211782244966
h4_g1_five,covariance_lookback_90,0.9091943627467114,0.2256230325931905
h4_g1_five,covariance_lookback_150,0.944223638849156,0.2254480398128137
h4_g1_five,covariance_shrinkage_0.25,0.969194585576337,0.22881006842846396
h4_g1_five,covariance_shrinkage_0.75,0.9620519115563693,0.22265209100047467
h4_g1_five,sector_cap_-0.05,0.9521058200494552,0.2264162545986299
h4_g1_five,sector_cap_+0.05,0.9475441019955213,0.22716683735651721
h4_g1_five,effective_names_-1.0,0.9465217316635304,0.22325639098023708
h4_g1_five,effective_names_+1.0,0.9508572190789177,0.2266147611341468
h5_g2_triple,base,1.075365996044025,0.21085402586240587
h5_g2_triple,covariance_lookback_90,1.0254849587002655,0.21105537185798906
h5_g2_triple,covariance_lookback_150,1.0753202155101078,0.2090934092551494
h5_g2_triple,covariance_shrinkage_0.25,1.0680095804166307,0.2112539002262539
h5_g2_triple,covariance_shrinkage_0.75,1.092882040614105,0.2096350298892895
h5_g2_triple,sector_cap_-0.05,1.0686529681246764,0.21043835866584182
h5_g2_triple,sector_cap_+0.05,1.0774427663758182,0.21084187899692652
h5_g2_triple,effective_names_-1.0,1.075365996044025,0.21085402586240587
h5_g2_triple,effective_names_+1.0,1.07443753695082,0.21098047298724265
