recipe_id,variant,sharpe_log_excess,maximum_drawdown_magnitude
p0_v1_2_control,base,1.1182969096156454,0.21173423941045477
p0_v1_2_control,lookback_x0.75,1.1182969096156454,0.21173423941045477
p0_v1_2_control,lookback_x1.25,1.1182969096156454,0.21173423941045477
p1_sector_equal_reference,base,1.0571821987463266,0.22954911439292747
p1_sector_equal_reference,lookback_x0.75,1.0546344953122153,0.22927433830222677
p1_sector_equal_reference,lookback_x1.25,1.0554182136284662,0.2311701459410227
p2_correlation_penalty_reference,base,1.0860028814864833,0.20950803324910183
p2_correlation_penalty_reference,lookback_x0.75,1.1206458357641569,0.20388161790078585
p2_correlation_penalty_reference,lookback_x1.25,1.0758332327192437,0.21028542793970095
p2_correlation_penalty_reference,shrinkage_-0.25,1.0879839614625477,0.20785389631263196
p2_correlation_penalty_reference,shrinkage_+0.25,1.0838224736663367,0.21131130418771016
p3_shrink_minimum_variance_reference,base,1.242849876882425,0.19199599716265536
p3_shrink_minimum_variance_reference,lookback_x0.75,1.2512123914204316,0.20575568587234816
p3_shrink_minimum_variance_reference,lookback_x1.25,1.1764982011728407,0.19826427918606782
p3_shrink_minimum_variance_reference,shrinkage_-0.25,1.1488987201154341,0.18607872882484755
p3_shrink_minimum_variance_reference,shrinkage_+0.25,1.2199111280462511,0.21458168783021914
p4_sector_equal_portfolio_target,base,1.0895157742289736,0.20130778281354245
p4_sector_equal_portfolio_target,lookback_x0.75,1.0406222095198052,0.22314665764960395
p4_sector_equal_portfolio_target,lookback_x1.25,1.0866903275777238,0.20397051265225008
p4_sector_equal_portfolio_target,target_vol_-0.02,1.076170901532873,0.19151298883185774
p4_sector_equal_portfolio_target,target_vol_+0.02,1.0889015313226726,0.21701476538513087
p5_diversified_blend_portfolio_target,base,1.1139426596099018,0.1990902946060732
p5_diversified_blend_portfolio_target,lookback_x0.75,1.1011547184795698,0.21365298333180138
p5_diversified_blend_portfolio_target,lookback_x1.25,1.1001843990746873,0.20276056337367276
p5_diversified_blend_portfolio_target,shrinkage_-0.25,1.1098995338932285,0.19112039905910905
p5_diversified_blend_portfolio_target,shrinkage_+0.25,1.0918852485594468,0.21256361339504892
p5_diversified_blend_portfolio_target,target_vol_-0.02,1.1106490940159144,0.19306333620945026
p5_diversified_blend_portfolio_target,target_vol_+0.02,1.105606121195664,0.2060858068778153
