recipe_id,weighting,exposure_policy,full_total_return,full_cagr,full_annual_volatility,full_sharpe_log_excess,full_maximum_drawdown,full_annual_one_way_turnover,double_cost_full_sharpe,delay_two_full_sharpe,phase_sharpes,worst_timing_perturbation_sharpe,fold_sharpes,fold_sharpe_25th_percentile,positive_fold_share,bootstrap_sharpe_percentile_05,bootstrap_probability_sharpe_above_zero,bootstrap_probability_sharpe_above_one,parameter_neighborhood_minimum_sharpe,parameter_neighborhood_median_sharpe,parameter_neighborhood_maximum_drawdown_magnitude,drawdown_improvement_vs_control,minimum_robustness_score,selection_gate_passed,failure_reasons
p3_shrink_minimum_variance_reference,shrinkage_minimum_variance,reference_volatility_target,1.3674737495256966,0.3470463165947897,0.22676310402191868,1.242849876882425,-0.19199599716265536,1.7651902959333499,1.2330937792478318,1.2102805505884715,"{""0"": 1.242849876882425, ""15"": 1.1825469996162323, ""22"": 1.3544509750290528, ""8"": 0.9625934860186943}",0.9625934860186943,"[1.7665589921801943, 0.11642216571692189, 1.0484012521730828, 1.4526240337129748, 3.0085168972661265, 0.48429915705553744]",0.6253246808349238,1.0,0.3492474615483592,0.992,0.675,1.1488987201154341,1.2199111280462511,0.21458168783021914,0.01973824224779941,0.3492474615483592,True,
p0_v1_2_control,inverse_volatility,reference_volatility_target,1.28429006194449,0.3304935634167585,0.24086991503241273,1.1182969096156454,-0.21173423941045477,1.574738088281046,1.1103706993612465,1.0996852746402586,"{""0"": 1.1182969096156454, ""15"": 0.9834642045933162, ""22"": 0.8841904621595261, ""8"": 0.9219715916003273}",0.8841904621595261,"[1.6727420384389586, 0.34908286033326913, 0.8390760403250624, 0.9301098934888905, 2.4971049330453847, 0.7397177094935026]",0.7645572922013926,1.0,0.24610561070881493,0.988,0.589,1.1182969096156454,1.1182969096156454,0.21173423941045477,0.0,0.24610561070881493,False,drawdown+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_one+drawdown_improvement_vs_control
p5_diversified_blend_portfolio_target,sector_correlation_blend,portfolio_volatility_target,1.332453857874996,0.34012483533281346,0.24883790218754132,1.1139426596099018,-0.1990902946060732,1.5347156372111461,1.1065162293575381,1.071984817859681,"{""0"": 1.1139426596099018, ""15"": 0.970413689898313, ""22"": 0.8264713807962296, ""8"": 0.8871135427489545}",0.8264713807962296,"[1.3917828805739294, -0.10798530636279086, 0.9814053655508976, 0.9565733097315097, 2.4686611776885647, 0.9256639403752805]",0.9333912827143378,0.8333333333333334,0.2321118196798119,0.986,0.587,1.0918852485594468,1.105606121195664,0.21365298333180138,0.01264394480438158,0.2321118196798119,False,positive_fold_share+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_one
p4_sector_equal_portfolio_target,sector_equal_inverse_volatility,portfolio_volatility_target,1.4241602051151587,0.35810946663424725,0.2674141613572666,1.0895157742289736,-0.20130778281354245,1.6725221084378412,1.081953411480247,1.0350641607611801,"{""0"": 1.0895157742289736, ""15"": 0.9803263304197559, ""22"": 0.7935415510490413, ""8"": 0.8407556831908635}",0.7935415510490413,"[1.1922365001202528, -0.49494064592408554, 1.121352941243481, 1.0560806863143626, 2.325459339587639, 1.0450902883536135]",1.0478378878438008,0.8333333333333334,0.21755135100995415,0.978,0.562,1.0406222095198052,1.0866903275777238,0.22314665764960395,0.010426456596912326,0.21755135100995415,False,drawdown+positive_fold_share+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_zero+bootstrap_probability_above_one+parameter_drawdown
p2_correlation_penalty_reference,correlation_penalized_inverse_volatility,reference_volatility_target,1.2213639498883473,0.3177079383645389,0.23874978400426,1.0860028814864833,-0.20950803324910183,1.469880868966723,1.0787153719084983,1.0686792060654573,"{""0"": 1.0860028814864833, ""15"": 0.9782498782506895, ""22"": 0.8310995472004113, ""8"": 0.9210884548351436}",0.8310995472004113,"[1.5850223838274025, 0.3784179730768322, 0.8050908335537922, 0.7543408164562534, 2.555571388351332, 0.7202462927682042]",0.7287699236902165,1.0,0.19765537543212058,0.982,0.563,1.0758332327192437,1.0860028814864833,0.21131130418771016,0.0022262061613529394,0.19765537543212058,False,drawdown+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_one+drawdown_improvement_vs_control
p1_sector_equal_reference,sector_equal_inverse_volatility,reference_volatility_target,1.4481860657335646,0.3627473797912639,0.27846457267354896,1.0571821987463266,-0.22954911439292747,1.7081038716083208,1.0496569417025872,1.022528015565935,"{""0"": 1.0571821987463266, ""15"": 0.9952770968292343, ""22"": 0.7159245414737317, ""8"": 0.8617056058317634}",0.7159245414737317,"[1.1922365001202528, -0.4957317729626864, 1.1217759394233404, 0.738501891387364, 2.387457588052104, 1.0091248418016676]",0.8061576289909399,0.8333333333333334,0.1407814817827512,0.972,0.532,1.0546344953122153,1.0554182136284662,0.2311701459410227,-0.017814874982472695,0.1407814817827512,False,drawdown+positive_fold_share+timing_perturbation_sharpe+bootstrap_p05+bootstrap_probability_above_zero+bootstrap_probability_above_one+parameter_drawdown+drawdown_improvement_vs_control
