candidate,cost_bps,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight
cash,20.000000000000,development,743.000000000000,2.948412698413,4.336358263224,0.764641301330,0.524674468138,1.344252991957,-0.433017065505,1.765845649614,4.500000000000,0.763122476447,0.909825033647,0.000000000000
cash,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.114393651895,0.058013446456,0.303831451741,0.334849851351,-0.416509889252,0.139284679554,5.500000000000,1.431818181818,0.891012396694,0.000000000000
cash,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.065099156585,0.042482618689,0.317794330864,0.287743396483,-0.379189278610,0.112035389937,3.000000000000,0.989528795812,0.854712041885,0.000000000000
cash,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.333935682755,0.335233868211,0.423356006102,0.892872631357,-0.489782408991,0.684454692649,13.000000000000,1.018023617154,0.891081417029,0.000000000000
515180.SH,20.000000000000,development,743.000000000000,2.948412698413,4.440453361733,0.776241762475,0.527254277646,1.352690500128,-0.422190155696,1.838606968925,5.000000000000,0.847913862719,0.909825033647,0.080753701211
515180.SH,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.145043144385,0.073065551380,0.307218630946,0.380477806989,-0.413411099647,0.176738242981,5.500000000000,1.431818181818,0.891012396694,0.108987603306
515180.SH,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.094483015422,0.061367146723,0.322609143313,0.343874820867,-0.372917723329,0.164559480238,3.000000000000,0.989528795812,0.854712041885,0.145287958115
515180.SH,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.818140854239,0.350728132889,0.426411984243,0.916589355704,-0.487391788980,0.719602054894,13.500000000000,1.057178371659,0.891081417029,0.104568054692
511010.SH,20.000000000000,development,743.000000000000,2.948412698413,4.364603628204,0.767803669267,0.524619528277,1.347760664786,-0.432018987734,1.777245193076,5.000000000000,0.847913862719,0.909825033647,0.080753701211
511010.SH,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.125049454456,0.063268802659,0.303687360014,0.351185472297,-0.410720832455,0.154043324953,5.500000000000,1.431818181818,0.891012396694,0.108987603306
511010.SH,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.067130053989,0.043793499283,0.317785853587,0.291694484415,-0.377795348212,0.115918577321,3.000000000000,0.989528795812,0.854712041885,0.145287958115
511010.SH,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.440604092710,0.338730908079,0.423289838274,0.899133176885,-0.485377968607,0.697870381407,13.500000000000,1.057178371659,0.891081417029,0.104568054692
cash,40.000000000000,development,743.000000000000,2.948412698413,4.288561119123,0.759264612179,0.524688061758,1.338400441854,-0.433591928866,1.751104118025,4.500000000000,0.763122476447,0.909825033647,0.000000000000
cash,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.102183630809,0.051961859339,0.303863159718,0.315966712823,-0.421740860136,0.123208027134,5.500000000000,1.431818181818,0.891012396694,0.000000000000
cash,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.058738260110,0.038371343260,0.317776575472,0.275303819460,-0.381051633281,0.100698540326,3.000000000000,0.989528795812,0.854712041885,0.000000000000
cash,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.171348787510,0.329806813820,0.423370133961,0.883224551535,-0.495372223740,0.665775750062,13.000000000000,1.018023617154,0.891081417029,0.000000000000
515180.SH,40.000000000000,development,743.000000000000,2.948412698413,4.386381900906,0.770234473129,0.527264133568,1.346232660033,-0.422776388895,1.821848365613,5.000000000000,0.847913862719,0.909825033647,0.080753701211
515180.SH,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.132499411757,0.066928901929,0.307248087578,0.361800781634,-0.418668770954,0.159861223411,5.500000000000,1.431818181818,0.891012396694,0.108987603306
515180.SH,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.087949925104,0.057183504701,0.322586381623,0.331629145797,-0.374794529148,0.152572943983,3.000000000000,0.989528795812,0.854712041885,0.145287958115
515180.SH,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.636575415101,0.345030298437,0.426422053936,0.906650978406,-0.493005596449,0.699850672937,13.500000000000,1.057178371659,0.891081417029,0.104568054692
511010.SH,40.000000000000,development,743.000000000000,2.948412698413,4.311287231909,0.761825053966,0.524629137155,1.341271116880,-0.432594676156,1.761059707751,5.000000000000,0.847913862719,0.909825033647,0.080753701211
511010.SH,40.000000000000,fixed_validation,484.000000000000,1.920634920635,0.112723667919,0.057187644116,0.303717933792,0.332292910628,-0.416003184332,0.137469246078,5.500000000000,1.431818181818,0.891012396694,0.108987603306
511010.SH,40.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.060755936220,0.039676347680,0.317770289927,0.279252870221,-0.379661862268,0.104504433083,3.000000000000,0.989528795812,0.854712041885,0.145287958115
511010.SH,40.000000000000,full_overlap,1609.000000000000,6.384920634921,5.269062289953,0.333082680376,0.423301334154,0.889118916425,-0.491015556095,0.678354639159,13.500000000000,1.057178371659,0.891081417029,0.104568054692
