date,close,high,low,open,volume,vwap
2018-01-02,13.180000305175781,13.467000007629395,13.055000305175781,13.163999557495117,555000,13.234000205993652
2018-01-03,13.23799991607666,13.401000022888184,13.170000076293945,13.192999839782715,719000,13.26966667175293
2018-01-04,13.505999565124512,13.543999671936035,13.303999900817871,13.326000213623047,765000,13.451333045959473
2018-01-05,13.50100040435791,13.58899974822998,13.401000022888184,13.534000396728516,512000,13.497000058492025
2018-01-08,13.66100025177002,13.694000244140625,13.395000457763672,13.47700023651123,567000,13.583333651224772
2018-01-09,13.625,13.696000099182129,13.41100025177002,13.668999671936035,551000,13.577333450317383
2018-01-10,13.661999702453613,13.696000099182129,13.428999900817871,13.460000038146973,427000,13.595666567484537
2018-01-11,13.836000442504883,13.958999633789062,13.449000358581543,13.696999549865723,580000,13.748000144958496
2018-01-12,13.975000381469727,13.979999542236328,13.704999923706055,13.862000465393066,537000,13.886666615804037
2018-01-16,13.831000328063965,14.21500015258789,13.800000190734863,13.996000289916992,632000,13.94866689046224
2018-01-17,13.960000038146973,13.984999656677246,13.793000221252441,13.859999656677246,518000,13.91266663869222
2018-01-18,13.885000228881836,13.99899959564209,13.788000106811523,13.89900016784668,719000,13.890666643778482
2018-01-19,14.097999572753906,14.118000030517578,13.803000450134277,13.857999801635742,719000,14.006333351135254
2018-01-22,13.92199993133545,14.097999572753906,13.854000091552734,14.0649995803833,569000,13.95799986521403
2018-01-23,13.90999984741211,14.034000396728516,13.800999641418457,13.932999610900879,351000,13.914999961853027
2018-01-24,13.829000473022461,14.057999610900879,13.800999641418457,13.968000411987305,894000,13.895999908447266
2018-01-25,13.732999801635742,14.015000343322754,13.67300033569336,13.847000122070312,1748000,13.807000160217285
2018-01-26,13.779000282287598,13.968000411987305,13.199999809265137,13.777000427246094,2143000,13.64900016784668
2018-01-29,13.795000076293945,13.89900016784668,13.482000350952148,13.711999893188477,998000,13.725333531697592
2018-01-30,13.838000297546387,13.916000366210938,13.635000228881836,13.706000328063965,897000,13.79633363087972
2018-01-31,13.77299976348877,13.984999656677246,13.696999549865723,13.852999687194824,750000,13.81833299001058
2018-02-01,13.913999557495117,13.958999633789062,13.64900016784668,13.682000160217285,1030000,13.84066645304362
2018-02-02,13.57699966430664,13.881999969482422,13.531000137329102,13.840999603271484,653000,13.663333257039389
2018-02-05,13.159000396728516,13.539999961853027,13.10099983215332,13.5,742000,13.266666730244955
2018-02-06,13.300000190734863,13.430999755859375,12.850000381469727,12.946999549865723,798000,13.193666776021322
2018-02-07,13.35200023651123,13.557000160217285,13.008999824523926,13.291999816894531,666000,13.306000073750814
2018-02-08,13.152999877929688,13.4399995803833,13.142000198364258,13.35099983215332,1206000,13.244999885559082
2018-02-09,13.062000274658203,13.295000076293945,12.85200023651123,13.253000259399414,942000,13.069666862487793
2018-02-12,13.286999702453613,13.314000129699707,12.942000389099121,13.119000434875488,1714000,13.181000073750814
2018-02-13,13.451000213623047,13.5,13.170999526977539,13.23900032043457,591000,13.37399991353353
2018-02-14,13.583000183105469,13.600000381469727,13.281000137329102,13.34000015258789,1472000,13.4880002339681
2018-02-15,13.78499984741211,13.913999557495117,13.543999671936035,13.659000396728516,848000,13.747666358947754
2018-02-16,13.755000114440918,13.864999771118164,13.640000343322754,13.770000457763672,686000,13.75333340962728
2018-02-20,13.798999786376953,13.88599967956543,13.668999671936035,13.723999977111816,522000,13.784666379292807
2018-02-21,13.677000045776367,13.970999717712402,13.635000228881836,13.826000213623047,1022000,13.760999997456869
