date,close,high,low,open,volume,vwap
2019-01-09,53.77726364135742,54.5554825333187,50.158952837597106,50.158952837597106,19200,52.83056633742441
2019-01-10,54.719146728515625,55.87925224506698,50.142902926126176,54.95662160703429,4400,53.58043396656959
2019-01-11,53.95376205444336,54.69988867416104,53.552618842142664,54.555476872894396,20200,54.06875652358235
2019-01-14,56.601314544677734,59.93882317355139,51.95607501444968,52.42942110738544,32200,56.165404244226266
2019-01-15,55.630550384521484,57.00246586876958,55.108267140906335,55.566372107899724,30000,55.913761131399134
2019-01-16,56.07982635498047,56.07982635498047,55.22939852121636,55.27753987242269,13400,55.79635041039243
2019-01-17,54.83628463745117,55.77495843481597,54.55548556827716,55.77495843481597,13000,55.05557621351477
2019-01-18,55.550323486328125,56.160063027351335,55.31765963355662,56.03971881095765,33700,55.676015382412025
2019-01-22,55.317657470703125,55.79903431745662,54.0420247413046,55.78298515805238,28100,55.05290550982145
2019-01-23,51.73945236206055,55.73484164697355,49.781874491197776,51.37040132304609,185200,52.41872283341062
2019-01-24,51.78759765625,54.13428207016495,51.02542178464241,51.20995037868311,63000,52.31576717035245
2019-01-25,51.10565185546875,51.74748045836012,50.96525232678629,51.17785776457404,46400,51.272794880205055
2019-01-28,50.5360221862793,50.945186907746155,50.3194044888628,50.680430924077186,19200,50.600204527629415
2019-01-29,50.52800369262695,51.29819800253041,50.52800369262695,50.656369410944194,5600,50.784735129261435
2019-01-30,51.60306930541992,51.683296734135574,50.50393761751835,50.61625724191235,10400,51.26343455235795
2019-01-31,50.59218978881836,51.338316508108925,50.054656221150424,50.503937780657935,19900,50.66172083935924
2019-02-01,51.0013542175293,51.01740031530836,50.23115988701587,50.92112678911423,4600,50.74997147328451
2019-02-04,50.46382141113281,50.46382141113281,49.773854540521675,49.84606044699215,5900,50.23383245426243
2019-02-05,50.11081314086914,50.11081314086914,49.70164837994841,49.966401328666514,9600,49.9744248872289
2019-02-06,49.50108337402344,49.87815599140735,49.236327329442794,49.821996174765474,3400,49.53852223162452
2019-02-07,48.1933479309082,49.13202469075507,48.1933479309082,49.13202469075507,5900,48.50624018419049
2019-02-08,48.83517837524414,49.580503218943385,47.34292499626468,47.65581930192175,19800,48.586202196817396
2019-02-11,48.7389030456543,48.7413085829366,48.50623923487178,48.50623923487178,2600,48.662150287820886
2019-02-12,48.674720764160156,49.3245739346471,48.554379624760436,48.84320325608797,13200,48.851224774522564
2019-02-13,49.481021881103516,50.01454316621428,48.8592516471488,48.93145755837041,12000,49.451605564822195
2019-02-14,48.44206237792969,48.9314576593887,48.03851050799258,48.21742006450964,73700,48.47067684843699
2019-02-15,48.989219665527344,48.989219665527344,48.74692756971471,48.89936396710046,12500,48.908455633589796
2019-02-19,48.72286605834961,48.72286605834961,47.888487239154024,48.37788256696068,17000,48.44473978528441
2019-02-20,48.056968688964844,48.979596445072005,48.056968688964844,48.064990208374255,44300,48.36451127433389
2019-02-21,50.897056579589844,50.96926249001855,49.444919912772825,49.444919912772825,46400,50.437079660793735
2019-02-22,49.84606170654297,50.15494066617827,49.74176360334345,50.038608755009605,16800,49.914255325354894
2019-02-25,48.305667877197266,49.46898387688641,47.17444407099141,49.46898387688641,14400,48.31636527502503
2019-02-26,49.35265350341797,49.35265350341797,48.233463469894126,49.059820645109646,6600,48.97959015891002
2019-02-27,48.90739059448242,49.00366719040831,47.840351003721544,47.840351003721544,6500,48.58380292953743
2019-02-28,48.53833770751953,48.53833770751953,48.11312680282391,48.29765234751221,7000,48.396600739287656
2019-03-01,47.35496520996094,47.93662173908829,47.10224298601816,47.87243734555351,8200,47.4646099783558
2019-03-04,47.33490753173828,47.85639502534789,47.2675157538043,47.38304582761129,26500,47.48627277029683
2019-03-05,47.96871566772461,48.5463599279913,47.732039533620544,48.064989201022314,11000,48.08237170977882
2019-03-06,48.57844543457031,49.23551825326877,48.522285626175574,48.58647001318671,14800,48.77874977133822
2019-03-07,48.779022216796875,48.90738794392738,48.13719358114435,48.90738794392738,13700,48.607867913956206
