date,close,high,low,open,volume,vwap
2020-12-09,189.50999450683594,195.5,163.8000030517578,182.0,25373700,182.9366658528646
2020-12-10,186.0,187.69500732421875,172.63600158691406,179.7100067138672,9307600,182.11033630371094
2020-12-11,175.0,182.0,168.25,176.52000427246094,4760600,175.08333333333334
2020-12-14,160.0,170.0,151.1999969482422,169.10000610351562,7859600,160.3999989827474
2020-12-15,158.88999938964844,161.4199981689453,153.75999450683594,157.10000610351562,5017000,158.02333068847656
2020-12-16,158.0500030517578,167.47000122070312,157.1999969482422,161.17999267578125,3061300,160.90666707356772
2020-12-17,154.2100067138672,161.66000366210938,149.9499969482422,159.10000610351562,6369800,155.2733357747396
2020-12-18,166.35000610351562,169.9499969482422,147.32000732421875,154.2100067138672,8157800,161.20667012532553
2020-12-21,160.22999572753906,173.4600067138672,155.0,169.07000732421875,3884200,162.89666748046875
2020-12-22,156.7899932861328,163.2100067138672,153.4219970703125,161.0500030517578,2386700,157.80733235677084
2020-12-23,158.22000122070312,161.55999755859375,150.25,155.0,1759900,156.67666625976562
2020-12-24,158.4600067138672,158.60000610351562,153.07000732421875,157.3800048828125,673000,156.7100067138672
2020-12-28,147.88999938964844,158.4499969482422,141.5050048828125,158.25,3807700,149.28166707356772
2020-12-29,141.27000427246094,147.39999389648438,139.63999938964844,146.1199951171875,3849500,142.7699991861979
2020-12-30,140.1999969482422,147.97999572753906,139.8000030517578,144.39999389648438,3121100,142.65999857584634
2020-12-31,142.75,146.5,135.3800048828125,140.1999969482422,2637300,141.5433349609375
2021-01-04,139.19000244140625,143.6199951171875,137.1699981689453,142.5,2026400,139.9933319091797
2021-01-05,144.42999267578125,146.1199951171875,137.8350067138672,138.0,1031800,142.7949981689453
2021-01-06,140.00999450683594,142.0,138.2100067138672,141.27000427246094,1931400,140.07333374023438
2021-01-07,152.77000427246094,154.63999938964844,139.43499755859375,140.0,3215200,148.94833374023438
2021-01-08,156.08999633789062,158.30999755859375,147.3000030517578,152.0,2548700,153.8999989827474
2021-01-11,167.0,169.0,153.19000244140625,153.19000244140625,2541300,163.0633341471354
2021-01-12,191.99000549316406,201.92999267578125,162.61500549316406,165.5,7081800,185.51166788736978
2021-01-13,198.0,215.5,188.07000732421875,192.41000366210938,6058800,200.5233357747396
2021-01-14,207.24000549316406,221.39999389648438,195.3300018310547,196.6199951171875,4512000,207.99000040690103
2021-01-15,187.14999389648438,212.08999633789062,186.9499969482422,207.0,3351100,195.39666239420572
2021-01-19,198.75,202.3000030517578,185.5399932861328,191.19000244140625,3486200,195.52999877929688
2021-01-20,189.4600067138672,203.82000732421875,189.0399932861328,200.0,2066400,194.1066691080729
2021-01-21,190.88999938964844,195.4739990234375,183.1929931640625,191.61000061035156,2339400,189.85233052571616
2021-01-22,192.0,197.07000732421875,187.11000061035156,190.1999969482422,1679500,192.06000264485678
2021-01-25,191.80999755859375,215.38999938964844,191.30999755859375,194.3300018310547,3430400,199.50333150227866
2021-01-26,198.22000122070312,204.3800048828125,196.41000366210938,198.0,2363000,199.67000325520834
2021-01-27,193.07000732421875,256.0899963378906,190.39999389648438,200.0,5918300,213.1866658528646
2021-01-28,183.8000030517578,201.5,183.47999572753906,198.99000549316406,1693000,189.59333292643228
2021-01-29,193.27000427246094,194.99000549316406,183.47999572753906,189.39999389648438,1851500,190.5800018310547
2021-02-01,191.1699981689453,203.6699981689453,187.56300354003906,194.58999633789062,1170100,194.13433329264322
2021-02-02,182.52999877929688,197.60000610351562,181.6300048828125,191.9499969482422,1338900,187.25333658854166
2021-02-03,180.5800018310547,186.66000366210938,178.3260040283203,184.66000366210938,1326100,181.85533650716147
2021-02-04,189.3300018310547,191.8769989013672,180.64999389648438,181.3800048828125,1142100,187.2856648763021
2021-02-05,181.22999572753906,190.91600036621094,180.2449951171875,189.57000732421875,1521400,184.13033040364584
2021-02-08,177.42999267578125,185.49000549316406,174.2100067138672,183.4499969482422,1998000,179.0433349609375
2021-02-09,187.75,192.27999877929688,177.60000610351562,177.7100067138672,2137000,185.87666829427084
2021-02-10,215.16000366210938,215.67999267578125,190.0,190.66000366210938,3996900,206.94666544596353
2021-02-11,213.25999450683594,222.0,208.5,208.5,1949000,214.58666483561197
