date,close,high,low,open,volume,vwap
2018-01-02,131.85000610351562,132.0,125.87000274658203,128.32000732421875,440400,129.90666961669922
2018-01-03,134.64999389648438,136.7100067138672,130.27000427246094,131.3800048828125,709300,133.87666829427084
2018-01-04,131.9600067138672,135.88999938964844,129.57000732421875,134.94000244140625,777100,132.47333780924478
2018-01-05,127.7300033569336,131.9600067138672,127.3499984741211,131.9600067138672,718700,129.01333618164062
2018-01-08,129.17999267578125,131.3300018310547,126.55999755859375,130.3300018310547,1129800,129.02333068847656
2018-01-09,130.74000549316406,132.2100067138672,128.25,129.8000030517578,754900,130.4000040690104
2018-01-10,128.60000610351562,130.8800048828125,128.32000732421875,129.0,695500,129.26667277018228
2018-01-11,128.0500030517578,129.91000366210938,127.7699966430664,129.32000732421875,565200,128.57666778564453
2018-01-12,129.07000732421875,132.47000122070312,127.55000305175781,127.94999694824219,796500,129.69667053222656
2018-01-16,124.63999938964844,131.02999877929688,122.97000122070312,130.0,950600,126.21333312988281
2018-01-17,125.25,127.9000015258789,123.44999694824219,126.12999725341797,1147600,125.53333282470703
2018-01-18,123.98999786376953,126.7300033569336,123.8499984741211,125.93000030517578,547100,124.8566665649414
2018-01-19,124.83000183105469,125.5,122.62999725341797,124.75,883800,124.31999969482422
2018-01-22,131.0,132.3800048828125,126.06999969482422,126.06999969482422,2003200,129.81666819254556
2018-01-23,137.02999877929688,139.6300048828125,130.0800018310547,131.0,2768300,135.5800018310547
2018-01-24,133.88999938964844,138.0800018310547,131.89999389648438,136.75999450683594,978000,134.62333170572916
2018-01-25,134.2899932861328,135.64999389648438,133.0,135.35000610351562,1069700,134.3133290608724
2018-01-26,134.38999938964844,136.2899932861328,133.22999572753906,136.2899932861328,526800,134.63666280110678
2018-01-29,133.55999755859375,134.9600067138672,132.00999450683594,133.44000244140625,909100,133.50999959309897
2018-01-30,131.22999572753906,132.67999267578125,128.89999389648438,131.9199981689453,832300,130.93666076660156
2018-01-31,129.97999572753906,132.91000366210938,128.38999938964844,132.42999267578125,553200,130.42666625976562
2018-02-01,129.42999267578125,131.47000122070312,127.29000091552734,129.0399932861328,824500,129.39666493733725
2018-02-02,124.5,129.66000366210938,124.02999877929688,127.7699966430664,787400,126.06333414713542
2018-02-05,119.91999816894531,126.73999786376953,118.93000030517578,123.62999725341797,997900,121.8633321126302
2018-02-06,122.16999816894531,122.61000061035156,115.79000091552734,117.37000274658203,1223200,120.18999989827473
2018-02-07,122.08999633789062,123.93000030517578,121.16000366210938,121.66999816894531,714300,122.3933334350586
2018-02-08,116.31999969482422,123.58999633789062,116.27999877929688,123.01000213623047,978300,118.72999827067058
2018-02-09,115.91999816894531,118.12999725341797,108.12999725341797,116.91999816894531,1304400,114.05999755859375
2018-02-12,117.30000305175781,119.58999633789062,116.23999786376953,117.5,566600,117.70999908447266
2018-02-13,119.26000213623047,119.44000244140625,115.22000122070312,116.43000030517578,508000,117.97333526611328
2018-02-14,119.9800033569336,120.43000030517578,115.66999816894531,117.83999633789062,497800,118.69333394368489
2018-02-15,121.73999786376953,121.81999969482422,118.16999816894531,120.4800033569336,736300,120.57666524251302
2018-02-16,122.87999725341797,124.02999877929688,121.2699966430664,121.88999938964844,653500,122.72666422526042
