date,close,high,low,open,volume,vwap
2018-01-02,163.68589782714844,163.78720626747796,160.23222016098342,160.37958044747188,818600,162.5684414185366
2018-01-03,164.92919921875,165.3896894955324,163.6398180119305,163.68586985021832,1054200,164.65290224207095
2018-01-04,166.46722412109375,167.40662815887094,165.22389483424018,166.22777425199436,915600,166.36591570473496
2018-01-05,168.41966247558594,168.95383273440206,166.46718874222248,166.5500735962515,516100,167.94689465073682
2018-01-08,169.3038787841797,169.88410110507786,168.3644745629755,168.71445171565054,763900,169.1841514840777
2018-01-09,168.39205932617188,169.6169649908219,166.91849906231894,169.5248753791696,854300,168.3091744597709
2018-01-10,166.430419921875,167.20404029736054,165.15946212425627,167.0566800202063,668700,166.26464078116393
2018-01-11,164.4410858154297,165.98832644856122,163.8516588047536,165.85018498240606,831900,164.76035702291483
2018-01-12,166.57777404785156,167.13036808686837,165.7212687457307,166.79881447406834,710300,166.47647029348354
2018-01-16,171.65234375,173.60481784094443,170.62083607200861,172.86803065753534,1518900,171.95933255431768
2018-01-17,183.44093322753906,185.30131821845038,179.37020012787906,179.58203581186413,2653200,182.70415052462283
2018-01-18,187.29061889648438,189.33519699113685,185.8630961290578,186.20385446048357,3618500,187.49630400555967
2018-01-19,189.27992248535156,189.7496174966162,187.1156126183478,189.0036255157057,1122900,188.71505086677186
2018-01-22,189.29833984375,189.29833984375,187.23535236450496,188.34052623596455,1002300,188.6106773506683
2018-01-23,189.19700622558594,189.64829170310162,187.92606276651824,188.26682103447203,559900,188.92378689840191
2018-01-24,186.26829528808594,187.88921581468531,184.6289512177052,187.4287255914762,669800,186.26215410682548
2018-01-25,184.9604949951172,192.0980930787841,184.7947112159128,190.77187905733157,1380200,187.28443309660472
2018-01-26,190.19168090820312,190.3390411631909,187.63135620324206,187.91685791412624,1069200,189.3873594248787
2018-01-29,187.89842224121094,188.42337375352056,185.97356255462108,188.19312865707616,1064500,187.43178618311754
2018-01-30,184.407958984375,187.34588962377515,184.22376565762374,186.8301426876516,744900,185.32587142192463
2018-01-31,186.9222412109375,187.5669248632726,186.03809359269965,186.3972754885042,701800,186.84241988896989
2018-02-01,185.50392150878906,187.32745926754262,184.57373610801645,186.11177211272343,741500,185.80170562811603
2018-02-02,179.19515991210938,183.73558645601167,179.1030562525674,183.58822622196269,917300,180.67793420689614
2018-02-05,171.9285888671875,181.03709716531466,171.818075732527,178.06232079562955,912600,174.92792058834303
2018-02-06,178.7715606689453,178.93733044617068,171.15504649719767,171.937885697784,2881200,176.28797920410454
2018-02-07,172.36154174804688,176.45991732814858,172.22340025676186,175.9994269531305,1275500,173.68161977765246
2018-02-08,165.6844024658203,172.5641285951236,164.11873827393993,172.11285710012166,1767200,167.45575644496128
2018-02-09,169.15650939941406,170.29853043143254,161.9820765270676,167.6829488339263,2070900,167.14570545263805
2018-02-12,171.6155242919922,172.5825567475948,168.60392780149553,168.84337770211042,1563400,170.9340029470275
2018-02-13,170.60247802734375,171.52345877107211,169.30389180595452,170.6393110737505,496300,170.47660953479013
2018-02-14,176.22039794921875,176.9019285491237,169.045966344862,169.19332659128145,930600,174.05609761440147
