date,close,high,low,open,volume,vwap
2018-01-02,74.04420471191406,74.83523652862515,73.97981872764902,74.37533463600455,2107900,74.28641998939607
2018-01-03,73.9981918334961,74.19135675193685,73.2347602302028,74.17295675135007,2942000,73.80810293854525
2018-01-04,74.42131805419922,74.51329701737637,73.22557048026103,74.00740219358443,2313200,74.05339518394554
2018-01-05,75.39631652832031,75.53428849802232,74.47651275370139,74.79844267130883,2224500,75.13570592668134
2018-01-08,74.70646667480469,75.5342915084641,74.34774374980996,75.38711953023746,3318300,74.86283397769292
2018-01-09,74.05339050292969,74.66045723556144,73.18877286511896,74.66045723556144,1676300,73.96754020120336
2018-01-10,74.20975494384766,74.69724973045385,73.51070224090851,73.93381105602982,3348600,74.13923563840335
2018-01-11,75.93896484375,75.99415781850574,73.93379319368282,74.46728083854998,2252100,75.28897195197952
2018-01-12,76.8772201538086,77.19915015092552,76.16896714260373,76.27014614420442,2202600,76.74844581577928
2018-01-16,74.38452911376953,77.50266315273026,74.13617818037524,77.33709820298255,2596500,75.34112348229168
2018-01-17,74.78005981445312,75.62627771753388,74.6696808202286,75.03760378343016,2950200,75.02533945073854
2018-01-18,75.10196685791016,75.84700554331931,74.82602296532804,74.97319491271709,2186400,75.2583317888525
2018-01-19,77.04276275634766,77.17153471775681,75.18475528308016,75.57107818485323,2514500,76.46635091906154
2018-01-22,77.70501708984375,77.7785960500721,76.77601341870309,77.14393629002518,1853000,77.41987551953964
2018-01-23,77.79698944091797,77.87057541243695,77.1255297315101,77.46585958662703,1537500,77.597698194955
2018-01-24,77.80619049072266,78.47765026974383,76.75761484927222,77.84298348029665,1752000,77.68048520324623
2018-01-25,77.62222290039062,78.28448259521444,77.0887351442776,78.24768961021931,1259000,77.66514687996089
2018-01-26,78.6064224243164,78.65241541578713,77.41068183907538,78.06374161619718,1842300,78.22317322639297
2018-01-29,77.7878189086914,78.79040885220446,77.48428192434412,78.22012788320777,1785700,78.02083656174666
2018-01-30,76.7024154663086,78.36725760263671,76.56444353390957,77.99934180629793,2233800,77.21137220095163
2018-01-31,75.78263092041016,76.96917860814666,75.1111781081345,76.81281365378611,3241300,75.95432921223043
2018-02-01,75.42391204833984,76.5092808194934,75.0559891226436,75.15716810264871,2189700,75.66306066349227
2018-02-02,72.73806762695312,75.35950638450669,72.66448165751969,74.95479057016709,3230000,73.58735188965983
2018-02-05,70.73292541503906,73.84186025099734,70.72372541059248,72.69210530932749,3673300,71.7661703588763
2018-02-06,72.04822540283203,72.53572024033205,68.06547370328055,69.41758626316648,3034500,70.8831397821482
2018-02-07,71.7354736328125,72.97720696525614,71.00882801929805,71.4687297733545,2219200,71.90716953912222
2018-02-08,69.04045104980469,72.38853535377986,69.00365806632162,71.62510375352424,3438500,70.14421482330205
2018-02-09,71.11921691894531,71.76307665770794,68.0654691253736,69.47276756691535,3907800,70.31592090067562
2018-02-12,71.1468276977539,71.88267359825684,70.11665185810571,71.48715765480718,2302200,71.04871771803882
2018-02-13,71.57911682128906,71.73548175115363,70.4661552926233,70.94445008325158,1369100,71.26025128835533
2018-02-14,72.60009002685547,72.88522686424297,70.76968303959686,70.96284093113778,1996700,72.08499997689843
2018-02-15,74.14537811279297,74.16377109939413,72.40694965084806,72.81166553152786,2184700,73.57203295434505
2018-02-16,73.74065399169922,74.44890670374265,73.30834517065486,74.0257978837435,2356300,73.83263528869891
2018-02-20,71.72630310058594,73.51071769291417,71.68951010664001,73.29916674965764,2256800,72.30884363338004
2018-02-21,71.63433074951172,73.25318770370926,71.56994475223073,71.78150275332395,1755600,72.15248773515056
2018-02-22,72.20458984375,73.17957951194921,71.89185995679752,71.94704593271966,1262100,72.42534310416558
2018-02-23,72.54492950439453,73.01402439798694,70.71451485766497,72.71049447199957,3196400,72.09115625334881
2018-02-26,73.53829956054688,73.6026855358267,72.35175901861113,72.94962578154721,2114600,73.16424803832824
2018-02-27,71.32158660888672,74.65127884987632,71.30318660328929,73.78666104299292,3214600,72.42535068735077
2018-02-28,71.82746887207031,74.22815713417423,71.81827588753559,72.57251465456336,3781300,72.62463396459337
2018-03-01,71.69871520996094,72.94964914536206,70.73292527144721,71.68032221865235,3033100,71.79376320892341
2018-03-02,72.1310043334961,72.71048515463015,70.53054786343287,70.99044971256389,2603800,71.79067911718637
2018-03-05,71.72630310058594,72.08502601962618,70.57654835557334,72.07582601675318,2756800,71.46262582526181
2018-03-06,74.05339050292969,74.20055543120162,71.89185342594749,72.20458328449074,4420900,73.38193312002626
2018-03-07,69.35320281982422,71.1100242994162,67.84472526023639,70.52135047214024,8768200,69.43598412649227
2018-03-08,69.1876449584961,70.76050865985009,68.90250801786969,69.85909782207689,3795100,69.61688721207196
2018-03-09,70.83406829833984,70.87086127982097,69.18761921916364,70.02463674084237,3419800,70.29751626577482
2018-03-12,70.30062103271484,70.96288104524443,69.91430503125515,70.7053370442713,4057100,70.39260236973814
2018-03-13,70.82486724853516,71.81825668116663,70.56732339952927,70.99043215397374,2428300,71.07014910974368
2018-03-14,70.99044799804688,71.3583708719749,70.53054616002312,71.21119891538564,2468900,70.9597883433483
2018-03-15,70.65933227539062,71.33079218120467,70.36499532076381,71.02725522306079,2634000,70.78503992578636
2018-03-16,70.80229187011719,71.48494391876702,70.35026617935048,70.81151889511672,4289000,70.87916732274489
2018-03-19,71.06983947753906,71.64179554129265,70.57168555842978,70.6454877030741,2853800,71.09444019242049
