date,primary_open_return,primary_volume,secondary_open_return,secondary_volume,absolute_return_difference
2019-12-20,-0.001194941974,116730400.000000000000,,116730400.000000000000,
2019-12-23,-0.001993992232,60042800.000000000000,-0.001994017946,60042800.000000000000,0.000000025714
2019-12-24,-0.007992083360,20161100.000000000000,-0.007992007992,20161100.000000000000,0.000000075368
2019-12-25,0.003021169253,21964700.000000000000,0.003021148036,21964700.000000000000,0.000000021217
2019-12-26,-0.001004003146,78886800.000000000000,-0.001004016064,78886800.000000000000,0.000000012918
2019-12-27,0.005025120812,71982800.000000000000,0.005025125628,71982800.000000000000,0.000000004816
2019-12-30,0.001000046730,59691000.000000000000,0.001000000000,59691000.000000000000,0.000000046730
2019-12-31,0.011987976178,47064500.000000000000,0.011988011988,47064500.000000000000,0.000000035810
2020-01-02,0.013820275229,76644000.000000000000,0.007897334650,76644000.000000000000,0.005922940579
2020-01-03,0.003894905457,42911500.000000000000,0.009794319295,42911500.000000000000,0.005899413838
2020-01-06,-0.002909816613,73513200.000000000000,-0.002909796314,73513200.000000000000,0.000000020299
2020-01-07,0.002918308355,53939200.000000000000,0.002918287938,53939200.000000000000,0.000000020417
2020-01-08,-0.004849655814,35546400.000000000000,0.003879728419,35546400.000000000000,0.008729384233
2020-01-09,0.008771874788,43089000.000000000000,0.000000000000,43089000.000000000000,0.008771874788
2020-01-10,0.001932342334,34394800.000000000000,0.001932367150,34394800.000000000000,0.000000024816
2020-01-13,0.002892980860,31341700.000000000000,-0.002892960463,31341700.000000000000,0.005785941323
2020-01-14,0.001923166859,70539000.000000000000,0.007736943907,70539000.000000000000,0.005813777048
2020-01-15,-0.000959737694,21085400.000000000000,-0.000959692898,21085400.000000000000,0.000000044796
2020-01-16,-0.001921204836,36003500.000000000000,-0.001921229587,36003500.000000000000,0.000000024751
2020-01-17,-0.003849920672,24785500.000000000000,-0.003849855630,24785500.000000000000,0.000000065042
2020-01-20,0.002898571089,19322900.000000000000,0.002898550725,19322900.000000000000,0.000000020365
2020-01-21,-0.004816951148,40139700.000000000000,-0.004816955684,40139700.000000000000,0.000000004536
2020-01-22,-0.015488898880,29038600.000000000000,-0.015488867377,29038600.000000000000,0.000000031503
2020-01-23,0.000000000000,54633500.000000000000,0.000000000000,54633500.000000000000,0.000000000000
2020-02-03,-0.115044236377,66812700.000000000000,-0.115044247788,66812700.000000000000,0.000000011410
2020-02-04,0.010000003974,39000529.000000000000,0.010000000000,39000529.000000000000,0.000000003974
2020-02-05,0.027502790238,37174200.000000000000,0.027502750275,37174200.000000000000,0.000000039963
