window,n_dates,mean_rank_ic,rank_icir,positive_daily_rank_ic_ratio,mean_incremental_rank_ic,mean_top_bottom_spread
2024H1,117,-0.08350073647,-0.3693835122,0.3675213675,-0.1064065721,-0.0150138349
2024H2,125,0.06931642991,0.3297613077,0.632,0.05049845063,0.01225888198
2025H1,117,0.07723760843,0.3732643862,0.6239316239,0.06771741415,0.01062496669
2025H2,126,-0.07367744197,-0.3336732213,0.3333333333,-0.05847499502,-0.02379296801
