,model,cost_bps,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight
0,byd100,20.000000000000,development,743.000000000000,2.948412698413,4.655590868605,0.799760043527,0.553718148837,1.337457915705,-0.465521057375,1.717988973552,2.000000000000,0.339165545087,0.990578734859,0.000000000000
1,byd100,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.122175019269,0.061853512952,0.334695965939,0.344211237633,-0.458190141377,0.134995294237,0.000000000000,0.000000000000,1.000000000000,0.000000000000
2,byd100,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.033981250481,0.022289261996,0.347869110819,0.235128616495,-0.429396763464,0.051908313925,0.000000000000,0.000000000000,1.000000000000,0.000000000000
3,byd100,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.562226931882,0.342659112310,0.452122307205,0.875990267250,-0.530363819305,0.646083122259,2.000000000000,0.156619018024,0.995649471722,0.000000000000
4,etf100,20.000000000000,development,743.000000000000,2.948412698413,0.360528551630,0.110066589197,0.198390938432,0.626350891220,-0.182278008747,0.603839102447,2.000000000000,0.339165545087,0.000000000000,0.990578734859
5,etf100,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.250721154112,0.123537819780,0.205530501821,0.667209483802,-0.147079548169,0.839938803986,0.000000000000,0.000000000000,0.000000000000,1.000000000000
6,etf100,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.075396572891,0.049120542524,0.126416469278,0.442650826300,-0.145539906953,0.337505661178,0.000000000000,0.000000000000,0.000000000000,1.000000000000
7,etf100,20.000000000000,full_overlap,1609.000000000000,6.384920634921,0.829939803344,0.099265491027,0.186226180302,0.600974829992,-0.182278008747,0.544582924233,2.000000000000,0.156619018024,0.000000000000,0.995649471722
8,fixed_75_25,20.000000000000,development,743.000000000000,2.948412698413,3.276117300979,0.636930666798,0.432738072329,1.355315521561,-0.354900581105,1.794673496489,2.000000000000,0.339165545087,0.742934051144,0.247644683715
9,fixed_75_25,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.172755087047,0.086509595515,0.277150248861,0.435458961349,-0.359777780559,0.240452857819,0.000000000000,0.000000000000,0.750000000000,0.250000000000
