recipe_id,excluded_sector,sharpe_log_excess,maximum_drawdown,annual_one_way_turnover
g0_unconstrained_control,added_defense_and_growth,1.1888903873423593,-0.24455622982317626,1.3848909646984995
g0_unconstrained_control,ai_compute,1.1196251472560106,-0.15398608406430125,1.2026404847778898
g0_unconstrained_control,consumer_technology,1.234194220300775,-0.16092749698401032,1.39738903378979
g0_unconstrained_control,new_energy,1.4859696707207926,-0.16276329090923125,1.41873789141822
g0_unconstrained_control,power_grid,1.4094356460000592,-0.16126487812495582,1.432465666361582
g0_unconstrained_control,resources_shipping,1.14601323421655,-0.159787371938654,1.432112164393174
g1_light_25_50_n7,added_defense_and_growth,0.976156675890843,-0.25227924022800996,1.2454341084509546
g1_light_25_50_n7,ai_compute,1.1123009699539042,-0.19767209481005332,0.9664277865206515
g1_light_25_50_n7,consumer_technology,1.0215302243597726,-0.19672289330454507,1.2006771260431146
g1_light_25_50_n7,new_energy,1.3836041453031411,-0.18301374419435623,1.1259840652549498
g1_light_25_50_n7,power_grid,1.3896984972812714,-0.17416463754351819,1.1877141293310436
g1_light_25_50_n7,resources_shipping,1.3140268655357294,-0.1754180662006306,1.1558090165067014
g2_balanced_22_45_n8,added_defense_and_growth,1.1544612334034945,-0.25529023432652553,1.2035576355909916
g2_balanced_22_45_n8,ai_compute,1.0923285895164483,-0.2024026264627773,0.9364742334088064
g2_balanced_22_45_n8,consumer_technology,1.0077286002617383,-0.20018013676382496,1.1827694097935693
g2_balanced_22_45_n8,new_energy,1.366129736010002,-0.185029996265358,1.1107620024377827
g2_balanced_22_45_n8,power_grid,1.36920056948207,-0.1782158126623915,1.1736054663475826
g2_balanced_22_45_n8,resources_shipping,1.2852252266076498,-0.1820791365857568,1.1433114868554488
g3_balanced_20_45_n9,added_defense_and_growth,1.141483768556235,-0.2520391779980361,1.1432270749874545
g3_balanced_20_45_n9,ai_compute,1.0848999177242002,-0.20709133741020525,0.9317077153932144
g3_balanced_20_45_n9,consumer_technology,0.9924755983449182,-0.20394134653008922,1.1715942183409398
g3_balanced_20_45_n9,new_energy,1.3476005873913772,-0.188151129123025,1.098118244355099
g3_balanced_20_45_n9,power_grid,1.3453378372305487,-0.18249048648487254,1.1577147140548476
g3_balanced_20_45_n9,resources_shipping,1.255353106584627,-0.18696514835348876,1.131817342476829
g4_strict_20_40_n9,added_defense_and_growth,1.1279701229100265,-0.25761123710899847,1.1405878482276308
g4_strict_20_40_n9,ai_compute,1.0711431218613476,-0.20795320626873282,0.9171545011979042
g4_strict_20_40_n9,consumer_technology,0.9932370246390516,-0.20354556540994917,1.1684077178596413
g4_strict_20_40_n9,new_energy,1.3350739338068,-0.18883508370918534,1.0895577363339048
g4_strict_20_40_n9,power_grid,1.338100866363278,-0.1829348440028975,1.1511457586388234
g4_strict_20_40_n9,resources_shipping,1.2464206723020292,-0.18841755514895864,1.1262083644434109
g5_strict_18_40_n10,added_defense_and_growth,1.1287530358661324,-0.2543506383096277,1.071964939295899
g5_strict_18_40_n10,ai_compute,1.0626247335622672,-0.21293294510377336,0.9205136272339837
g5_strict_18_40_n10,consumer_technology,0.9634415615140888,-0.20816458430302254,1.1565699902407742
g5_strict_18_40_n10,new_energy,1.313058661332733,-0.19380969140335802,1.0773949087902472
g5_strict_18_40_n10,power_grid,1.3186342792343249,-0.18800711597618058,1.1404522425691948
g5_strict_18_40_n10,resources_shipping,1.221486302274411,-0.188644174321564,1.1146634787664755
