recipe_id,excluded_sector,sharpe_log_excess,maximum_drawdown,annual_one_way_turnover
k0_projected_28_52_n6,added_defense_and_growth,0.9450851415257431,-0.2469935005471603,1.264758256181279
k0_projected_28_52_n6,ai_compute,1.1390304608830286,-0.14890476323206747,1.05941444891616
k0_projected_28_52_n6,consumer_technology,1.1659088549360392,-0.16136276670594207,1.3545346569493946
k0_projected_28_52_n6,new_energy,1.4799206911107055,-0.16456042432796858,1.247643843549402
k0_projected_28_52_n6,power_grid,1.4767401405333556,-0.15980679811814524,1.3383695453057458
k0_projected_28_52_n6,resources_shipping,1.4285922958131128,-0.15266736686657445,1.3138396241639572
k1_projected_25_50_n7,added_defense_and_growth,0.9858030649103442,-0.24846289889268003,1.2653718558459053
k1_projected_25_50_n7,ai_compute,1.156589524169836,-0.17403816785318693,1.0333845143762925
k1_projected_25_50_n7,consumer_technology,1.1234735451342037,-0.1640978838477818,1.283397783014944
k1_projected_25_50_n7,new_energy,1.4847091979552114,-0.1626376712752785,1.2114705379627853
k1_projected_25_50_n7,power_grid,1.4550575913680648,-0.1596840142399394,1.285224660771086
k1_projected_25_50_n7,resources_shipping,1.408760106816962,-0.15205104869749164,1.2480700960015865
k2_projected_22_45_n8,added_defense_and_growth,1.1668698211744353,-0.25430483101614876,1.2487121065569018
k2_projected_22_45_n8,ai_compute,1.1345601865556072,-0.18158475859923529,1.0055803582401421
k2_projected_22_45_n8,consumer_technology,1.1021341188396987,-0.17159872607692883,1.25632208396574
k2_projected_22_45_n8,new_energy,1.460169576100236,-0.16589756908478592,1.1879427230673802
k2_projected_22_45_n8,power_grid,1.4250099802613623,-0.16012762812046877,1.260256672021416
k2_projected_22_45_n8,resources_shipping,1.373909314265629,-0.1571303481815698,1.2204534557233575
k3_projected_20_45_n9,added_defense_and_growth,1.13601516899527,-0.25279829468737414,1.1796466750949992
k3_projected_20_45_n9,ai_compute,1.117518908062757,-0.189757982070898,0.9607550251896192
k3_projected_20_45_n9,consumer_technology,1.0585007615084054,-0.18097937354028848,1.2016879867526673
k3_projected_20_45_n9,new_energy,1.420020131887097,-0.171676207648079,1.1310793206067973
k3_projected_20_45_n9,power_grid,1.3847928550044029,-0.1617671870556192,1.192849209942491
k3_projected_20_45_n9,resources_shipping,1.3352882064137064,-0.16430179814080081,1.1541718791570752
k4_projected_20_40_n9,added_defense_and_growth,1.1318126182477926,-0.25415439490139313,1.1960665362067309
k4_projected_20_40_n9,ai_compute,1.0980521883194234,-0.19089825573391261,0.977217785640238
k4_projected_20_40_n9,consumer_technology,1.0646148651990044,-0.18237088718351213,1.2286944294956013
k4_projected_20_40_n9,new_energy,1.4167630292448579,-0.17360608875894945,1.159551020135347
k4_projected_20_40_n9,power_grid,1.376955181681591,-0.16335774710373796,1.225120703079396
k4_projected_20_40_n9,resources_shipping,1.3182208820273882,-0.16599516543070136,1.1907734207846628
k5_projected_18_40_n10,added_defense_and_growth,1.122230523662012,-0.2533675129387719,1.1000111333444325
k5_projected_18_40_n10,ai_compute,1.0842946369744104,-0.20112345101862716,0.9300443356293926
k5_projected_18_40_n10,consumer_technology,1.0098927546878864,-0.192941759423658,1.1823636104336341
k5_projected_18_40_n10,new_energy,1.3596148060545772,-0.18244441580100101,1.105753010259852
k5_projected_18_40_n10,power_grid,1.3309651344816091,-0.17398609675784094,1.1637074462465973
k5_projected_18_40_n10,resources_shipping,1.268080743683954,-0.17706250349161623,1.13580531712488
