recipe_id,variant,sharpe_log_excess,maximum_drawdown_magnitude
k0_projected_28_52_n6,base,1.0281720592534018,0.21321128461608174
k0_projected_28_52_n6,covariance_lookback_90,1.227043157506042,0.2092587201924212
k0_projected_28_52_n6,covariance_lookback_150,1.2162257795401008,0.21299879102918962
k0_projected_28_52_n6,covariance_shrinkage_0.25,1.173150246182112,0.21085299816128533
k0_projected_28_52_n6,covariance_shrinkage_0.75,1.1433109506463432,0.21631562883414712
k0_projected_28_52_n6,sector_cap_-0.05,0.9913076102250505,0.21321128461608196
k0_projected_28_52_n6,sector_cap_+0.05,1.1948666258676786,0.19480885283705762
k0_projected_28_52_n6,effective_names_-1.0,1.0245460292973079,0.21321128461608174
k0_projected_28_52_n6,effective_names_+1.0,1.177276452170109,0.19480885283705784
k1_projected_25_50_n7,base,1.177201951875024,0.19489174209345106
k1_projected_25_50_n7,covariance_lookback_90,1.186432669204933,0.1952902989185088
k1_projected_25_50_n7,covariance_lookback_150,1.168942818861317,0.19744332999010938
k1_projected_25_50_n7,covariance_shrinkage_0.25,1.1979553030863643,0.19477161653076558
k1_projected_25_50_n7,covariance_shrinkage_0.75,1.163298328877855,0.19474294322216512
k1_projected_25_50_n7,sector_cap_-0.05,1.1043769784448796,0.21661521406332174
k1_projected_25_50_n7,sector_cap_+0.05,1.195158314896892,0.19489174209345095
k1_projected_25_50_n7,effective_names_-1.0,1.1503345618373588,0.21661521406332174
k1_projected_25_50_n7,effective_names_+1.0,1.1538333993112426,0.19489174209345128
k2_projected_22_45_n8,base,1.1566901619042231,0.19496824292418447
k2_projected_22_45_n8,covariance_lookback_90,1.168137038424997,0.19535081823291078
k2_projected_22_45_n8,covariance_lookback_150,1.1472365987593405,0.19742134481540285
k2_projected_22_45_n8,covariance_shrinkage_0.25,1.1700684612497994,0.1948528122221398
k2_projected_22_45_n8,covariance_shrinkage_0.75,1.1483530878284645,0.1948250470296926
k2_projected_22_45_n8,sector_cap_-0.05,1.08082918054897,0.21666393953019603
k2_projected_22_45_n8,sector_cap_+0.05,1.1821776770937928,0.1949682429241847
k2_projected_22_45_n8,effective_names_-1.0,1.1448328343967369,0.1949682429241849
k2_projected_22_45_n8,effective_names_+1.0,1.1226990781044104,0.1950565256317558
k3_projected_20_45_n9,base,1.1415761756412013,0.19501604993660882
k3_projected_20_45_n9,covariance_lookback_90,1.162280350557932,0.19652144398637894
k3_projected_20_45_n9,covariance_lookback_150,1.134096764741412,0.197407605713392
k3_projected_20_45_n9,covariance_shrinkage_0.25,1.144775139924074,0.19490354336282656
k3_projected_20_45_n9,covariance_shrinkage_0.75,1.1450345714793584,0.19487636080734894
k3_projected_20_45_n9,sector_cap_-0.05,1.1184396636772989,0.19501604993660926
k3_projected_20_45_n9,sector_cap_+0.05,1.1417111271945473,0.19501604993660882
k3_projected_20_45_n9,effective_names_-1.0,1.152590636945791,0.19501604993660937
k3_projected_20_45_n9,effective_names_+1.0,1.0864954943484046,0.20282293352120195
k4_projected_20_40_n9,base,1.1184396636772989,0.19501604993660926
k4_projected_20_40_n9,covariance_lookback_90,1.1390487894352996,0.19730903562343316
k4_projected_20_40_n9,covariance_lookback_150,1.110959644599188,0.19740760571339233
k4_projected_20_40_n9,covariance_shrinkage_0.25,1.12652236094871,0.19490354336282656
k4_projected_20_40_n9,covariance_shrinkage_0.75,1.1161044543117085,0.19487636080734916
k4_projected_20_40_n9,sector_cap_-0.05,1.081720007885531,0.21669446246307422
k4_projected_20_40_n9,sector_cap_+0.05,1.1415761756412013,0.19501604993660882
k4_projected_20_40_n9,effective_names_-1.0,1.0932966223374758,0.21669446246307422
k4_projected_20_40_n9,effective_names_+1.0,1.0864483312442643,0.2028229296175328
k5_projected_18_40_n10,base,1.090545405972958,0.20088729960217544
k5_projected_18_40_n10,covariance_lookback_90,1.1095555969264073,0.205282176761592
k5_projected_18_40_n10,covariance_lookback_150,1.0858907274425116,0.20325125369884267
k5_projected_18_40_n10,covariance_shrinkage_0.25,1.0934256867549124,0.20078179307482813
k5_projected_18_40_n10,covariance_shrinkage_0.75,1.0927701250090411,0.2020546787731533
k5_projected_18_40_n10,sector_cap_-0.05,1.0687453674079364,0.20165469226400023
k5_projected_18_40_n10,sector_cap_+0.05,1.0910972079214714,0.20088729960217533
k5_projected_18_40_n10,effective_names_-1.0,1.113160995496064,0.200887299602175
k5_projected_18_40_n10,effective_names_+1.0,1.0438789222636469,0.21342708934709997
