adjacent_rank_correlation,feature_family,mean_ic,mean_rank_ic,mean_top_bottom_spread,n_adjacent_pairs,n_dates,n_rebalance_transitions,positive_rank_ic_ratio,positive_spread_ratio,rank_icir,ranking_id,rebalance_topk_overlap,target_status,window
0.875452528,current_cn_ohlcv,0.01456896251,-0.009968894141,0.00147722063,116,117,11,0.4188034188,0.4615384615,-0.0486928691,r0_cn_x1_0_raw_return_rank,0.4242424242,eligible,2024H1
0.875452528,current_cn_ohlcv,0.01456896251,-0.009968894141,0.00147722063,116,117,11,0.4188034188,0.4615384615,-0.0486928691,r1_benchmark_relative_rank,0.4242424242,eligible,2024H1
0.8223264245,current_cn_ohlcv,-0.00533291326,-0.03744504271,-0.004876866127,116,117,11,0.3931623932,0.4102564103,-0.1958299259,r2_industry_relative_rank,0.3696969697,eligible,2024H1
0.6618378291,momentum_reversal,-0.01345705705,-0.03679745467,-0.005239831704,116,117,11,0.3846153846,0.3931623932,-0.1997601178,r2_industry_relative_rank,0.3151515152,eligible,2024H1
0.8151013388,volume_volatility,-0.02056456068,-0.02891981322,-0.006196482498,116,117,11,0.3418803419,0.3418803419,-0.1369514683,r2_industry_relative_rank,0.3696969697,eligible,2024H1
0.8652225741,governed_technical_extension,-0.03993711655,-0.06819254981,-0.006093528387,116,117,11,0.2564102564,0.3333333333,-0.3322369095,r2_industry_relative_rank,0.4303030303,eligible,2024H1
0.8571255741,current_cn_ohlcv,-0.02992355253,-0.05557043935,-0.009253749106,116,117,11,0.3162393162,0.3846153846,-0.2380446142,r3_risk_residual_rank,0.3878787879,ineligible_partial_r3,2024H1
0.7125424492,momentum_reversal,-0.03125322429,-0.06964352989,-0.007743400763,116,117,11,0.3333333333,0.4017094017,-0.3260596442,r3_risk_residual_rank,0.2787878788,ineligible_partial_r3,2024H1
0.9012247141,volume_volatility,-0.0454573113,-0.07096235125,-0.01159501897,116,117,11,0.3418803419,0.3931623932,-0.2551709618,r3_risk_residual_rank,0.3696969697,ineligible_partial_r3,2024H1
0.8736630162,governed_technical_extension,-0.04882692549,-0.05295861702,-0.006463767335,116,117,11,0.2905982906,0.3931623932,-0.26089834,r3_risk_residual_rank,0.503030303,ineligible_partial_r3,2024H1
0.7632667744,current_cn_ohlcv,-0.0002177833613,-0.0180456443,0.0005379772375,116,117,11,0.3846153846,0.4358974359,-0.1679581875,r4_two_stage_hierarchical_rank,0.3454545455,eligible,2024H1
0.5949883995,momentum_reversal,-0.006612389532,-0.02135478676,-0.0005038190983,116,117,11,0.358974359,0.4700854701,-0.2024601552,r4_two_stage_hierarchical_rank,0.2666666667,eligible,2024H1
0.7570771752,volume_volatility,0.00199801229,-0.009151493515,0.0009385132135,116,117,11,0.4273504274,0.4786324786,-0.07225947344,r4_two_stage_hierarchical_rank,0.3878787879,eligible,2024H1
0.8223791392,governed_technical_extension,-0.01446722287,-0.03742317768,-0.002346696365,116,117,11,0.3162393162,0.4188034188,-0.3251709203,r4_two_stage_hierarchical_rank,0.4484848485,eligible,2024H1
0.7901199864,current_cn_ohlcv,-0.0211725324,-0.0528177198,-0.003420349021,124,125,12,0.392,0.408,-0.3109456655,r0_cn_x1_0_raw_return_rank,0.2833333333,eligible,2024H2
0.7901199864,current_cn_ohlcv,-0.0211725324,-0.0528177198,-0.003420349021,124,125,12,0.392,0.408,-0.3109456655,r1_benchmark_relative_rank,0.2833333333,eligible,2024H2
0.7431900758,current_cn_ohlcv,-0.01572667516,-0.05589979873,-0.002193038997,124,125,12,0.352,0.4,-0.3254497967,r2_industry_relative_rank,0.2833333333,eligible,2024H2
0.5993475507,momentum_reversal,-0.02068951633,-0.05456484078,-0.004751201313,124,125,12,0.336,0.424,-0.3614988126,r2_industry_relative_rank,0.1833333333,eligible,2024H2
0.6698303618,volume_volatility,-0.005735982259,-0.02431155823,0.003071697977,124,125,12,0.4,0.48,-0.1287835023,r2_industry_relative_rank,0.2777777778,eligible,2024H2
0.8287881883,governed_technical_extension,-0.03710092982,-0.03812712639,2.429684126e-05,124,125,12,0.312,0.376,-0.2051666914,r2_industry_relative_rank,0.35,eligible,2024H2
0.7534725916,current_cn_ohlcv,-0.04043144679,-0.07247990085,-0.004136944272,124,125,12,0.328,0.384,-0.4070000834,r3_risk_residual_rank,0.2722222222,ineligible_partial_r3,2024H2
0.5602735753,momentum_reversal,0.003525340121,-0.02729531673,0.001042261388,124,125,12,0.44,0.488,-0.1773360163,r3_risk_residual_rank,0.2777777778,ineligible_partial_r3,2024H2
0.8030965352,volume_volatility,-0.04660379131,-0.07105095909,-0.002771019815,124,125,12,0.344,0.432,-0.3657698647,r3_risk_residual_rank,0.3277777778,ineligible_partial_r3,2024H2
0.8319520994,governed_technical_extension,-0.03406549425,-0.05503528223,-0.002969489621,124,125,12,0.376,0.392,-0.3107718327,r3_risk_residual_rank,0.3277777778,ineligible_partial_r3,2024H2
0.692461548,current_cn_ohlcv,-0.02564488917,-0.03907817308,-0.002290077707,124,125,12,0.368,0.376,-0.3210829465,r4_two_stage_hierarchical_rank,0.2611111111,eligible,2024H2
0.5509364664,momentum_reversal,-0.02139622385,-0.03686774073,-0.001186643473,124,125,12,0.392,0.448,-0.3098336325,r4_two_stage_hierarchical_rank,0.1833333333,eligible,2024H2
0.6227109775,volume_volatility,-0.009488795787,-0.02147677604,0.0002726441139,124,125,12,0.408,0.424,-0.1732127402,r4_two_stage_hierarchical_rank,0.2777777778,eligible,2024H2
0.7830946308,governed_technical_extension,-0.03153978481,-0.03439749489,-0.001677553135,124,125,12,0.32,0.408,-0.2925599155,r4_two_stage_hierarchical_rank,0.3333333333,eligible,2024H2
0.8179408568,current_cn_ohlcv,0.04804749203,0.05438517023,0.01377810175,116,117,11,0.5982905983,0.6495726496,0.2781535458,r0_cn_x1_0_raw_return_rank,0.3454545455,eligible,2025H1
0.8179408568,current_cn_ohlcv,0.04804749203,0.05438517023,0.01377810175,116,117,11,0.5982905983,0.6495726496,0.2781535458,r1_benchmark_relative_rank,0.3454545455,eligible,2025H1
0.8142284339,current_cn_ohlcv,0.03208162145,0.03597455504,0.01119098598,116,117,11,0.5982905983,0.6153846154,0.1519601494,r2_industry_relative_rank,0.4363636364,eligible,2025H1
0.6725765909,momentum_reversal,0.07209944045,0.05185091263,0.01501945803,116,117,11,0.641025641,0.7008547009,0.3049816053,r2_industry_relative_rank,0.3212121212,eligible,2025H1
0.6482715346,volume_volatility,0.002156169823,0.002198785765,0.004850944291,116,117,11,0.4786324786,0.5042735043,0.009079594517,r2_industry_relative_rank,0.3878787879,eligible,2025H1
0.8593668252,governed_technical_extension,0.0558252417,0.03930571793,0.01207554625,116,117,11,0.5641025641,0.6239316239,0.1689999276,r2_industry_relative_rank,0.4121212121,eligible,2025H1
0.8814813694,current_cn_ohlcv,0.05679060881,0.03617750287,0.01114835304,116,117,11,0.5897435897,0.6324786325,0.1101412434,r3_risk_residual_rank,0.4303030303,ineligible_partial_r3,2025H1
0.6734580709,momentum_reversal,0.05042888564,0.01157602987,0.00632799078,116,117,11,0.5213675214,0.6239316239,0.04796698046,r3_risk_residual_rank,0.3575757576,ineligible_partial_r3,2025H1
0.8120396014,volume_volatility,0.04670867309,0.02344411565,0.009989103545,116,117,11,0.5726495726,0.6239316239,0.07965938398,r3_risk_residual_rank,0.3393939394,ineligible_partial_r3,2025H1
0.883932582,governed_technical_extension,0.03395518102,0.01088310977,0.008820669438,116,117,11,0.5213675214,0.6239316239,0.03907260082,r3_risk_residual_rank,0.5757575758,ineligible_partial_r3,2025H1
0.7468362901,current_cn_ohlcv,0.0321553947,0.01654726408,0.00276539251,116,117,11,0.5555555556,0.5982905983,0.1155436056,r4_two_stage_hierarchical_rank,0.3212121212,eligible,2025H1
0.6035141778,momentum_reversal,0.05302195447,0.03340226362,0.009590299444,116,117,11,0.6666666667,0.7179487179,0.3169254438,r4_two_stage_hierarchical_rank,0.2363636364,eligible,2025H1
0.5854433213,volume_volatility,0.005595282996,-0.01063056994,0.0006737382207,116,117,11,0.4871794872,0.5042735043,-0.08056403899,r4_two_stage_hierarchical_rank,0.2606060606,eligible,2025H1
0.8137233743,governed_technical_extension,0.0403564767,0.02893411799,0.004522161391,116,117,11,0.5982905983,0.5384615385,0.2519315627,r4_two_stage_hierarchical_rank,0.3696969697,eligible,2025H1
0.8339696164,current_cn_ohlcv,0.02385008829,0.0128911826,0.009499796837,125,126,12,0.4920634921,0.5555555556,0.08489553975,r0_cn_x1_0_raw_return_rank,0.2777777778,eligible,2025H2
0.8339696164,current_cn_ohlcv,0.02385008829,0.0128911826,0.009499796837,125,126,12,0.4920634921,0.5555555556,0.08489553975,r1_benchmark_relative_rank,0.2777777778,eligible,2025H2
0.8386015481,current_cn_ohlcv,0.1058760828,0.07656097299,0.02951832127,125,126,12,0.6507936508,0.7619047619,0.3953083101,r2_industry_relative_rank,0.3666666667,eligible,2025H2
0.7891950034,momentum_reversal,0.116448906,0.07775959852,0.02950599805,125,126,12,0.6587301587,0.746031746,0.3894010757,r2_industry_relative_rank,0.3055555556,eligible,2025H2
0.8103735576,volume_volatility,0.06976703518,0.01300812898,0.02142708704,125,126,12,0.4365079365,0.6587301587,0.07305291363,r2_industry_relative_rank,0.5,eligible,2025H2
0.8624747719,governed_technical_extension,0.09600233147,0.04576140081,0.02361460929,125,126,12,0.5714285714,0.6825396825,0.2366647741,r2_industry_relative_rank,0.3888888889,eligible,2025H2
0.7811907522,current_cn_ohlcv,0.05756667065,0.04025076613,0.01669262345,125,126,12,0.5,0.5873015873,0.2395943138,r3_risk_residual_rank,0.3111111111,ineligible_partial_r3,2025H2
0.7228775307,momentum_reversal,0.1150414199,0.08468467829,0.0286235918,125,126,12,0.6746031746,0.7380952381,0.4354933818,r3_risk_residual_rank,0.3388888889,ineligible_partial_r3,2025H2
0.881546726,volume_volatility,0.1055323849,0.0844137918,0.02721810558,125,126,12,0.6666666667,0.6904761905,0.3592999542,r3_risk_residual_rank,0.3388888889,ineligible_partial_r3,2025H2
0.8819351949,governed_technical_extension,0.09022087152,0.05777876285,0.02018904814,125,126,12,0.6111111111,0.6666666667,0.264570385,r3_risk_residual_rank,0.3611111111,ineligible_partial_r3,2025H2
0.7783550237,current_cn_ohlcv,0.07717797127,0.03607535182,0.01795068157,125,126,12,0.5873015873,0.7619047619,0.330349172,r4_two_stage_hierarchical_rank,0.2611111111,eligible,2025H2
0.7189908426,momentum_reversal,0.06684878758,0.02797822346,0.01592366578,125,126,12,0.6349206349,0.7777777778,0.2728951276,r4_two_stage_hierarchical_rank,0.3,eligible,2025H2
0.7567973994,volume_volatility,0.04301491558,0.01037512807,0.01360985676,125,126,12,0.5,0.6666666667,0.09438623372,r4_two_stage_hierarchical_rank,0.3222222222,eligible,2025H2
0.8264259858,governed_technical_extension,0.05966157385,0.01857192513,0.01471383212,125,126,12,0.4761904762,0.6587301587,0.1411113275,r4_two_stage_hierarchical_rank,0.3722222222,eligible,2025H2
