,scenario,model,cost_bps,annual_financing_rate,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight,transaction_cost_paid,financing_cost_paid,mean_borrowed_weight,max_gross_exposure,financed_sessions
0,primary,byd_v1_1,20.000000000000,0.060000000000,development,743.000000000000,2.948412698413,4.440453361733,0.776241762475,0.527254277646,1.352690500128,-0.422190155696,1.838606968925,5.000000000000,0.847913862719,0.909825033647,0.080753701211,0.010000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
1,primary,byd_v1_1,20.000000000000,0.060000000000,fixed_validation,484.000000000000,1.920634920635,0.145043144385,0.073065551380,0.307218630946,0.380477806989,-0.413411099647,0.176738242981,5.500000000000,1.431818181818,0.891012396694,0.108987603306,0.011000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
2,primary,byd_v1_1,20.000000000000,0.060000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.094483015422,0.061367146723,0.322609143313,0.343874820867,-0.372917723329,0.164559480238,3.000000000000,0.989528795812,0.854712041885,0.145287958115,0.006000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
3,primary,byd_v1_1,20.000000000000,0.060000000000,full_overlap,1609.000000000000,6.384920634921,5.818140854239,0.350728132889,0.426411984243,0.916589355704,-0.487391788980,0.719602054894,13.500000000000,1.057178371659,0.891081417029,0.104568054692,0.027000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
4,primary,byd_v1_2_trend_expansion_1125,20.000000000000,0.060000000000,development,743.000000000000,2.948412698413,4.462381535379,0.778666717542,0.529822232724,1.351182936634,-0.422190155696,1.844350719778,10.500000000000,1.780619111709,0.915208613728,0.080753701211,0.021000000000,0.000952380952,0.005383580081,1.125000000000,32.000000000000
5,primary,byd_v1_2_trend_expansion_1125,20.000000000000,0.060000000000,fixed_validation,484.000000000000,1.920634920635,0.170622967873,0.085480673975,0.317766622295,0.413520714116,-0.413411099647,0.206769179754,7.000000000000,1.822314049587,0.904700413223,0.108987603306,0.014000000000,0.001577380952,0.013688016529,1.125000000000,53.000000000000
6,primary,byd_v1_2_trend_expansion_1125,20.000000000000,0.060000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.096278887758,0.062515691864,0.322669739636,0.347223393788,-0.372917723329,0.167639369097,3.500000000000,1.154450261780,0.855039267016,0.145287958115,0.007000000000,0.000029761905,0.000327225131,1.125000000000,1.000000000000
7,primary,byd_v1_2_trend_expansion_1125,20.000000000000,0.060000000000,full_overlap,1609.000000000000,6.384920634921,6.010033972810,0.356612627285,0.430193229614,0.922160158001,-0.498772119954,0.714981076563,21.000000000000,1.644499689248,0.897762585457,0.104568054692,0.042000000000,0.002559523810,0.006681168428,1.125000000000,86.000000000000
8,primary,byd_v1_2_trend_expansion_1100,20.000000000000,0.060000000000,development,743.000000000000,2.948412698413,4.458185019130,0.778203138856,0.529284758996,1.351544261555,-0.422190155696,1.843252686867,9.400000000000,1.594078061911,0.914131897712,0.080753701211,0.018800000000,0.000761904762,0.004306864065,1.100000000000,32.000000000000
9,primary,byd_v1_2_trend_expansion_1100,20.000000000000,0.060000000000,fixed_validation,484.000000000000,1.920634920635,0.165519540129,0.083014198959,0.315587243953,0.407178810660,-0.413411099647,0.200803023986,6.700000000000,1.744214876033,0.901962809917,0.108987603306,0.013400000000,0.001261904762,0.010950413223,1.100000000000,53.000000000000
10,primary,byd_v1_2_trend_expansion_1100,20.000000000000,0.060000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.095919892441,0.062286148646,0.322656811763,0.346554648320,-0.372917723329,0.167023835956,3.400000000000,1.121465968586,0.854973821990,0.145287958115,0.006800000000,0.000023809524,0.000261780105,1.100000000000,1.000000000000
11,primary,byd_v1_2_trend_expansion_1100,20.000000000000,0.060000000000,full_overlap,1609.000000000000,6.384920634921,5.971827323652,0.355451928486,0.429403651981,0.921125334237,-0.496510231484,0.715900511100,19.500000000000,1.527035425730,0.896426351771,0.104568054692,0.039000000000,0.002047619048,0.005344934742,1.100000000000,86.000000000000
12,primary,byd_v1_2_trend_expansion_1250,20.000000000000,0.060000000000,development,743.000000000000,2.948412698413,4.481941652064,0.780824375397,0.532686904374,1.348938113907,-0.422190155696,1.849461350203,16.000000000000,2.713324360700,0.920592193809,0.080753701211,0.032000000000,0.001904761905,0.010767160162,1.250000000000,32.000000000000
13,primary,byd_v1_2_trend_expansion_1250,20.000000000000,0.060000000000,fixed_validation,484.000000000000,1.920634920635,0.196037141562,0.097687270694,0.329152075659,0.443309646115,-0.413411099647,0.236295713342,8.500000000000,2.212809917355,0.918388429752,0.108987603306,0.017000000000,0.003154761905,0.027376033058,1.250000000000,53.000000000000
14,primary,byd_v1_2_trend_expansion_1250,20.000000000000,0.060000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.098072520716,0.063662165894,0.322740441118,0.350559732705,-0.372917723329,0.170713704153,4.000000000000,1.319371727749,0.855366492147,0.145287958115,0.008000000000,0.000059523810,0.000654450262,1.250000000000,1.000000000000
15,primary,byd_v1_2_trend_expansion_1250,20.000000000000,0.060000000000,full_overlap,1609.000000000000,6.384920634921,6.199628684221,0.362294696164,0.434386514458,0.926753971135,-0.509975670119,0.710415648025,28.500000000000,2.231821006837,0.904443753884,0.104568054692,0.057000000000,0.005119047619,0.013362336855,1.250000000000,86.000000000000
16,stress,byd_v1_1,40.000000000000,0.100000000000,development,743.000000000000,2.948412698413,4.386381900906,0.770234473129,0.527264133568,1.346232660033,-0.422776388895,1.821848365613,5.000000000000,0.847913862719,0.909825033647,0.080753701211,0.020000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
17,stress,byd_v1_1,40.000000000000,0.100000000000,fixed_validation,484.000000000000,1.920634920635,0.132499411757,0.066928901929,0.307248087578,0.361800781634,-0.418668770954,0.159861223411,5.500000000000,1.431818181818,0.891012396694,0.108987603306,0.022000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
18,stress,byd_v1_1,40.000000000000,0.100000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.087949925104,0.057183504701,0.322586381623,0.331629145797,-0.374794529148,0.152572943983,3.000000000000,0.989528795812,0.854712041885,0.145287958115,0.012000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
19,stress,byd_v1_1,40.000000000000,0.100000000000,full_overlap,1609.000000000000,6.384920634921,5.636575415101,0.345030298437,0.426422053936,0.906650978406,-0.493005596449,0.699850672937,13.500000000000,1.057178371659,0.891081417029,0.104568054692,0.054000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000
20,stress,byd_v1_2_trend_expansion_1125,40.000000000000,0.100000000000,development,743.000000000000,2.948412698413,4.345514125476,0.765667606211,0.529848035214,1.337268223274,-0.422776388895,1.811046279598,10.500000000000,1.780619111709,0.915208613728,0.080753701211,0.042000000000,0.001587301587,0.005383580081,1.125000000000,32.000000000000
21,stress,byd_v1_2_trend_expansion_1125,40.000000000000,0.100000000000,fixed_validation,484.000000000000,1.920634920635,0.153066727998,0.076973964854,0.317864230965,0.388739253042,-0.418668770954,0.183854087513,7.000000000000,1.822314049587,0.904700413223,0.108987603306,0.028000000000,0.002628968254,0.013688016529,1.125000000000,53.000000000000
22,stress,byd_v1_2_trend_expansion_1125,40.000000000000,0.100000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.088656780257,0.057636570288,0.322584961563,0.332959079978,-0.374794529148,0.153781781232,3.500000000000,1.154450261780,0.855039267016,0.145287958115,0.014000000000,0.000049603175,0.000327225131,1.125000000000,1.000000000000
23,stress,byd_v1_2_trend_expansion_1125,40.000000000000,0.100000000000,full_overlap,1609.000000000000,6.384920634921,5.710191335676,0.347356149308,0.430213187565,0.906206091225,-0.506677238826,0.685557042413,21.000000000000,1.644499689248,0.897762585457,0.104568054692,0.084000000000,0.004265873016,0.006681168428,1.125000000000,86.000000000000
24,stress,byd_v1_2_trend_expansion_1100,40.000000000000,0.100000000000,development,743.000000000000,2.948412698413,4.353865589514,0.766602731397,0.529306253282,1.339117358890,-0.422776388895,1.813258146700,9.400000000000,1.594078061911,0.914131897712,0.080753701211,0.037600000000,0.001269841270,0.004306864065,1.100000000000,32.000000000000
25,stress,byd_v1_2_trend_expansion_1100,40.000000000000,0.100000000000,fixed_validation,484.000000000000,1.920634920635,0.148981223121,0.074985486065,0.315670814454,0.383581747426,-0.418668770954,0.179104560136,6.700000000000,1.744214876033,0.901962809917,0.108987603306,0.026800000000,0.002103174603,0.010950413223,1.100000000000,53.000000000000
26,stress,byd_v1_2_trend_expansion_1100,40.000000000000,0.100000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.088515680046,0.057546138754,0.322584636960,0.332693719892,-0.374794529148,0.153540498270,3.400000000000,1.121465968586,0.854973821990,0.145287958115,0.013600000000,0.000039682540,0.000261780105,1.100000000000,1.000000000000
27,stress,byd_v1_2_trend_expansion_1100,40.000000000000,0.100000000000,full_overlap,1609.000000000000,6.384920634921,5.695994445589,0.346909287723,0.429420860958,0.906366408218,-0.503965843554,0.688358729387,19.500000000000,1.527035425730,0.896426351771,0.104568054692,0.078000000000,0.003412698413,0.005344934742,1.100000000000,86.000000000000
28,stress,byd_v1_2_trend_expansion_1250,40.000000000000,0.100000000000,development,743.000000000000,2.948412698413,4.302451145841,0.760830396511,0.532742538961,1.327616310909,-0.422776388895,1.799604747320,16.000000000000,2.713324360700,0.920592193809,0.080753701211,0.064000000000,0.003174603175,0.010767160162,1.250000000000,32.000000000000
29,stress,byd_v1_2_trend_expansion_1250,40.000000000000,0.100000000000,fixed_validation,484.000000000000,1.920634920635,0.173276802705,0.086761229326,0.329322523033,0.412877953000,-0.418668770954,0.207231194072,8.500000000000,2.212809917355,0.918388429752,0.108987603306,0.034000000000,0.005257936508,0.027376033058,1.250000000000,53.000000000000
30,stress,byd_v1_2_trend_expansion_1250,40.000000000000,0.100000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.089360250173,0.058087366693,0.322591149132,0.334281142369,-0.374794529148,0.154984564009,4.000000000000,1.319371727749,0.855366492147,0.145287958115,0.016000000000,0.000099206349,0.000654450262,1.250000000000,1.000000000000
