validation_fold,training_folds,selected_recipe_id,minimum_prior_fold_sharpe,median_prior_fold_sharpe,mean_prior_fold_turnover,forward_sharpe_log_excess,forward_annual_one_way_turnover,forward_maximum_drawdown,transition_cost,transition_one_way_turnover
f3,f1+f2,s1_stable_all7_30_vol_target,0.3490828603332696,1.0109124493861141,1.763046177525527,0.8484902014914205,3.349393974867189,-0.15143100798885512,0.0005096327953325408,0.7280468504750582
f4,f1+f2+f3,s1_stable_all7_30_vol_target,0.3490828603332696,0.8390760403250627,1.7094947669550924,0.9301098934888915,1.6397130294115687,-0.13606303061653413,1.7069679003611782e-19,1.0755285551056204e-16
f5,f1+f2+f3+f4,s1_stable_all7_30_vol_target,0.3490828603332696,0.884592966906977,1.6920493325692114,2.4971049330453847,1.4240812780000343,-0.08143637325143949,1.7763568394002505e-19,1.1102230246251565e-16
f6,f1+f2+f3+f4+f5,s6_stable_all7_30_fixed75,0.3490828603332696,0.9301098934888912,1.5362435870194664,0.739917898429146,1.2716781670070252,-0.19246440677617227,8.743006318923108e-20,1.0408340855860843e-16
