event_family,unique_events,unique_symbols,primary_reconciliation_ratio,first_session_mapping_ratio,fixed_rebalance_eligible,event_driven_eligible,failure_reasons
earnings_forecast,518,101,0.6525096525,1,False,False,fixed_rebalance_gate_failed|event_driven_gate_failed
preliminary_earnings,162,46,0.9259259259,1,False,False,fixed_rebalance_gate_failed|event_driven_gate_failed
