event_family,half_year,unique_events,unique_symbols,revision_rate,announcement_timestamp_completeness,first_session_mapping_ratio,primary_reconciliation_ratio,fixed_top3_rows,fixed_recent_top3_rows,fixed_recent_top3_coverage,fixed_distinct_top3_events,fixed_max_sector_share,event_driven_top3_events,event_driven_symbols,event_driven_sectors,event_driven_max_sector_share,event_driven_max_stage_share
earnings_forecast,2022H1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
earnings_forecast,2022H2,78,56,0,1,1,0.5,156,11,0.07051282051,9,0.4444444444,9,8,3,0.4444444444,1
earnings_forecast,2023H1,65,57,0,1,1,0.6461538462,144,18,0.125,11,0.3636363636,3,3,3,0.3333333333,1
earnings_forecast,2023H2,59,49,0.01694915254,1,1,0.6949152542,153,5,0.03267973856,5,0.4,3,3,3,0.3333333333,1
earnings_forecast,2024H1,61,51,0.01639344262,1,1,0.7704918033,141,11,0.0780141844,8,0.75,7,7,4,0.4285714286,1
earnings_forecast,2024H2,58,49,0,1,1,0.7413793103,154,11,0.07142857143,10,0.5,5,5,3,0.4,1
earnings_forecast,2025H1,61,49,0,1,1,0.6229508197,141,6,0.04255319149,6,0.6666666667,3,3,2,0.6666666667,1
earnings_forecast,2025H2,44,39,0,1,1,0.6590909091,154,1,0.006493506494,1,1,0,0,0,0,0
earnings_forecast,2026H1,44,41,0,1,1,0.6363636364,142,9,0.06338028169,7,0.5714285714,5,5,3,0.6,1
earnings_forecast,2026H2,47,47,0,1,1,0.6382978723,0,0,0,0,0,6,6,3,0.5,1
earnings_forecast,2026H2_PARTIAL,0,0,0,0,0,0,24,1,0.04166666667,1,1,0,0,0,0,0
preliminary_earnings,2022H2,8,7,0,1,1,0.875,156,2,0.01282051282,2,0.5,1,1,1,1,1
preliminary_earnings,2023H1,10,10,0,1,1,0.9,144,5,0.03472222222,3,0.3333333333,1,1,1,1,1
preliminary_earnings,2023H2,9,4,0,1,1,1,153,1,0.006535947712,1,1,3,1,1,1,1
preliminary_earnings,2024H1,36,27,0,1,1,1,141,7,0.04964539007,6,0.5,0,0,0,0,0
preliminary_earnings,2024H2,9,4,0,1,1,1,154,2,0.01298701299,2,1,5,2,1,1,1
preliminary_earnings,2025H1,37,27,0,1,1,1,141,8,0.05673758865,7,0.4285714286,7,5,3,0.4285714286,1
preliminary_earnings,2025H2,12,6,0,1,1,0.8333333333,154,1,0.006493506494,1,1,3,1,1,1,1
preliminary_earnings,2026H1,35,18,0,1,1,0.7714285714,142,5,0.03521126761,5,0.6,5,2,2,0.6,1
preliminary_earnings,2026H2,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
preliminary_earnings,2026H2_PARTIAL,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
