,episode_id,start,end,sessions,candidate_return,baseline_return,relative_terminal_wealth,minimum_drawdown_252,mean_mom_20,mean_mom_60
0,1,2022-03-17,2022-03-21,3,0.021977008914,0.021139007542,0.000820653570,-0.278461732270,-0.021072973396,-0.166777228253
1,2,2022-03-24,2022-03-24,1,0.004779764207,0.009865782682,-0.005036331127,-0.239753971312,0.009066457395,-0.115106360800
2,3,2022-03-28,2022-04-01,5,0.045399374063,0.044967985588,0.000412824585,-0.292923114815,-0.051928237502,-0.133781529426
3,4,2026-06-12,2026-06-12,1,0.018181011142,0.019101047724,-0.000902792302,-0.231804271510,-0.048805825917,-0.124450416942
4,5,2026-06-18,2026-06-22,2,-0.005479064756,-0.002739788171,-0.002746802242,-0.265433817248,-0.061620311839,-0.165405762174
5,6,2026-07-03,2026-07-10,6,0.034388549290,0.049195730163,-0.014112887088,-0.250241866653,-0.041072758557,-0.126077138758
6,7,2026-07-14,2026-07-15,2,0.044188114305,0.050508575415,-0.006016572599,-0.209363469014,0.008301682013,-0.127643748228
