,model,cost_bps,window,sessions,years,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,turnover_units,round_trips_per_year,mean_byd_weight,mean_etf_weight
0,byd_v1_1,20.000000000000,development,743.000000000000,2.948412698413,4.440453361733,0.776241762475,0.527254277646,1.352690500128,-0.422190155696,1.838606968925,5.000000000000,0.847913862719,0.909825033647,0.080753701211
1,byd_v1_1,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.145043144385,0.073065551380,0.307218630946,0.380477806989,-0.413411099647,0.176738242981,5.500000000000,1.431818181818,0.891012396694,0.108987603306
2,byd_v1_1,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.094483015422,0.061367146723,0.322609143313,0.343874820867,-0.372917723329,0.164559480238,3.000000000000,0.989528795812,0.854712041885,0.145287958115
3,byd_v1_1,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.818140854239,0.350728132889,0.426411984243,0.916589355704,-0.487391788980,0.719602054894,13.500000000000,1.057178371659,0.891081417029,0.104568054692
4,byd_v1_2_extreme_defense_50,20.000000000000,development,743.000000000000,2.948412698413,4.403320187181,0.772120570654,0.526345566389,1.349719780188,-0.422190155696,1.828845510101,8.000000000000,1.356662180350,0.906796769852,0.083781965007
5,byd_v1_2_extreme_defense_50,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.145043144385,0.073065551380,0.307218630946,0.380477806989,-0.413411099647,0.176738242981,5.500000000000,1.431818181818,0.891012396694,0.108987603306
6,byd_v1_2_extreme_defense_50,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.064326200472,0.041983476317,0.321281198125,0.286625050254,-0.376476120701,0.111516970156,7.000000000000,2.308900523560,0.847513089005,0.152486910995
7,byd_v1_2_extreme_defense_50,20.000000000000,full_overlap,1609.000000000000,6.384920634921,5.585023174081,0.343388547940,0.425662922902,0.904658952858,-0.487391788980,0.704543153382,20.500000000000,1.605344934742,0.887973896830,0.107675574891
8,byd_v1_2_extreme_defense_625,20.000000000000,development,743.000000000000,2.948412698413,4.422218653158,0.774220330513,0.526754880969,1.351321958397,-0.422190155696,1.833819003278,6.500000000000,1.102288021534,0.908310901750,0.082267833109
9,byd_v1_2_extreme_defense_625,20.000000000000,fixed_validation,484.000000000000,1.920634920635,0.145043144385,0.073065551380,0.307218630946,0.380477806989,-0.413411099647,0.176738242981,5.500000000000,1.431818181818,0.891012396694,0.108987603306
10,byd_v1_2_extreme_defense_625,20.000000000000,retrospective_2025_plus,382.000000000000,1.515873015873,0.079343458894,0.051659045307,0.321858988407,0.315393399342,-0.374695886805,0.137869261782,5.000000000000,1.649214659686,0.851112565445,0.148887434555
