recipe_id,window,observations,start_date,end_date,total_return,cagr,annual_volatility,sharpe_log_excess,maximum_drawdown,calmar,annual_one_way_turnover,transaction_cost_paid,average_equity_exposure,average_holding_count
c0_equal_weight_control,development,242,2023-09-01,2024-08-30,0.05069240729186797,0.05284154817336839,0.19465775626294415,0.16315580724031528,-0.1504556406541876,0.3512101503380735,1.738975453029057,0.0013080000289648857,0.7470554154162434,26.888429752066116
c0_equal_weight_control,selection_validation,241,2024-09-02,2025-08-29,0.6231013803315131,0.6593824238890487,0.3368232393585194,1.490088953039237,-0.18346522762224027,3.5940457624304396,0.44734227766238,0.0005968106641086691,0.7513013902265289,27.0
c1_balanced_momentum_lowvol,development,242,2023-09-01,2024-08-30,0.16506190265899434,0.17244018518783188,0.18300286534956103,0.7632894339032833,-0.11067294184826482,1.5581060944801792,6.031639087979167,0.0074252433480729955,0.7468962744170441,7.925619834710743
c1_balanced_momentum_lowvol,selection_validation,241,2024-09-02,2025-08-29,0.412189540525,0.4346123967021549,0.3493823283943893,1.002160217375733,-0.25917764270458177,1.6768899977901983,5.796468109358834,0.008197377920698997,0.7519468563402405,8.08298755186722
c2_risk_adjusted_momentum,development,242,2023-09-01,2024-08-30,0.16614763748146544,0.17357796702221018,0.15801527687668562,0.8885806994522902,-0.07604805583784646,2.2824773770985276,6.212429115236671,0.007722628240022631,0.7472848321978756,7.925619834710743
c2_risk_adjusted_momentum,selection_validation,241,2024-09-02,2025-08-29,0.31811985158345646,0.33484248478436185,0.3171776048748733,0.8692917114280645,-0.23349992341315706,1.4340153944799727,6.554824842050955,0.009287597170680374,0.7522666130216855,8.08298755186722
c3_slow_diversified_momentum,development,242,2023-09-01,2024-08-30,0.12362473753952807,0.12904975517480333,0.14786732143645898,0.6869756594597692,-0.10854405408248535,1.1889159315602418,3.3271473215964877,0.0036174219677771132,0.6241757345541468,7.714876033057851
c3_slow_diversified_momentum,selection_validation,241,2024-09-02,2025-08-29,0.35419994818536304,0.37307168311357364,0.2955078655510829,1.0384829143041912,-0.18758667870429746,1.988796249768171,3.5344531383130384,0.005034359498667703,0.7506107008818481,9.431535269709544
c4_regime_scaled_balanced,development,242,2023-09-01,2024-08-30,0.1543193536980838,0.16118503689507135,0.16545795929711266,0.7847810359750499,-0.10508879703207052,1.5337984775473414,5.4038563548336755,0.005860647378535237,0.4950571892940107,7.338842975206612
c4_regime_scaled_balanced,selection_validation,241,2024-09-02,2025-08-29,0.4271145817088353,0.45047027249418936,0.3301371483509782,1.090077550023603,-0.2215459177621414,2.033304323746684,6.732518082723922,0.007937918604525987,0.6013609811387478,7.551867219917012
c5_regime_scaled_risk_adjusted,development,242,2023-09-01,2024-08-30,0.15116633604084284,0.15788238729195192,0.15022241010716772,0.8443816446702026,-0.09765278833541002,1.6167729563406839,4.632431661253932,0.005054265358551267,0.4521891377013274,6.264462809917355
c5_regime_scaled_risk_adjusted,selection_validation,241,2024-09-02,2025-08-29,0.30255365872165485,0.3183637630285867,0.30754647471750163,0.8543784100493708,-0.22795708774489865,1.396595149455761,7.060789017957558,0.008390613013276526,0.6010173005273353,7.551867219917012
c6_broad_low_risk,development,242,2023-09-01,2024-08-30,0.13622096855893484,0.1422328629248708,0.136644040297543,0.8285645287531536,-0.09796289945084502,1.4519054021695141,3.288329572597251,0.0031471211305996926,0.4530753149836673,8.62396694214876
c6_broad_low_risk,selection_validation,241,2024-09-02,2025-08-29,0.3700845549821563,0.38991727195502746,0.27788392029843595,1.144827631892401,-0.15947763754028843,2.4449651874014227,3.9276000115740883,0.004571965473631822,0.5621569372875634,10.278008298755188
