date,gross_return,transaction_cost,net_return,equity,one_way_turnover,equity_exposure,etf_weight,cash_weight,holding_count,holdings,target_drift_due_to_trade_lock,recipe_id
2023-09-01,0.0,0.0002,-0.0002,0.9998,0.5,0.0,1.0,0.0,0,[],0.0,c0_equal_weight_control
2023-09-04,0.013227513227513255,0.0005250000000000001,0.012702513227513255,1.0124999727248676,0.75,0.75,0.25,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-05,0.009194465886464812,0.0,0.009194465886464812,1.021809369184133,0.0,0.7483969069696347,0.25160309303036515,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-06,-0.011627360613293097,0.0,-0.011627360613293097,1.0099284231705876,0.0,0.748709029150835,0.2512909708491648,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-07,0.0032799850314520875,0.0,0.0032799850314520875,1.0132409732814252,0.0,0.7490957223791457,0.25090427762085427,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-08,-0.018936354348661647,0.0,-0.018936354348661647,0.9940538831707852,0.0,0.7458041289825333,0.25419587101746666,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-11,0.0006714394275470022,0.0,0.0006714394275470022,0.9947213301410525,0.0,0.7473035075016667,0.2526964924983331,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-12,0.008210613513696254,0.0,0.008210613513696254,1.0028886025366706,0.0,0.7473844125902153,0.25261558740978457,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-13,0.004733543403859533,0.0,0.004733543403859533,1.007635819266014,0.0,0.7487931767197404,0.2512068232802594,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-14,-0.006090683349267966,0.0,-0.006090683349267966,1.0014986285594845,0.0,0.7463738971193422,0.25362610288065757,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-15,0.004583485136984315,0.0,0.004583485136984315,1.0060889826381971,0.0,0.744465547073198,0.25553445292680177,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-18,-0.01188246240488859,0.0,-0.01188246240488859,0.9941341681260262,0.0,0.7420574553915334,0.2579425446084663,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-19,0.000309331493854883,0.0,0.000309331493854883,0.9944416851333449,0.0,0.7423587520678689,0.2576412479321307,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-20,-0.0010050475388522296,0.0,-0.0010050475388522296,0.9934422239651696,0.0,0.7403255140846243,0.2596744859153753,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
2023-09-21,-0.0038206439326256376,0.0,-0.0038206439326256376,0.9896466349597629,0.0,0.7384391653835557,0.2615608346164439,0.0,27,"[""002156"", ""002281"", ""002463"", ""002594"", ""002709"", ""002837"", ""300017"", ""300133"", ""300274"", ""300408"", ""300548"", ""300782"", ""301291"", ""600026"", ""600150"", ""600426"", ""600522"", ""600900"", ""600938"", ""601012"", ""601872"", ""601899"", ""601939"", ""603629"", ""688008"", ""688183"", ""688676""]",0.0,c0_equal_weight_control
