window,factor_id,information_family,observations,mean_rank_ic,median_rank_ic,positive_share
development,momentum_5,momentum,242,-0.015506467031802054,-0.03815628815628816,0.45041322314049587
development,momentum_20,momentum,242,-0.00773468955287137,-0.022893772893772896,0.47520661157024796
development,momentum_60,momentum,242,0.02178922088012997,0.017704517704517704,0.5165289256198347
development,momentum_120,momentum,206,0.005182142560783336,0.011904761904761904,0.5194174757281553
development,trend_20,trend,242,0.000718977991705266,-0.003968253968253968,0.49173553719008267
development,trend_60,trend,242,0.008789190607372427,0.004273504273504274,0.5041322314049587
development,slope_20_10,trend,242,-0.01574435665344756,-0.008241758241758242,0.49586776859504134
development,low_volatility_20,volatility,242,0.07901441992351084,0.14529914529914528,0.7024793388429752
development,low_volatility_60,volatility,242,0.07507744780472053,0.1398046398046398,0.6611570247933884
development,low_downside_20,downside_risk,242,0.08581065399247216,0.18864468864468864,0.6528925619834711
development,low_downside_60,downside_risk,242,0.0854381981654709,0.15842490842490842,0.6487603305785123
development,drawdown_60,drawdown,242,0.09212924820034332,0.13336996336996335,0.6322314049586777
development,drawdown_120,drawdown,207,0.08642711925701049,0.12515262515262515,0.6183574879227053
development,risk_adjusted_momentum_20,risk_adjusted_momentum,242,-0.004556050010595468,-0.038461538461538464,0.45454545454545453
development,risk_adjusted_momentum_60,risk_adjusted_momentum,242,0.05786324786324786,0.03815628815628816,0.5537190082644629
development,volume_confirmation_20,liquidity,242,-0.03009616645980283,-0.04181929181929182,0.44214876033057854
selection_validation,momentum_5,momentum,230,-0.01281765056313425,-0.01678876678876679,0.4782608695652174
selection_validation,momentum_20,momentum,230,0.03239914768301327,0.051892551892551896,0.5695652173913044
selection_validation,momentum_60,momentum,230,-0.00929738914067272,0.0115995115995116,0.5260869565217391
selection_validation,momentum_120,momentum,230,-0.045578399583437464,-0.038461538461538464,0.41739130434782606
selection_validation,trend_20,trend,230,0.02646021983224644,0.04914529914529914,0.5565217391304348
selection_validation,trend_60,trend,230,0.03839377313892376,0.06562881562881563,0.5782608695652174
selection_validation,slope_20_10,trend,230,0.0379333304555046,0.05402930402930403,0.6
selection_validation,low_volatility_20,volatility,230,-0.07263493863855497,-0.11538461538461538,0.3826086956521739
selection_validation,low_volatility_60,volatility,230,-0.07387049299403052,-0.1507936507936508,0.3652173913043478
selection_validation,low_downside_20,downside_risk,230,-0.06474362719341634,-0.11141636141636141,0.3739130434782609
selection_validation,low_downside_60,downside_risk,230,-0.07990744620862068,-0.14427350427350427,0.3565217391304348
selection_validation,drawdown_60,drawdown,230,-0.02933589654374024,-0.03055280596166753,0.4391304347826087
selection_validation,drawdown_120,drawdown,230,-0.04304050163051901,-0.050217473076437265,0.4260869565217391
selection_validation,risk_adjusted_momentum_20,risk_adjusted_momentum,230,0.034801131021148846,0.05463980463980464,0.5739130434782609
selection_validation,risk_adjusted_momentum_60,risk_adjusted_momentum,230,-0.020768436668449495,-0.010989010989010988,0.4782608695652174
selection_validation,volume_confirmation_20,liquidity,230,-0.00382201567602895,-0.002747252747252747,0.4956521739130435
