date,open_primary,open_secondary,open_level_abs_pct_difference,volume_primary,volume_secondary,provider,reason
2015-02-25,16.806665420532,17.500000000000,0.039619118827,0.000000000000,152493300.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2015-12-25,21.156665802002,21.166666666667,0.000472481795,0.000000000000,30265500.000000000000,akshare_eastmoney_unadjusted,primary_zero_volume
2017-11-20,22.500000000000,21.493333333333,0.046836228288,84644133.000000000000,84644100.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2018-02-26,21.713333129883,21.293333333333,0.019724473852,46834335.000000000000,46834200.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2018-05-21,18.366666793823,18.150000000000,0.011937564398,22348545.000000000000,22348500.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2018-12-12,19.129999160767,18.900000000000,0.012169267765,39361224.000000000000,39361200.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2018-12-14,19.466665267944,19.456666666667,0.000513890763,0.000000000000,27873300.000000000000,akshare_eastmoney_unadjusted,primary_zero_volume
2021-10-26,107.436668395996,110.166666666667,0.024780619704,93973302.000000000000,93973200.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2021-10-27,107.266662597656,104.333333333333,0.028114976974,65720331.000000000000,65720400.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2025-05-23,138.683334350586,133.000000000000,0.042731837222,70672254.000000000000,70672200.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
2026-03-13,100.089996337891,99.000000000000,0.011010064019,51976482.000000000000,51976500.000000000000,akshare_eastmoney_unadjusted,open_level_disagreement
