attribution_type,date,window,evaluation,instrument,entity,sector,state,value,gross_return,weight,periods,transaction_cost
position,2023-05-08,2023H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.02847332942,-0.02847332942,1,,
position,2023-05-22,2023H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.0268387061,-0.0268387061,1,,
position,2023-06-05,2023H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.03048056203,0.03048056203,1,,
position,2023-06-19,2023H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.02076407025,-0.02076407025,1,,
position,2023-07-03,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.01130388006,-0.01130388006,1,,
position,2023-07-17,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.03711135585,0.03711135585,1,,
position,2023-07-31,2023H2,historical,000001,平安银行,Financials,risk_on,-0.00955087759,-0.03620351036,0.25,,
position,2023-07-31,2023H2,historical,002714,牧原股份,Consumer Staples,risk_on,-0.01257525268,-0.04830101072,0.25,,
position,2023-07-31,2023H2,historical,300033,同花顺,Technology,risk_on,0.001351410041,0.007405640163,0.25,,
position,2023-07-31,2023H2,historical,600309,万华化学,Materials,risk_on,-0.00811106472,-0.03044425888,0.25,,
position,2023-08-14,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.01667007113,-0.01467007113,1,,
position,2023-08-28,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.007783936876,-0.007783936876,1,,
position,2023-09-11,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.0180055907,-0.0180055907,1,,
position,2023-09-25,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.02229042667,-0.02229042667,1,,
position,2023-10-17,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.01095387406,-0.01095387406,1,,
position,2023-10-31,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.01014218503,0.01014218503,1,,
position,2023-11-14,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.03297204059,-0.03297204059,1,,
position,2023-11-28,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.03402851533,-0.03402851533,1,,
position,2023-12-12,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.009867045861,-0.009867045861,1,,
position,2023-12-26,2023H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.01219438305,-0.01219438305,1,,
position,2024-01-02,2024H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.04416872839,-0.04416872839,1,,
position,2024-01-16,2024H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.004251976362,-0.004251976362,1,,
position,2024-01-30,2024H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.0843836052,0.0843836052,1,,
position,2024-02-21,2024H1,historical,000300,CSI300 fallback,CSI300,risk_off,0.01234555021,0.01234555021,1,,
position,2024-03-06,2024H1,historical,002466,天齐锂业,Materials,risk_on,0.007904247732,0.03361699093,0.25,,
position,2024-03-06,2024H1,historical,301291,明阳电气,Industrials,risk_on,0.01851622723,0.07606490892,0.25,,
position,2024-03-06,2024H1,historical,603629,利通电子,Technology,risk_on,0.04271730335,0.1728692134,0.25,,
position,2024-03-06,2024H1,historical,603658,安图生物,Health Care,risk_on,-0.00556634365,-0.0202653746,0.25,,
position,2024-03-20,2024H1,historical,000538,云南白药,Health Care,risk_on,0.0006263368418,0.004005347367,0.25,,
position,2024-03-20,2024H1,historical,603629,利通电子,Technology,risk_on,-0.02916210203,-0.1151484081,0.25,,
position,2024-03-20,2024H1,historical,603993,洛阳钼业,Materials,risk_on,0.02885470795,0.1169188318,0.25,,
position,2024-03-20,2024H1,historical,688676,金盘科技,Industrials,risk_on,0.01016869805,0.04217479222,0.25,,
position,2024-04-03,2024H1,historical,300548,长芯博创,Technology,risk_on,-0.02554002225,-0.100660089,0.25,,
position,2024-04-03,2024H1,historical,300750,宁德时代,Industrials,risk_on,-0.005517455923,-0.02056982369,0.25,,
position,2024-04-03,2024H1,historical,601728,中国电信,Communication Services,risk_on,0.00780681038,0.03272724152,0.25,,
position,2024-04-03,2024H1,historical,603993,洛阳钼业,Materials,risk_on,0.01532697771,0.06280791085,0.25,,
position,2024-04-19,2024H1,historical,002709,天赐材料,Materials,risk_on,0.0310478265,0.125691306,0.25,,
position,2024-04-19,2024H1,historical,300133,华策影视,Communication Services,risk_on,0.04977472545,0.2005989018,0.25,,
position,2024-04-19,2024H1,historical,300548,长芯博创,Technology,risk_on,0.005932352795,0.02522941118,0.25,,
position,2024-04-19,2024H1,historical,601919,中远海控,Industrials,risk_on,0.05175381768,0.2085152707,0.25,,
position,2024-05-08,2024H1,historical,002709,天赐材料,Materials,risk_on,-0.02805258865,-0.1112103546,0.25,,
position,2024-05-08,2024H1,historical,300133,华策影视,Communication Services,risk_on,-0.002120337163,-0.007481348652,0.25,,
position,2024-05-08,2024H1,historical,600009,上海机场,Industrials,risk_on,-0.00963805466,-0.03755221864,0.25,,
position,2024-05-08,2024H1,historical,688525,佰维存储,Technology,risk_on,-0.0329781308,-0.1309125232,0.25,,
position,2024-05-22,2024H1,historical,002410,广联达,Technology,risk_on,-0.03023748685,-0.1189499474,0.25,,
position,2024-05-22,2024H1,historical,002466,天齐锂业,Materials,risk_on,-0.01139672179,-0.04358688714,0.25,,
position,2024-05-22,2024H1,historical,600519,贵州茅台,Consumer Staples,risk_on,-0.008213360268,-0.03085344107,0.25,,
position,2024-05-22,2024H1,historical,688676,金盘科技,Industrials,risk_on,-0.00521441925,-0.018857677,0.25,,
position,2024-06-05,2024H1,historical,301291,明阳电气,Industrials,risk_on,-0.02756906975,-0.108276279,0.25,,
position,2024-06-05,2024H1,historical,600900,长江电力,Utilities,risk_on,0.00224618173,0.01098472692,0.25,,
position,2024-06-05,2024H1,historical,601318,中国平安,Financials,risk_on,-0.005125921322,-0.01850368529,0.25,,
position,2024-06-05,2024H1,historical,688525,佰维存储,Technology,risk_on,0.0399499423,0.1617997692,0.25,,
position,2024-06-20,2024H1,historical,000300,CSI300 fallback,CSI300,risk_off,-0.02046856348,-0.01846856348,1,,
position,2024-07-01,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.007632115333,0.007632115333,1,,
position,2024-07-15,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.03684689901,-0.03684689901,1,,
position,2024-07-29,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.01038534267,-0.01038534267,1,,
position,2024-08-12,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.0087140104,-0.0087140104,1,,
position,2024-08-26,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.03315220249,-0.03315220249,1,,
position,2024-09-09,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.1093842295,0.1093842295,1,,
position,2024-09-25,2024H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.06851337842,0.06851337842,1,,
position,2024-10-16,2024H2,historical,002602,世纪华通,Communication Services,risk_on,0.03962343135,0.1604937254,0.25,,
position,2024-10-16,2024H2,historical,301309,德明利,Technology,risk_on,0.02484562202,0.1013824881,0.25,,
position,2024-10-16,2024H2,historical,600438,通威股份,Materials,risk_on,0.1332992879,0.5351971516,0.25,,
position,2024-10-16,2024H2,historical,600760,中航沈飞,Industrials,risk_on,0.00356639664,0.01626558656,0.25,,
position,2024-10-30,2024H2,historical,002007,华兰生物,Health Care,risk_on,0.01019079902,0.04276319608,0.25,,
