date,window,evaluation,period_index,instrument,entity,sector,action,previous_weight,target_weight,weight_delta,allocated_transaction_cost,score,risk_on,rule,votes
2022-07-01,2022H2,historical,0,000661,长春高新,Health Care,BUY,0,0.25,0.25,0.0005,0.1298487335,True,two_of_three,2
2022-07-01,2022H2,historical,0,002050,三花智控,Industrials,BUY,0,0.25,0.25,0.0005,0.4602355659,True,two_of_three,2
2022-07-01,2022H2,historical,0,002709,天赐材料,Materials,BUY,0,0.25,0.25,0.0005,0.1266027093,True,two_of_three,2
2022-07-01,2022H2,historical,0,300782,卓胜微,Technology,BUY,0,0.25,0.25,0.0005,0.2533461452,True,two_of_three,2
2022-07-15,2022H2,historical,1,000661,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,2
2022-07-15,2022H2,historical,1,000999,华润三九,Health Care,BUY,0,0.25,0.25,0.00025,-0.009509295225,True,two_of_three,2
2022-07-15,2022H2,historical,1,002050,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,2
2022-07-15,2022H2,historical,1,002709,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,2
2022-07-15,2022H2,historical,1,002837,英维克,Industrials,BUY,0,0.25,0.25,0.00025,0.3617926836,True,two_of_three,2
2022-07-15,2022H2,historical,1,603260,合盛硅业,Materials,BUY,0,0.25,0.25,0.00025,0.3136295974,True,two_of_three,2
2022-07-29,2022H2,historical,2,000300,CSI300 fallback,CSI300,BUY,0,1,1,0.001,,False,two_of_three,1
2022-07-29,2022H2,historical,2,000999,,,SELL,0.25,0,-0.25,0.00025,,False,two_of_three,1
2022-07-29,2022H2,historical,2,002837,,,SELL,0.25,0,-0.25,0.00025,,False,two_of_three,1
2022-07-29,2022H2,historical,2,300782,,,SELL,0.25,0,-0.25,0.00025,,False,two_of_three,1
2022-07-29,2022H2,historical,2,603260,,,SELL,0.25,0,-0.25,0.00025,,False,two_of_three,1
2022-12-26,2022H2,historical,12,000300,,,SELL,1,0,-1,0.001,,True,two_of_three,2
2022-12-26,2022H2,historical,12,000999,华润三九,Health Care,BUY,0,0.25,0.25,0.00025,-0.0881908834,True,two_of_three,2
2022-12-26,2022H2,historical,12,600026,中远海能,Industrials,BUY,0,0.25,0.25,0.00025,0.7531064749,True,two_of_three,2
2022-12-26,2022H2,historical,12,601318,中国平安,Financials,BUY,0,0.25,0.25,0.00025,-0.1563539207,True,two_of_three,2
2022-12-26,2022H2,historical,12,603806,福斯特,Materials,BUY,0,0.25,0.25,0.00025,0.2849572301,True,two_of_three,2
2023-01-03,2023H1,historical,13,002463,沪电股份,Technology,BUY,0,0.25,0.25,0.00025,0.01930332184,True,two_of_three,2
2023-01-03,2023H1,historical,13,600026,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,2
2023-01-03,2023H1,historical,13,601318,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,2
2023-01-03,2023H1,historical,13,688676,金盘科技,Industrials,BUY,0,0.25,0.25,0.00025,0.1491205245,True,two_of_three,2
2023-01-17,2023H1,historical,14,000858,五粮液,Consumer Staples,BUY,0,0.25,0.25,0.00025,0.2075212002,True,two_of_three,3
2023-01-17,2023H1,historical,14,000999,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-01-17,2023H1,historical,14,002463,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-01-17,2023H1,historical,14,300033,同花顺,Technology,BUY,0,0.25,0.25,0.00025,0.303992182,True,two_of_three,3
2023-01-17,2023H1,historical,14,300750,宁德时代,Industrials,BUY,0,0.25,0.25,0.00025,0.4170481563,True,two_of_three,3
2023-01-17,2023H1,historical,14,603799,华友钴业,Materials,BUY,0,0.25,0.25,0.00025,0.372481972,True,two_of_three,3
2023-01-17,2023H1,historical,14,603806,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-01-17,2023H1,historical,14,688676,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-02-07,2023H1,historical,15,000858,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-02-07,2023H1,historical,15,000977,浪潮信息,Technology,BUY,0,0.25,0.25,0.00025,0.1970691383,True,two_of_three,3
2023-02-07,2023H1,historical,15,002602,世纪华通,Communication Services,BUY,0,0.25,0.25,0.00025,0.1654589474,True,two_of_three,3
2023-02-07,2023H1,historical,15,300033,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-02-07,2023H1,historical,15,300750,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-02-07,2023H1,historical,15,601872,招商轮船,Industrials,BUY,0,0.25,0.25,0.00025,0.2969546616,True,two_of_three,3
2023-02-07,2023H1,historical,15,603799,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
2023-02-07,2023H1,historical,15,603993,洛阳钼业,Materials,BUY,0,0.25,0.25,0.00025,-0.07101589441,True,two_of_three,3
2023-02-21,2023H1,historical,16,002602,,,SELL,0.25,0,-0.25,0.00025,,True,two_of_three,3
