window,datetime,risk_on,rule,votes,long_trend,medium_momentum,cross_sectional_breadth,breadth_value,gross_return,net_return,benchmark_return,relative_log_return,turnover,cost,benchmark_hit,evaluation
2023H2,2023-12-26,False,two_of_three,0,False,False,False,0.2153846154,-0.01219438305,-0.01219438305,-0.01219438305,0,0,0,False,historical
2024H1,2024-01-02,False,two_of_three,0,False,False,False,0.3461538462,-0.04416872839,-0.04416872839,-0.04416872839,0,0,0,False,historical
2024H1,2024-01-16,False,two_of_three,0,False,False,False,0.3076923077,-0.004251976362,-0.004251976362,-0.004251976362,0,0,0,False,historical
2024H1,2024-01-30,False,two_of_three,0,False,False,False,0.2384615385,0.0843836052,0.0843836052,0.0843836052,0,0,0,False,historical
2024H1,2024-02-21,False,two_of_three,1,False,False,True,0.5230769231,0.01234555021,0.01234555021,0.01234555021,0,0,0,False,historical
2024H1,2024-03-06,True,two_of_three,2,False,True,True,0.7538461538,0.06557143466,0.06357143466,0.01455359564,0.04718381431,1,0.002,True,historical
2024H1,2024-03-20,True,two_of_three,2,False,True,True,0.8923076923,0.01198764082,0.01048764082,-0.01247724235,0.02298876378,0.75,0.0015,True,historical
2024H1,2024-04-03,True,two_of_three,2,False,True,True,0.6923076923,-0.00642369008,-0.00792369008,-0.001556078866,-0.006397958519,0.75,0.0015,False,historical
2024H1,2024-04-19,True,two_of_three,2,False,True,True,0.5769230769,0.1400087224,0.1385087224,0.03785318629,0.0925649321,0.75,0.0015,True,historical
2024H1,2024-05-08,True,two_of_three,3,True,True,True,0.7230769231,-0.07178911127,-0.07278911127,-0.006213307065,-0.06934155337,0.5,0.001,False,historical
2024H1,2024-05-22,True,two_of_three,3,True,True,True,0.6384615385,-0.05306198815,-0.05506198815,-0.01360508099,-0.04293747138,1,0.002,False,historical
2024H1,2024-06-05,True,two_of_three,2,True,True,False,0.4692307692,0.01150113296,0.009501132957,-0.02689822015,0.03672287917,1,0.002,True,historical
2024H1,2024-06-20,False,two_of_three,0,False,False,False,0.3307692308,-0.01846856348,-0.02046856348,-0.01846856348,-0.002039710935,1,0.002,False,historical
2024H2,2024-07-01,False,two_of_three,0,False,False,False,0.3307692308,0.007632115333,0.007632115333,0.007632115333,0,0,0,False,historical
2024H2,2024-07-15,False,two_of_three,0,False,False,False,0.3615384615,-0.03684689901,-0.03684689901,-0.03684689901,0,0,0,False,historical
2024H2,2024-07-29,False,two_of_three,0,False,False,False,0.2153846154,-0.01038534267,-0.01038534267,-0.01038534267,0,0,0,False,historical
2024H2,2024-08-12,False,two_of_three,0,False,False,False,0.1692307692,-0.0087140104,-0.0087140104,-0.0087140104,0,0,0,False,historical
2024H2,2024-08-26,False,two_of_three,0,False,False,False,0.2,-0.03315220249,-0.03315220249,-0.03315220249,0,0,0,False,historical
2024H2,2024-09-09,False,two_of_three,0,False,False,False,0.1538461538,0.1093842295,0.1093842295,0.1093842295,0,0,0,False,historical
2024H2,2024-09-25,False,two_of_three,1,False,False,True,0.5,0.06851337842,0.06851337842,0.06851337842,0,0,0,False,historical
2024H2,2024-10-16,True,two_of_three,3,True,True,True,0.9230769231,0.2033347379,0.2013347379,0.02714152373,0.1566534958,1,0.002,True,historical
2024H2,2024-10-30,True,two_of_three,3,True,True,True,0.9230769231,-0.02569210845,-0.02769210845,0.03818486984,-0.06555663467,1,0.002,False,historical
2024H2,2024-11-13,True,two_of_three,3,True,True,True,0.9076923077,-0.066312406,-0.068312406,-0.04135733478,-0.02852083465,1,0.002,False,historical
2024H2,2024-11-27,True,two_of_three,3,True,True,True,0.7692307692,-0.01728032462,-0.01928032462,0.04027160815,-0.05895045493,1,0.002,False,historical
2024H2,2024-12-11,True,two_of_three,3,True,True,True,0.7538461538,0.08916482706,0.08766482706,-0.01018365462,0.09426890039,0.75,0.0015,True,historical
2024H2,2024-12-25,True,two_of_three,2,True,True,False,0.4615384615,-0.06202634775,-0.06402634775,-0.06394991942,-8.165316688e-05,1,0.002,False,historical
2025H1,2025-01-02,False,two_of_three,1,True,False,False,0.2615384615,0.009848040584,0.007848040584,0.009848040584,-0.001982459771,1,0.002,False,historical
2025H1,2025-01-16,False,two_of_three,1,True,False,False,0.2538461538,0.02327151406,0.02327151406,0.02327151406,0,0,0,False,historical
2025H1,2025-02-07,False,two_of_three,1,True,False,False,0.4230769231,0.01759906125,0.01759906125,0.01759906125,0,0,0,False,historical
2025H1,2025-02-21,True,two_of_three,2,True,False,True,0.5307692308,0.00284063698,0.00084063698,-0.01030678979,0.0112005564,1,0.002,True,historical
2025H1,2025-03-07,True,two_of_three,3,True,True,True,0.5384615385,-0.04754342328,-0.04904342328,0.001539176354,-0.05182487117,0.75,0.0015,False,historical
2025H1,2025-03-21,True,two_of_three,2,True,False,True,0.5307692308,-0.06863190656,-0.07063190656,-0.07219847042,0.001687044865,1,0.002,True,historical
2025H1,2025-04-07,False,two_of_three,0,False,False,False,0.1461538462,0.03648361064,0.03448361064,0.03648361064,-0.00193146526,1,0.002,False,historical
2025H1,2025-04-21,False,two_of_three,1,True,False,False,0.3230769231,0.01643918308,0.01643918308,0.01643918308,0,0,0,False,historical
2025H1,2025-05-08,False,two_of_three,1,True,False,False,0.3692307692,0.009390397616,0.009390397616,0.009390397616,0,0,0,False,historical
2025H1,2025-05-22,False,two_of_three,1,True,False,False,0.3923076923,0.0007655739975,0.0007655739975,0.0007655739975,0,0,0,False,historical
2025H1,2025-06-06,False,two_of_three,1,True,False,False,0.4384615385,-0.007037905317,-0.007037905317,-0.007037905317,0,0,0,False,historical
2025H1,2025-06-20,False,two_of_three,1,True,False,False,0.4384615385,0.027806032,0.027806032,0.027806032,0,0,0,False,historical
2025H2,2025-07-01,True,two_of_three,3,True,True,True,0.6307692308,-0.01065415857,-0.01265415857,0.01610596302,-0.02871254236,1,0.002,False,historical
2025H2,2025-07-15,True,two_of_three,3,True,True,True,0.6846153846,0.02884910818,0.02684910818,0.0359442554,-0.008818339549,1,0.002,False,historical
2025H2,2025-07-29,True,two_of_three,3,True,True,True,0.8230769231,0.01961712824,0.01761712824,0.00610428342,0.0113780177,1,0.002,True,historical
2025H2,2025-08-12,True,two_of_three,3,True,True,True,0.8307692308,0.03246922769,0.03046922769,0.05017237122,-0.0189400544,1,0.002,False,historical
2025H2,2025-08-26,True,two_of_three,3,True,True,True,0.9307692308,-0.02449954357,-0.02649954357,0.01350582915,-0.04027242371,1,0.002,False,historical
2025H2,2025-09-09,True,two_of_three,3,True,True,True,0.7615384615,0.1159439833,0.1139439833,0.02715312692,0.08111583496,1,0.002,True,historical
2025H2,2025-09-23,True,two_of_three,3,True,True,True,0.6076923077,0.05415966809,0.05215966808,0.01146523488,0.03944487137,1,0.002,True,historical
2025H2,2025-10-15,True,two_of_three,3,True,True,True,0.6307692308,0.02748092766,0.02548092766,0.01980963634,0.005545721432,1,0.002,True,historical
2025H2,2025-10-29,True,two_of_three,3,True,True,True,0.5923076923,0.05158915583,0.04958915583,-0.00166391973,0.05006411302,1,0.002,True,historical
2025H2,2025-11-12,True,two_of_three,3,True,True,True,0.5307692308,-0.01678498094,-0.01778498094,-0.03969979588,0.02256429654,0.5,0.001,True,historical
2025H2,2025-11-26,True,two_of_three,2,True,True,False,0.3384615385,0.04268944314,0.04068944314,0.008145945762,0.03177047299,1,0.002,True,historical
2025H2,2025-12-10,True,two_of_three,2,True,True,False,0.3615384615,0.04866369183,0.04666369183,0.01984784736,0.02595422213,1,0.002,True,historical
2025H2,2025-12-24,True,two_of_three,2,True,True,False,0.4230769231,-0.01204859761,-0.01404859761,0.03174555428,-0.04540029396,1,0.002,False,historical
2026H1,2026-01-05,True,two_of_three,3,True,True,True,0.5307692308,0.06963452339,0.06763452339,-0.0149907133,0.08054968514,1,0.002,True,reporting
2026H1,2026-01-19,True,two_of_three,3,True,True,True,0.6153846154,0.08869870203,0.08719870203,-0.01245444298,0.09613703956,0.75,0.0015,True,reporting
2026H1,2026-02-02,False,two_of_three,1,True,False,False,0.4538461538,0.01626127854,0.01426127854,0.01626127854,-0.001969936891,1,0.002,False,reporting
2026H1,2026-02-24,True,two_of_three,3,True,True,True,0.5461538462,0.07512805687,0.07312805687,-0.006628144172,0.0772280091,1,0.002,True,reporting
2026H1,2026-03-10,True,two_of_three,2,True,True,False,0.4923076923,0.03083577342,0.02883577342,-0.03550439199,0.06457784617,1,0.002,True,reporting
2026H1,2026-03-24,False,two_of_three,1,True,False,False,0.2769230769,0.00633796527,0.00433796527,0.00633796527,-0.001989381411,1,0.002,False,reporting
2026H1,2026-04-08,False,two_of_three,1,True,False,False,0.3846153846,0.0482024144,0.0482024144,0.0482024144,0,0,0,False,reporting
2026H1,2026-04-22,True,two_of_three,2,True,True,False,0.4538461538,0.1218563048,0.1198563048,0.03378785477,0.0799707922,1,0.002,True,reporting
2026H1,2026-05-11,True,two_of_three,3,True,True,True,0.5384615385,-0.08377986386,-0.08527986386,-3.996605352e-05,-0.08909715578,0.75,0.0015,False,reporting
2026H1,2026-05-25,True,two_of_three,2,True,True,False,0.3769230769,-0.140496878,-0.141996878,-0.02951546871,-0.1231877254,0.75,0.0015,False,reporting
2026H1,2026-06-08,True,two_of_three,2,True,True,False,0.2076923077,-0.02483607458,-0.02633607458,0.02940744301,-0.0556724193,0.75,0.0015,False,reporting
2026H1,2026-06-23,True,two_of_three,2,True,True,False,0.2769230769,-0.1346084682,-0.1361084682,-0.03792941139,-0.1076406059,0.75,0.0015,False,reporting
2026H2_PARTIAL,2026-07-01,True,two_of_three,2,True,True,False,0.2846153846,0.02092118706,0.01942118706,-0.02366060168,0.0431800114,0.75,0.0015,True,reporting
2026H2_PARTIAL,2026-07-15,True,two_of_three,2,True,True,False,0.2923076923,-0.06273570757,-0.06473570757,-0.03165179389,-0.0347625846,1,0.002,False,reporting
