ranking_id,feature_family,window,variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,precision_at_k,portfolio_benchmark_hit_rate,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top8,20,-0.1946834777,-0.05456349508,-0.1482066557,-0.1291587392,1.75,0,0.4375,0,0.2545602439,0.8894067221,688525,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,global_top10,20,0.3160236197,-0.007339159856,0.3257535368,-0.188329343,8.6,1,0.5083333333,0.8333333333,0.1740258981,0.7333135466,603629,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top10,20,-0.2234547573,-0.05456349508,-0.1786383975,-0.1338426274,1.8,0,0.4,0,0.190190027,0.9129677103,688525,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,global_top15,20,0.3555865513,-0.007339159856,0.3656089738,-0.1433210537,7.066666667,1,0.5111111111,0.9166666667,0.1187830065,0.5728734673,603629,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top15,20,-0.2396202846,-0.05456349508,-0.1957368777,-0.1557864613,1.666666667,0,0.3,0,0.1163674724,0.85063743,688525,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,global_top5_sector_cap1,20,-0.05165120644,-0.007339159856,-0.04463966422,-0.3625086802,9.2,0,0.4333333333,0.6666666667,0.1209538113,0.4268088708,603629,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top5_sector_cap1,20,-0.05294833702,-0.05456349508,0.001708372855,-0.0585568943,2,1,0.6,0.5,0.2404439744,0.2679192444,600184,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,global_top5_sector_cap2,20,0.1150310756,-0.007339159856,0.1232749702,-0.3381610802,9.8,1,0.5333333333,0.75,0.1373442373,0.6688222106,688521,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top5_sector_cap2,20,-0.09550906156,-0.05456349508,-0.04330863708,-0.08364862705,1.8,0,0.6,0.5,0.3816958452,0.6762334429,301666,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,sector_3x1,20,0.1114067742,-0.007339159856,0.1196238728,-0.4049316232,10,1,0.4444444444,0.6666666667,0.1704947917,0.6876513449,603629,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_3x1,20,-0.05250327829,-0.05456349508,0.002179117035,-0.05726106737,2,1,0.6666666667,0.5,0.3750364907,0.4645128328,600184,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,sector_4x1,20,0.05206523727,-0.007339159856,0.05984359886,-0.3852807761,9.25,1,0.4375,0.6666666667,0.1443029234,0.560489123,603629,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_4x1,20,-0.05210169383,-0.05456349508,0.002603877929,-0.0697039985,2,1,0.625,0.5,0.2655260105,0.2873848163,600184,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,sector_5x1,20,-0.04156313091,-0.007339159856,-0.03447700329,-0.3622210478,9,0,0.4333333333,0.5833333333,0.1219008706,0.4455767644,603629,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_5x1,20,-0.05294833702,-0.05456349508,0.001708372855,-0.0585568943,2,1,0.6,0.5,0.2404439744,0.2679192444,600184,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H1,sector_3x2,20,0.04108320171,-0.007339159856,0.04878036849,-0.3329811788,9,1,0.5,0.6666666667,0.1369108974,0.6162584992,688521,Technology
r2_industry_relative_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_3x2,20,-0.09804616191,-0.05456349508,-0.04599215981,-0.07313784265,1.833333333,0,0.5833333333,0,0.342028631,0.5965695452,301666,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top3,20,0.1854192512,-0.007339159856,0.1941835552,-0.1812995177,10,1,0.5,0.6666666667,0.1000961032,0.4655573827,688521,Industrials
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top3,20,-0.3185993851,-0.05456349508,-0.2792740587,-0.08680837763,2,0,0.1666666667,0,0.2789612371,0.7451561028,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top5,20,0.3666222473,-0.007339159856,0.3767262614,-0.1336559851,10.4,1,0.5666666667,0.6666666667,0.07916353396,0.4781916209,600184,Industrials
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top5,20,-0.3032290373,-0.05456349508,-0.2630166499,-0.09059218122,2,0,0.2,0,0.175746488,0.7309819323,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top8,20,0.4254945841,-0.007339159856,0.4360338662,-0.1288178347,9.625,1,0.5833333333,0.8333333333,0.07905589682,0.4608787111,600522,Industrials
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top8,20,-0.2490243852,-0.05456349508,-0.2056837123,-0.1399494675,2,0,0.3125,0,0.11667944,0.6170978118,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top10,20,0.6526721879,-0.007339159856,0.6648910898,-0.1184467624,9.4,1,0.6083333333,0.9166666667,0.09661666409,0.514982972,600522,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top10,20,-0.245860379,-0.05456349508,-0.2023371034,-0.1436476978,2,0,0.35,0,0.1111223345,0.6948350796,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top15,20,0.4861229619,-0.007339159856,0.4971104952,-0.1214383002,8.6,1,0.5666666667,0.9166666667,0.1101603465,0.4895480212,603629,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top15,20,-0.2462467189,-0.05456349508,-0.20274574,-0.139565263,1.933333333,0,0.3333333333,0,0.1126035512,0.6565381009,600184,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top5_sector_cap1,20,0.2400813303,-0.007339159856,0.2492497741,-0.1864293248,9.8,1,0.5333333333,0.75,0.08229471332,0.3856887885,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top5_sector_cap1,20,-0.03860715769,-0.05456349508,0.01687721736,-0.03255001264,2,1,0.8,0.5,0.3473406928,0.5154767642,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,global_top5_sector_cap2,20,0.289142819,-0.007339159856,0.2986739951,-0.16407571,9.6,1,0.5333333333,0.75,0.09372587654,0.4960312978,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,global_top5_sector_cap2,20,-0.1618747986,-0.05456349508,-0.1135045061,-0.09059218122,2,0,0.5,0,0.2470523965,0.6663923286,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,sector_3x1,20,0.6961082592,-0.007339159856,0.7086483022,-0.216291882,10.66666667,1,0.6388888889,0.75,0.1171482489,0.4999222433,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,sector_3x1,20,-0.1249576208,-0.05456349508,-0.074456746,-0.06546186894,2,0,0.6666666667,0,0.4953123773,0.7697547785,688525,Technology
r2_industry_relative_rank,momentum_reversal,2026H1,sector_4x1,20,0.4284455992,-0.007339159856,0.4390066994,-0.1622189115,10.5,1,0.6041666667,0.75,0.09411064704,0.4194082921,300548,Technology
r2_industry_relative_rank,momentum_reversal,2026H2_PARTIAL,sector_4x1,20,-0.08637843134,-0.05456349508,-0.03365105545,-0.05557961349,2,0,0.75,0,0.4306109656,0.707289308,688525,Technology
