factor_a,factor_b,rank_correlation
momentum_63,volume_price_confirmation_20,0.005099070886
momentum_63,up_down_volume_ratio_20,0.3458850126
momentum_63,volatility_10,-0.2379031201
momentum_63,volatility_20,-0.2387304359
momentum_63,volatility_60,-0.1950992664
momentum_63,downside_volatility_20,-0.06929574725
momentum_63,downside_volatility_60,0.0184639965
momentum_63,idiosyncratic_volatility_60,-0.2669888966
momentum_63,intraday_range_20,-0.2641010841
momentum_63,drawdown_20,0.2222303425
momentum_63,drawdown_63,0.566445493
momentum_63,recovery_from_low_20,0.4358464519
momentum_63,recovery_from_low_63,0.7331029928
momentum_63,amihud_20,0.1423067535
momentum_63,amount_stability_20,-0.1017459949
momentum_63,residual_momentum_20,0.4910544546
momentum_63,residual_momentum_60,0.9136210699
momentum_126,momentum_5,0.1650068698
momentum_126,momentum_10,0.2348123081
momentum_126,momentum_20,0.3449677603
momentum_126,momentum_63,0.6550542515
momentum_126,momentum_126,1
momentum_126,trend_efficiency_20,0.06288569791
momentum_126,trend_efficiency_60,0.1618105522
momentum_126,positive_day_ratio_20,0.2593970728
momentum_126,positive_day_ratio_60,0.4297590396
momentum_126,reversal_1,-0.07660663061
momentum_126,reversal_3,-0.1264793954
momentum_126,reversal_5,-0.1650068698
momentum_126,distance_high_20,0.1289472877
momentum_126,distance_high_60,0.3152667408
momentum_126,distance_low_20,0.3392795551
momentum_126,price_to_ma20,0.2857444192
momentum_126,price_to_ma60,0.533760408
momentum_126,volume_ratio_5,0.0062930975
momentum_126,volume_ratio_20,0.01607977777
momentum_126,amount_ratio_20,0.05207743504
momentum_126,volume_price_confirmation_20,0.005811609983
momentum_126,up_down_volume_ratio_20,0.2417115956
momentum_126,volatility_10,-0.2301410419
momentum_126,volatility_20,-0.235640756
momentum_126,volatility_60,-0.2208603671
momentum_126,downside_volatility_20,-0.1391635478
momentum_126,downside_volatility_60,-0.1011417186
momentum_126,idiosyncratic_volatility_60,-0.3077236746
momentum_126,intraday_range_20,-0.2771229617
momentum_126,drawdown_20,0.1289472877
momentum_126,drawdown_63,0.3266531971
momentum_126,recovery_from_low_20,0.3392795551
momentum_126,recovery_from_low_63,0.5490261769
momentum_126,amihud_20,0.1743790417
momentum_126,amount_stability_20,-0.04395149994
momentum_126,residual_momentum_20,0.3531396113
momentum_126,residual_momentum_60,0.6215250134
trend_efficiency_20,momentum_5,0.0602906843
trend_efficiency_20,momentum_10,0.06750397214
trend_efficiency_20,momentum_20,0.06075155337
trend_efficiency_20,momentum_63,0.06966898173
trend_efficiency_20,momentum_126,0.06288569791
trend_efficiency_20,trend_efficiency_20,1
trend_efficiency_20,trend_efficiency_60,0.1935921749
trend_efficiency_20,positive_day_ratio_20,0.04542855366
trend_efficiency_20,positive_day_ratio_60,0.0354954467
trend_efficiency_20,reversal_1,-0.02918759954
trend_efficiency_20,reversal_3,-0.05281602331
trend_efficiency_20,reversal_5,-0.0602906843
trend_efficiency_20,distance_high_20,-0.03333782853
trend_efficiency_20,distance_high_60,0.07145961066
trend_efficiency_20,distance_low_20,0.1194523855
trend_efficiency_20,price_to_ma20,0.07619823395
trend_efficiency_20,price_to_ma60,0.06126654271
trend_efficiency_20,volume_ratio_5,0.03399514012
trend_efficiency_20,volume_ratio_20,0.09600691757
trend_efficiency_20,amount_ratio_20,0.09965233602
trend_efficiency_20,volume_price_confirmation_20,0.1305557999
trend_efficiency_20,up_down_volume_ratio_20,0.0293226132
trend_efficiency_20,volatility_10,-0.01047509088
trend_efficiency_20,volatility_20,0.01091319751
trend_efficiency_20,volatility_60,-0.0229423142
trend_efficiency_20,downside_volatility_20,0.04007179137
trend_efficiency_20,downside_volatility_60,0.01149712626
trend_efficiency_20,idiosyncratic_volatility_60,-0.02861343941
trend_efficiency_20,intraday_range_20,-0.02415507107
trend_efficiency_20,drawdown_20,-0.03333782853
trend_efficiency_20,drawdown_63,0.07332070068
trend_efficiency_20,recovery_from_low_20,0.1194523855
trend_efficiency_20,recovery_from_low_63,0.04205200979
trend_efficiency_20,amihud_20,0.02165574927
trend_efficiency_20,amount_stability_20,-0.03968336876
trend_efficiency_20,residual_momentum_20,0.06606521882
trend_efficiency_20,residual_momentum_60,0.06902702532
trend_efficiency_60,momentum_5,0.06770874064
