date,symbol,open,high,low,close,volume,sma5,sma10,sma20,sma60,sma20_slope,bias20,macd,macd_signal,macd_hist,rsi14,atr14,close_ratio_20,score,entry_eligible,one_price_lock,previous_macd_hist
2023-05-04,002156,17.465,17.705,17.155,17.495,371626.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,002281,23.02,23.38,21.93,22.18,268242.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,002463,20.25,20.72,18.67,18.95,980354.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,002594,81.904,82.774,80.704,81.077,118124.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,002709,40.804,42.504,40.794,41.054,177547.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,002837,13.154,13.483,12.657,12.951,235053.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,300017,8.152,8.892,7.952,8.732,4504754.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,300133,8.495,8.935,7.995,8.745,1720716.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,300274,75.263,80.248,75.155,77.412,340812.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,300408,28.892,29.142,28.092,28.802,113931.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,300548,30.84,30.84,28.18,28.55,195841.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,300782,100.444,100.794,96.734,96.754,67689.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,600026,11.81,11.85,11.39,11.6,383591.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,600150,24.785,26.355,24.635,25.165,1432914.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,600426,22.393,22.97,21.916,22.001,159585.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,600522,13.672,13.902,13.622,13.712,606822.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,600900,18.296,18.976,18.136,18.976,856300.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,600938,14.386,14.926,13.976,14.676,802884.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,601012,34.02,34.47,33.46,33.52,1037905.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,601872,5.596,5.626,5.296,5.326,621305.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,601899,11.4,11.53,10.99,11.08,2114892.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,601939,4.689,5.009,4.649,4.969,3161583.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,603629,9.37,9.548,8.476,9.411,58919.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,688008,58.643,59.783,57.603,57.783,15255076.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,688183,11.084,11.084,9.594,9.624,23884352.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
2023-05-04,688676,31.169,32.229,30.369,30.819,4603419.0,,,,,,,0.0,0.0,0.0,,,,,False,False,
