symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reasons
301291,2025-01-14,2025-01-16,45.7,43.59,-0.0461706783369803,hard_stop
300274,2025-01-22,2025-02-05,72.955,69.255,-0.050716194914673496,hard_stop
002463,2025-02-05,2025-02-06,39.75,36.52,-0.08125786163522009,trend_break+hard_stop
002594,2025-01-21,2025-02-14,93.317,112.157,0.20189247404010002,divergence_take_profit
300782,2025-02-12,2025-02-18,82.808,90.348,0.0910540044440149,trailing_profit_protection
600150,2025-02-07,2025-02-19,33.235,31.735,-0.04513314277117497,trend_break+hard_stop
002463,2025-02-24,2025-02-25,41.0,38.45,-0.062195121951219456,hard_stop
002156,2025-02-12,2025-03-03,29.374,28.674,-0.023830598488459143,trend_break
300782,2025-02-28,2025-03-03,88.688,84.148,-0.05119069096157325,trend_break+hard_stop
688008,2025-02-05,2025-03-03,68.959,77.599,0.12529184007888738,trailing_profit_protection
002281,2025-03-03,2025-03-04,54.35,49.59,-0.0875804967801288,trend_break+hard_stop
688676,2025-03-03,2025-03-05,39.569,38.269,-0.03285400187015097,trend_break+hard_stop
300274,2025-03-04,2025-03-06,68.805,65.555,-0.04723493932127021,trend_break+hard_stop
002709,2025-02-14,2025-03-10,18.782,19.772,0.05271004152912351,trailing_profit_protection
688008,2025-03-04,2025-03-12,74.059,78.029,0.053605908802441204,trend_break
300274,2025-03-20,2025-03-25,66.805,64.715,-0.03128508345183745,trend_break
688183,2025-03-21,2025-03-27,30.884,28.894,-0.06443465872296339,hard_stop
300274,2025-04-01,2025-04-07,66.735,57.305,-0.141305162208736,trend_break
300782,2025-04-17,2025-04-25,81.658,77.898,-0.04604570280927778,hard_stop
002594,2025-04-25,2025-04-30,121.651,116.617,-0.04138067093570952,hard_stop
688676,2025-05-07,2025-05-12,32.359,31.729,-0.01946908124478519,hard_stop
002156,2025-05-09,2025-05-16,26.124,24.974,-0.04402082376358896,hard_stop
301291,2025-05-06,2025-05-16,41.38,39.7,-0.040599323344610916,hard_stop
002837,2025-05-12,2025-05-21,19.923,19.035,-0.044571600662550726,hard_stop
300274,2025-05-06,2025-05-21,58.285,61.065,0.04769666294930097,trailing_profit_protection
002281,2025-05-16,2025-05-22,43.24,42.01,-0.028445883441258202,trend_break
002594,2025-05-12,2025-05-23,119.984,131.317,0.09445426056807582,divergence_take_profit
300274,2025-05-22,2025-05-26,60.905,57.505,-0.055824644938839096,trend_break+hard_stop
603629,2025-05-16,2025-05-26,16.812,15.882,-0.055317630264097195,trend_break+hard_stop
002594,2025-05-27,2025-05-29,123.611,118.181,-0.04392812937359947,trend_break
688676,2025-05-21,2025-05-29,31.999,30.181,-0.05681427544610762,trend_break+hard_stop
688008,2025-06-05,2025-06-17,80.306,79.366,-0.01170522750479408,trend_break
301291,2025-06-11,2025-06-23,38.46,36.22,-0.05824232969318777,trend_break+hard_stop
688676,2025-06-11,2025-06-23,31.771,30.451,-0.04154732303043662,trend_break
300408,2025-07-01,2025-07-08,32.841,31.281,-0.047501598611491835,hard_stop
